Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,96.31,22.24,11.22,1.73,3.19
2020-09-30,77.38,12.83,9.01,1.39,2.52
2020-06-30,78.04,12.19,6.67,1.43,2.47
2020-03-31,73.60,11.00,0.00,1.41,2.29
2019-12-31,102.48,15.48,9.08,1.94,3.22
2019-09-30,89.45,13.31,14.92,1.75,2.82
2019-06-30,85.65,12.96,8.74,1.70,2.76
2019-03-31,85.46,13.07,7.86,1.75,2.81
2018-12-31,78.49,11.82,10.55,1.64,2.65
2018-09-30,95.29,15.01,10.30,2.04,3.34
2018-06-30,95.49,16.00,18.50,2.06,3.49
2018-03-31,95.34,17.62,58.81,2.10,3.66
2017-12-31,91.99,18.70,12.97,2.04,3.70
2017-09-30,84.29,18.65,12.17,1.89,3.54
2017-06-30,88.71,20.16,9.21,2.01,3.85
2017-03-31,78.67,18.00,7.30,1.81,3.44
2016-12-31,80.57,18.78,13.20,1.89,3.59
2016-09-30,61.23,14.68,7.40,1.45,2.79
2016-06-30,59.36,14.66,0.00,1.50,2.76
2016-03-31,58.10,14.31,14.19,1.50,2.76
2015-12-31,63.90,16.02,8.62,1.68,3.09
2015-09-30,60.12,15.11,214.25,1.58,2.93
2015-06-30,67.10,17.38,18.83,1.79,3.33
2015-03-31,60.83,17.33,18.03,1.65,3.14
2014-12-31,58.59,17.65,16.31,1.62,3.09
2014-09-30,58.85,19.36,13.72,1.62,3.16
2014-06-30,55.28,18.18,3.71,1.62,3.00
2014-03-31,56.14,18.29,13.86,1.67,3.09
2013-12-31,52.74,17.64,16.97,1.58,2.94
2013-09-30,46.09,15.47,11.92,1.41,2.61
2013-06-30,48.80,17.00,0.00,1.52,2.80
2013-03-31,45.73,16.22,37.10,1.44,2.63
2012-12-31,41.81,14.88,13.59,1.33,2.40
2012-09-30,38.45,14.51,4.39,1.22,2.21
2012-06-30,37.88,14.40,8.01,1.23,2.17
2012-03-31,38.78,15.39,5.09,1.29,2.23
2011-12-31,32.21,13.04,6.73,1.09,1.87
2011-09-30,28.21,10.94,0.00,0.95,1.65
2011-06-30,36.79,14.66,17.76,1.26,2.19
2011-03-31,40.38,14.90,13.09,1.41,2.42
2010-12-31,43.86,16.01,15.20,1.56,2.64
2010-09-30,37.98,13.01,7.80,1.36,2.26
2010-06-30,36.55,11.98,6.43,1.34,2.16
2010-03-31,43.01,13.52,21.21,1.61,2.47
2009-12-31,40.57,12.88,10.87,1.55,2.27
2009-09-30,44.77,11.78,23.28,1.74,2.28
2009-06-30,41.12,16.79,19.78,1.62,1.92
2009-03-31,45.60,18.54,11.37,1.56,1.99
2008-12-31,39.51,11.10,11.76,1.38,1.55
2008-09-30,54.42,20.61,11.00,2.51,2.11
2008-06-30,51.51,12.41,11.59,2.29,1.98
2008-03-31,49.74,12.10,11.74,2.30,1.94
2007-12-31,57.07,17.61,16.09,2.79,2.34
2007-09-30,49.21,14.22,20.68,2.48,2.11
2007-06-30,47.51,14.53,22.79,2.47,2.14
2007-03-31,44.30,14.25,38.21,2.40,2.08
2006-12-31,44.52,14.79,34.15,2.47,2.19
