Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,44.52,31.57,10.83,1.25,0.68
2020-06-30,40.73,24.24,8.80,1.16,0.60
2020-03-31,35.08,13.60,13.50,1.00,0.48
2019-12-31,54.19,13.09,12.05,1.52,0.73
2019-09-30,48.67,8.31,11.40,1.36,0.63
2019-06-30,52.25,7.37,11.06,1.48,0.65
2019-03-31,54.93,6.90,9.32,1.59,0.68
2018-12-31,48.44,6.52,10.63,1.45,0.61
2018-09-30,58.87,8.97,12.94,1.82,0.79
2018-06-30,57.64,10.96,18.74,1.87,0.83
2018-03-31,56.00,13.56,41.25,1.91,0.86
2017-12-31,57.91,13.99,29.39,2.03,0.92
2017-09-30,50.74,14.75,20.62,1.82,0.85
2017-06-30,52.05,15.09,24.27,1.91,0.92
2017-03-31,53.36,16.78,20.19,2.01,0.99
2016-12-31,52.85,23.08,14.52,2.04,1.04
2016-09-30,43.64,27.27,11.69,1.72,0.89
2016-06-30,43.28,29.44,9.64,1.74,0.89
2016-03-31,41.10,36.38,7.27,1.68,0.84
2015-12-31,34.75,31.02,6.11,1.41,0.68
2015-09-30,32.08,16.37,5.64,1.27,0.57
2015-06-30,37.27,18.54,6.87,1.49,0.61
2015-03-31,39.88,19.17,9.79,1.61,0.63
2014-12-31,40.82,18.39,18.37,1.61,0.62
2014-09-30,44.84,21.35,51.90,1.78,0.68
2014-06-30,40.41,22.45,254.33,1.62,0.64
2014-03-31,41.17,25.57,1306.84,1.67,0.67
2013-12-31,43.16,28.40,0.00,1.74,0.72
2013-09-30,39.37,27.72,0.00,1.59,0.67
2013-06-30,34.53,26.36,117.06,1.41,0.60
2013-03-31,36.48,26.24,203.46,1.49,0.61
2012-12-31,33.85,21.29,35.45,1.36,0.55
2012-09-30,29.75,18.71,11.92,1.20,0.48
2012-06-30,29.19,16.13,15.35,1.19,0.46
2012-03-31,32.75,13.65,14.63,1.33,0.51
2011-12-31,29.92,12.26,15.37,1.23,0.47
2011-09-30,23.71,12.03,8.05,0.98,0.39
2011-06-30,30.54,20.77,8.85,1.26,0.54
2011-03-31,33.78,41.20,19.00,1.43,0.63
2010-12-31,31.92,76.00,18.27,1.38,0.64
2010-09-30,27.60,43.13,59.16,1.17,0.58
2010-06-30,27.40,58.29,0.00,1.16,0.62
2010-03-31,32.19,0.00,11.93,1.35,0.83
2009-12-31,32.84,0.00,13.02,1.36,0.92
2009-09-30,32.83,0.00,6.18,1.36,0.82
2009-06-30,30.80,19.01,6.07,1.26,0.58
2009-03-31,26.26,6.58,8.64,1.05,0.38
2008-12-31,31.51,5.25,6.41,1.20,0.40
2008-09-30,26.73,3.86,9.44,1.03,0.34
2008-06-30,49.95,8.47,12.15,2.00,0.71
2008-03-31,44.99,8.82,9.49,2.39,0.75
2007-12-31,39.05,7.89,8.18,2.20,0.70
2007-09-30,38.83,7.70,7.67,2.29,0.75
2007-06-30,37.90,6.98,7.02,2.19,0.76
2007-03-31,41.65,7.26,6.76,2.45,0.86
2006-12-31,34.63,6.09,5.59,2.15,0.73
