Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,501.21,82.03,74.20,20.23,21.19
2020-07-31,424.34,78.00,53.20,18.82,20.18
2020-04-30,291.98,54.57,40.76,13.71,15.34
2020-01-31,236.03,52.22,34.15,11.84,13.34
2019-10-31,200.54,51.29,34.05,10.94,12.38
2019-07-31,168.15,37.96,42.53,9.91,10.25
2019-04-30,180.18,34.06,46.52,11.31,10.47
2019-01-31,142.95,21.56,28.43,9.27,7.64
2018-10-31,209.66,27.99,38.89,13.50,10.59
2018-07-31,243.36,35.53,36.93,16.82,12.87
2018-04-30,223.39,37.17,35.09,17.57,12.81
2018-01-31,244.00,50.62,52.97,19.79,15.90
2017-10-31,205.15,50.91,49.15,19.57,14.56
2017-07-31,161.07,45.63,53.45,16.18,12.43
2017-04-30,103.27,34.31,46.29,10.02,8.83
2017-01-31,107.96,42.34,46.62,10.96,9.95
2016-10-31,70.26,36.79,32.86,7.11,7.05
2016-07-31,56.28,37.02,28.49,6.72,6.12
2016-04-30,34.93,29.85,17.58,4.45,3.87
2016-01-31,28.69,26.56,14.89,3.46,3.23
2015-10-31,27.69,25.64,15.49,3.34,3.21
2015-07-31,19.39,20.41,11.45,2.50,2.28
2015-04-30,21.47,19.17,13.77,2.54,2.56
2015-01-31,18.51,16.52,12.94,2.28,2.23
2014-10-31,18.75,18.38,14.38,2.42,2.35
2014-07-31,16.72,18.37,14.05,2.10,2.21
2014-04-30,17.56,20.66,16.11,2.35,2.41
2014-01-31,14.86,20.08,14.62,1.89,2.15
2013-10-31,14.30,18.57,13.43,1.88,2.12
2013-07-31,13.52,15.02,12.65,1.88,1.97
2013-04-30,12.83,13.80,10.15,1.54,1.86
2013-01-31,11.36,12.62,11.08,1.45,1.66
2012-10-31,11.02,13.61,11.39,1.46,1.67
2012-07-31,12.46,16.19,11.47,1.73,1.93
2012-04-30,11.97,14.42,12.48,1.73,1.86
2012-01-31,13.59,14.31,10.88,2.01,2.09
2011-10-31,13.62,13.10,10.02,2.09,2.11
2011-07-31,12.73,14.14,9.42,2.08,2.06
2011-04-30,18.41,46.02,14.73,3.21,3.10
2011-01-31,22.02,53.70,22.43,4.07,3.63
2010-10-31,11.06,30.73,27.94,2.22,1.74
2010-07-31,8.46,21.15,31.98,1.76,1.31
2010-04-30,14.46,31.44,29.84,2.89,2.23
2010-01-31,14.17,0.00,18.98,2.98,2.36
2009-10-31,11.01,0.00,21.45,2.52,2.16
2009-07-31,11.90,0.00,59.15,2.90,2.33
2009-04-30,10.57,0.00,338.68,2.49,1.99
2009-01-31,7.32,0.00,0.00,1.65,1.21
2008-10-31,8.06,13.22,55.11,1.74,1.13
2008-07-31,10.53,11.97,13.38,2.20,1.43
2008-04-30,18.92,13.64,15.27,3.83,2.59
2008-01-31,22.63,17.32,12.69,4.82,3.35
2007-10-31,32.57,28.07,18.81,7.30,5.19
2007-07-31,28.08,29.25,17.02,6.82,4.80
2007-04-30,20.18,24.61,16.39,5.24,3.67
2007-01-31,18.81,24.97,25.00,5.07,3.58
2006-10-31,21.40,32.58,18.48,6.18,4.36
