Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,22.41,0.00,18.21,1.46,1.52
2020-12-31,17.77,0.00,14.44,1.16,1.20
2020-09-30,13.98,0.00,15.54,0.98,0.94
2020-06-30,11.87,0.00,18.46,0.83,0.78
2020-03-31,8.93,0.00,18.40,0.61,0.55
2019-12-31,14.29,0.00,28.19,0.83,0.86
2019-09-30,14.07,0.00,21.11,0.84,0.84
2019-06-30,13.65,52.51,17.49,0.77,0.80
2019-03-31,12.22,0.00,16.95,0.68,0.69
2018-12-31,11.30,0.00,11.65,0.63,0.66
2018-09-30,13.30,0.00,13.43,0.75,0.82
2018-06-30,15.38,0.00,16.88,0.86,0.99
2018-03-31,15.63,0.00,14.49,0.91,1.08
2017-12-31,16.01,0.00,14.37,0.84,1.12
2017-09-30,13.17,0.00,10.35,0.69,0.93
2017-06-30,13.55,0.00,15.48,0.71,0.97
2017-03-31,12.93,0.00,12.59,0.66,0.91
2016-12-31,11.21,0.00,16.88,0.58,0.79
2016-09-30,13.51,0.00,27.50,0.67,0.95
2016-06-30,11.01,36.70,9.67,0.54,0.77
2016-03-31,12.50,0.00,23.33,0.61,0.89
2015-12-31,13.06,0.00,17.91,0.63,0.91
2015-09-30,11.99,0.00,12.84,0.59,0.83
2015-06-30,13.22,0.00,10.93,0.63,0.90
2015-03-31,14.74,35.94,9.06,0.68,1.01
2014-12-31,14.00,31.12,7.97,0.64,0.95
2014-09-30,14.98,31.87,8.47,0.67,1.02
2014-06-30,16.20,39.52,10.76,0.70,1.11
2014-03-31,15.51,0.00,5.40,0.68,1.04
