Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,180.79,34.31,32.85,6.69,5.45
2020-06-30,169.35,34.37,29.82,6.66,5.14
2020-03-31,130.95,25.59,29.79,5.13,3.84
2019-12-31,126.07,24.72,29.80,4.89,3.71
2019-09-30,112.81,21.69,27.80,4.65,3.32
2019-06-30,98.96,18.86,28.83,4.25,2.92
2019-03-31,95.61,18.63,34.05,4.20,2.86
2018-12-31,81.67,16.58,31.52,3.71,2.49
2018-09-30,106.55,20.41,49.23,5.00,3.36
2018-06-30,98.34,21.22,50.20,4.88,3.26
2018-03-31,96.95,23.65,54.01,5.07,3.40
2017-12-31,86.70,23.14,64.40,4.70,3.19
2017-09-30,72.51,26.79,44.30,4.29,2.80
2017-06-30,62.65,24.41,36.08,3.89,2.49
2017-03-31,56.23,23.17,42.25,3.64,2.30
2016-12-31,56.31,23.73,44.40,3.76,2.35
2016-09-30,45.04,18.87,37.91,3.11,1.90
2016-06-30,39.59,16.77,61.25,2.83,1.69
2016-03-31,45.70,19.25,91.05,3.37,1.95
2015-12-31,38.77,16.29,42.71,2.91,1.67
2015-09-30,40.04,17.01,57.32,3.10,1.74
2015-06-30,45.03,19.64,59.38,3.61,1.99
2015-03-31,50.74,23.06,51.81,4.24,2.29
2014-12-31,50.96,24.66,143.64,4.41,2.36
2014-09-30,46.37,24.49,328.16,4.19,2.25
2014-06-30,41.80,23.75,130.22,4.00,2.13
2014-03-31,37.24,22.71,94.99,3.77,1.99
2013-12-31,34.80,21.75,67.86,3.65,1.92
2013-09-30,30.19,19.60,47.64,3.29,1.71
2013-06-30,27.32,18.63,99.42,3.14,1.59
2013-03-31,25.08,18.14,219.96,3.04,1.49
2012-12-31,22.50,17.19,0.00,2.83,1.36
2012-09-30,19.79,15.12,0.00,2.59,1.22
2012-06-30,18.94,15.61,0.00,2.62,1.20
2012-03-31,20.86,18.12,500.26,3.04,1.36
2011-12-31,17.74,16.42,69.94,2.68,1.20
2011-09-30,12.68,13.39,0.00,2.01,0.90
2011-06-30,16.32,19.33,0.00,2.71,1.22
2011-03-31,15.36,21.64,42.62,2.69,1.22
2010-12-31,14.00,23.22,47.89,2.63,1.19
2010-09-30,11.12,21.95,27.35,2.16,1.00
2010-06-30,10.25,26.01,62.09,2.07,0.98
2010-03-31,9.74,31.62,0.00,2.04,0.97
2009-12-31,8.96,32.16,0.00,1.90,0.91
2009-09-30,8.88,30.57,0.00,1.92,0.88
2009-06-30,9.79,24.85,0.00,2.15,0.90
2009-03-31,6.85,13.77,0.00,1.53,0.59
2008-12-31,8.30,15.15,56.52,1.87,0.68
2008-09-30,8.27,14.16,21.01,1.90,0.67
2008-06-30,8.76,15.72,22.69,2.10,0.73
2008-03-31,9.29,17.03,52.52,2.34,0.81
2007-12-31,6.74,11.85,0.00,1.73,0.61
2007-09-30,6.99,11.92,0.00,1.86,0.65
2007-06-30,8.80,14.99,0.00,2.44,0.83
2007-03-31,8.41,14.47,0.00,2.45,0.81
2006-12-31,7.02,12.15,0.00,2.12,0.69
