Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,45.82,31.60,0.00,3.31,2.25
2020-09-30,24.59,16.96,0.00,1.78,1.21
2020-06-30,30.43,20.42,0.00,2.17,1.45
2020-03-31,19.32,10.06,0.00,1.44,0.84
2019-12-31,66.21,21.57,0.00,4.39,2.71
2019-09-30,63.65,21.22,0.00,4.23,2.48
2019-06-30,58.66,19.49,0.00,3.82,2.07
2019-03-31,58.80,20.00,0.00,3.77,1.99
2018-12-31,44.80,16.18,410.30,2.80,1.47
2018-09-30,55.54,24.91,34.81,3.43,1.56
2018-06-30,56.52,29.59,37.24,3.40,1.62
2018-03-31,45.47,29.15,18.14,2.72,1.12
2017-12-31,42.16,31.70,15.74,2.88,0.92
2017-09-30,43.09,26.93,14.26,2.98,0.94
2017-06-30,40.01,25.01,8.64,2.73,0.81
2017-03-31,42.04,25.17,10.38,2.98,0.90
2016-12-31,43.05,25.93,12.13,2.65,1.02
2016-09-30,38.05,28.19,15.55,2.33,0.98
2016-06-30,34.66,26.46,20.99,2.09,0.95
2016-03-31,21.44,16.88,23.52,1.24,0.58
2015-12-31,17.26,14.88,0.00,0.96,0.47
2015-09-30,22.13,14.85,0.00,1.15,0.54
2015-06-30,26.71,18.94,0.00,1.40,0.57
2015-03-31,32.23,24.06,0.00,1.73,0.63
2014-12-31,32.80,22.01,0.00,1.71,0.57
2014-09-30,42.75,29.08,0.00,2.37,0.70
2014-06-30,44.01,30.14,0.00,2.41,0.72
2014-03-31,37.96,32.44,0.00,2.52,0.64
2013-12-31,34.80,27.40,0.00,1.48,0.61
2013-09-30,29.64,21.63,0.00,1.30,0.64
2013-06-30,22.80,16.52,0.00,1.13,0.50
2013-03-31,26.13,15.64,0.00,1.28,0.59
2012-12-31,23.25,13.60,0.00,1.13,0.48
2012-09-30,26.09,15.13,0.00,1.28,0.42
2012-06-30,22.68,13.34,0.00,1.11,0.36
2012-03-31,21.73,13.05,0.00,1.03,0.32
2011-12-31,22.91,13.64,229.76,1.24,0.33
2011-09-30,17.32,11.44,171.02,0.97,0.27
2011-06-30,19.27,12.97,6.69,1.08,0.32
2011-03-31,17.28,12.13,5.86,0.94,0.30
2010-12-31,14.21,9.17,4.50,0.77,0.24
2010-09-30,11.43,7.12,2.94,0.62,0.19
2010-06-30,10.87,6.90,5.81,0.60,0.19
2010-03-31,11.37,7.22,3.98,0.62,0.20
2009-12-31,10.99,7.66,3.47,0.68,0.22
2009-09-30,8.92,6.74,8.55,0.55,0.18
2009-06-30,7.10,5.16,0.00,0.44,0.12
2009-03-31,5.36,3.90,0.00,0.35,0.08
2008-12-31,6.81,4.62,0.00,0.45,0.09
2008-09-30,7.93,4.84,0.00,0.81,0.10
2008-06-30,11.16,7.81,0.00,1.18,0.15
2008-03-31,10.12,7.28,0.00,1.05,0.15
2007-12-31,10.07,7.25,14.18,1.06,0.16
2007-09-30,10.59,8.61,6.42,1.17,0.19
2007-06-30,11.18,8.80,4.32,1.25,0.20
2007-03-31,9.91,6.88,2.76,0.99,0.19
2006-12-31,9.42,7.00,2.67,0.94,0.18
