Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,62.07,18.81,16.08,21.27,5.01
2020-11-30,57.50,17.42,14.90,19.70,4.64
2020-08-31,56.78,17.80,15.58,16.88,4.71
2020-05-31,53.13,17.14,15.12,12.81,4.52
2020-02-29,48.65,15.30,13.65,10.33,4.21
2019-11-30,54.97,17.45,15.73,10.92,4.89
2019-08-31,50.76,16.53,14.44,8.80,4.68
2019-05-31,49.13,16.32,14.22,7.38,4.70
2019-02-28,50.39,18.26,14.80,7.16,5.01
2018-11-30,46.95,46.03,13.68,5.49,4.82
2018-08-31,46.78,50.30,13.82,4.62,4.93
2018-05-31,44.81,50.92,13.91,3.82,4.81
2018-02-28,48.40,59.02,15.12,4.10,5.20
2017-11-30,46.68,20.03,15.86,3.44,5.10
2017-08-31,47.70,20.83,16.05,3.53,5.26
2017-05-31,42.86,19.48,14.93,3.27,4.77
2017-02-28,40.04,19.07,14.52,3.23,4.53
2016-11-30,37.64,18.18,12.64,3.16,4.29
2016-08-31,38.45,18.31,12.85,3.30,4.42
2016-05-31,37.37,18.05,12.87,3.23,4.36
2016-02-29,34.06,16.78,11.52,3.05,4.01
2015-11-30,35.94,17.19,13.68,3.26,4.25
2015-08-31,34.07,15.92,12.50,3.07,4.01
2015-05-31,39.80,17.93,13.59,3.52,4.70
2015-02-28,39.96,16.65,13.41,3.60,4.67
2014-11-30,38.57,16.07,12.08,3.54,4.53
2014-08-31,37.65,15.69,11.63,3.49,4.48
2014-05-31,37.99,15.89,12.19,3.57,4.58
2014-02-28,35.25,14.75,11.42,3.49,4.35
2013-11-30,31.71,13.49,10.22,3.24,4.00
2013-08-31,28.52,12.29,9.52,2.96,3.67
2013-05-31,30.12,13.33,10.75,3.10,3.94
2013-02-28,30.53,14.20,11.48,3.29,4.06
2012-11-30,28.53,13.46,11.06,3.12,3.83
2012-08-31,28.01,13.87,10.50,3.09,3.84
2012-05-31,23.38,11.87,9.10,2.60,3.22
2012-02-29,25.78,13.57,10.10,2.97,3.57
2011-11-30,27.57,15.15,11.11,3.28,3.86
2011-08-31,24.64,14.00,10.21,3.02,3.47
2011-05-31,29.98,17.95,14.14,3.78,4.31
2011-02-28,28.77,19.05,15.38,3.93,4.28
2010-11-30,23.61,17.75,13.87,3.42,3.76
2010-08-31,19.04,15.23,11.43,2.94,3.30
2010-05-31,19.63,16.36,11.78,3.16,3.71
2010-02-28,21.40,19.10,13.79,3.72,4.50
2009-11-30,19.13,16.63,11.52,3.43,4.18
2009-08-31,18.91,17.03,11.28,3.58,4.21
2009-05-31,16.89,15.35,11.21,3.32,3.74
2009-02-28,13.36,12.04,8.51,2.89,2.93
2008-11-30,13.84,12.46,9.29,3.06,3.07
2008-08-31,18.86,16.99,12.96,4.08,4.25
2008-05-31,19.64,18.53,14.04,4.39,4.58
2008-02-29,16.17,16.50,11.88,4.00,4.03
2007-11-30,17.35,18.86,13.81,4.61,4.53
2007-08-31,17.44,20.52,14.63,5.02,4.84
2007-05-31,16.66,20.32,16.88,5.03,4.89
2007-02-28,14.13,18.84,15.71,4.59,4.39
2006-11-30,16.38,23.74,13.96,5.47,5.40
