Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,461.08,20.59,16.71,47.64,3.10
2020-06-30,421.67,20.67,17.18,53.04,3.00
2020-03-31,301.05,16.90,20.53,205.23,2.28
2019-12-31,438.26,24.50,31.35,83.41,3.37
2019-09-30,398.51,22.96,25.10,181.56,3.16
2019-06-30,369.32,22.01,26.24,195.76,3.03
2019-03-31,388.30,23.46,26.22,81.61,3.27
2018-12-31,344.33,21.37,23.07,76.96,2.98
2018-09-30,347.32,21.83,24.25,55.99,3.11
2018-06-30,273.57,18.70,20.80,57.55,2.54
2018-03-31,247.38,18.39,21.62,48.02,2.40
2017-12-31,240.54,18.99,22.85,31.05,2.42
2017-09-30,215.37,18.34,21.07,29.92,2.23
2017-06-30,218.74,19.15,22.38,22.14,2.35
2017-03-31,269.84,24.60,28.30,17.32,2.99
2016-12-31,278.41,25.95,25.90,15.89,3.15
2016-09-30,280.11,27.12,26.60,13.96,3.26
2016-06-30,271.10,26.92,25.95,15.22,3.25
2016-03-31,273.66,28.18,26.81,13.65,3.38
2015-12-31,253.42,27.61,27.54,12.63,3.24
2015-09-30,249.73,28.54,29.47,12.31,3.30
2015-06-30,225.98,27.66,28.47,11.42,3.10
2015-03-31,216.24,27.76,27.64,10.22,3.09
2014-12-31,192.62,26.24,26.76,9.70,2.85
2014-09-30,150.36,21.54,21.03,7.79,2.29
2014-06-30,150.60,22.78,22.94,7.44,2.37
2014-03-31,148.39,23.63,26.01,7.29,2.41
2013-12-31,128.71,21.34,27.83,6.93,2.16
2013-09-30,127.59,22.11,26.75,6.75,2.24
2013-06-30,112.62,20.86,19.34,6.11,2.06
2013-03-31,102.44,20.61,15.85,5.49,1.98
2012-12-31,89.42,18.83,11.56,4.79,1.81
2012-09-30,83.62,18.38,10.25,4.30,1.76
2012-06-30,83.77,19.35,11.78,3.91,1.84
2012-03-31,91.35,22.07,13.02,4.01,2.08
2011-12-31,79.95,21.49,13.80,3.57,1.91
2011-09-30,66.63,18.93,14.55,3.02,1.63
2011-06-30,65.51,20.22,15.98,2.82,1.66
2011-03-31,57.46,19.22,17.84,2.50,1.48
2010-12-31,60.42,20.34,25.20,2.65,1.58
2010-09-30,53.20,19.35,35.00,2.41,1.42
2010-06-30,47.56,18.58,53.27,2.25,1.30
2010-03-31,41.71,16.89,313.61,2.05,1.16
2009-12-31,38.12,17.09,0.00,1.95,1.08
2009-09-30,36.14,17.80,0.00,1.91,1.02
2009-06-30,38.08,22.27,0.00,2.09,1.09
2009-03-31,35.01,22.30,0.00,2.00,1.10
2008-12-31,30.74,20.36,0.00,1.82,1.07
2008-09-30,26.77,17.38,0.00,1.64,1.06
2008-06-30,22.35,13.22,44.97,1.51,0.99
2008-03-31,28.52,17.18,221.60,1.99,1.30
2007-12-31,32.43,19.30,197.14,2.35,1.49
2007-09-30,33.41,19.89,107.26,2.48,1.56
2007-06-30,36.55,22.29,776.01,2.81,1.75
2007-03-31,33.10,20.43,298.74,2.66,1.62
2006-12-31,32.06,20.68,0.00,2.68,1.61
