Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,15.68,18.45,7.65,0.85,2.87
2020-09-30,10.01,8.63,4.88,0.54,1.79
2020-06-30,11.05,9.61,7.91,0.60,1.91
2020-03-31,10.40,8.19,10.32,0.57,1.75
2019-12-31,15.73,12.39,33.41,0.88,2.66
2019-09-30,14.40,10.99,102.27,0.80,2.47
2019-06-30,15.29,11.67,28.20,0.86,2.65
2019-03-31,14.83,11.49,15.12,0.85,2.61
2018-12-31,12.88,9.98,8.87,0.74,2.32
2018-09-30,15.11,12.18,8.20,0.88,2.81
2018-06-30,15.81,13.51,8.41,0.93,3.01
2018-03-31,16.16,15.39,9.91,0.96,3.16
2017-12-31,16.05,16.55,9.15,0.96,3.20
2017-09-30,15.43,16.95,12.11,0.93,3.14
2017-06-30,14.87,16.71,12.64,0.90,3.04
2017-03-31,15.18,16.32,12.82,0.93,3.12
2016-12-31,16.00,17.39,15.67,0.98,3.30
2016-09-30,12.94,14.22,10.60,0.83,2.66
2016-06-30,11.86,13.17,12.04,0.76,2.47
2016-03-31,12.75,14.65,9.55,0.83,2.68
2015-12-31,12.77,14.85,14.13,0.84,2.70
2015-09-30,12.31,14.48,14.07,0.81,2.63
2015-06-30,12.56,15.13,13.96,0.83,2.71
2015-03-31,11.65,13.39,17.26,0.77,2.49
2014-12-31,11.50,13.53,11.03,0.76,2.48
2014-09-30,10.84,13.06,12.08,0.72,2.38
2014-06-30,11.23,13.87,9.81,0.75,2.50
2014-03-31,10.89,14.14,9.69,0.73,2.48
2013-12-31,10.95,14.59,10.90,0.74,2.56
2013-09-30,10.29,14.10,10.14,0.70,2.44
2013-06-30,10.55,14.66,10.64,0.72,2.55
2013-03-31,9.39,13.22,8.67,0.63,2.32
2012-12-31,8.35,11.60,6.21,0.56,2.10
2012-09-30,8.27,12.54,6.24,0.56,2.10
2012-06-30,7.80,12.39,6.60,0.53,1.99
2012-03-31,8.78,14.88,7.85,0.60,2.26
2011-12-31,8.42,14.77,18.53,0.58,2.18
2011-09-30,7.38,13.67,22.99,0.55,1.99
2011-06-30,8.59,18.68,45.19,0.59,2.47
2011-03-31,7.95,22.72,35.50,0.55,2.41
2010-12-31,8.75,36.46,17.44,0.60,2.82
2010-09-30,8.07,36.70,42.01,0.55,2.69
2010-06-30,8.24,35.81,15.28,0.56,2.71
2010-03-31,9.44,34.95,50.40,0.64,3.04
2009-12-31,9.99,32.23,65.34,0.68,3.16
2009-09-30,9.22,26.35,14.89,0.62,2.77
2009-06-30,8.85,21.58,27.92,0.59,2.60
2009-03-31,10.45,22.72,23.69,0.70,3.01
2008-12-31,10.28,23.91,19.04,0.69,2.78
2008-09-30,11.00,22.92,22.46,0.72,3.05
2008-06-30,8.84,16.36,17.79,0.58,2.50
2008-03-31,9.72,21.14,21.78,0.64,2.84
2007-12-31,9.91,15.25,24.88,0.67,3.26
2007-09-30,9.55,15.32,34.96,0.63,3.27
2007-06-30,9.72,20.24,0.00,0.65,3.65
2007-03-31,11.52,21.33,0.00,1.21,4.64
2006-12-31,11.51,27.79,150.24,1.22,3.70
