Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,29.78,58.39,157.23,2.18,9.60
2020-12-31,29.93,58.68,158.02,2.19,9.65
2020-09-30,26.54,44.24,0.00,1.93,9.22
2020-06-30,26.59,42.20,0.00,1.87,9.28
2020-03-31,22.65,44.41,0.00,1.56,8.10
2019-12-31,32.42,324.15,0.00,2.46,12.60
2019-09-30,33.17,19.06,43.46,2.52,12.84
2019-06-30,29.44,14.43,16.79,2.18,11.98
2019-03-31,28.82,12.75,7.17,2.15,11.86
2018-12-31,25.41,11.50,6.15,1.86,10.00
2018-09-30,23.63,67.51,27.92,1.97,6.00
2018-06-30,22.86,190.49,43.11,1.98,5.81
2018-03-31,20.25,0.00,865.22,1.74,5.17
2017-12-31,22.35,25.99,8.54,1.88,5.69
2017-09-30,23.53,21.20,6.07,1.89,5.69
2017-06-30,26.69,18.41,6.27,2.08,6.20
2017-03-31,25.80,12.59,5.48,1.96,5.78
2016-12-31,24.23,18.22,11.63,1.91,5.33
2016-09-30,27.91,0.00,8.36,1.36,7.90
2016-06-30,25.64,0.00,7.30,1.24,6.72
2016-03-31,23.22,0.00,28.40,1.13,5.82
2015-12-31,26.82,0.00,30.96,1.28,6.39
2015-09-30,25.72,49.47,0.00,1.14,6.43
2015-06-30,24.82,30.64,0.00,1.09,6.39
2015-03-31,28.98,31.17,25.45,1.27,7.76
2014-12-31,29.17,14.51,19.94,1.22,8.17
2014-09-30,25.98,11.70,17.03,1.08,5.42
2014-06-30,26.71,12.20,13.72,1.12,5.70
2014-03-31,24.72,11.34,9.86,1.03,5.32
2013-12-31,22.82,10.72,9.91,0.95,4.95
2013-09-30,25.41,12.58,8.84,1.07,5.52
2013-06-30,27.85,14.21,11.49,1.17,6.20
2013-03-31,30.26,15.36,12.77,1.28,6.78
2012-12-31,27.10,14.34,11.03,1.14,6.10
2012-09-30,26.39,17.48,15.40,1.17,6.04
2012-06-30,25.91,17.63,13.17,1.15,5.94
2012-03-31,22.88,14.86,12.47,1.03,5.13
2011-12-31,23.73,18.54,14.43,1.05,5.60
2011-09-30,19.84,12.80,14.47,0.87,4.71
2011-06-30,20.46,17.20,15.82,0.89,4.93
2011-03-31,20.90,22.96,21.71,0.92,5.24
2010-12-31,20.00,20.21,19.94,0.91,4.87
2010-09-30,19.32,29.27,18.26,0.96,4.71
2010-06-30,17.09,39.74,15.07,0.84,4.18
2010-03-31,17.24,33.81,12.22,0.86,4.14
2009-12-31,15.69,36.48,10.28,0.77,3.68
2009-09-30,14.53,30.27,9.44,0.70,3.02
2009-06-30,10.53,9.15,6.25,0.50,2.15
2009-03-31,8.68,4.93,5.08,0.41,1.79
2008-12-31,13.24,7.35,7.62,0.62,2.71
2008-09-30,18.78,10.04,11.80,0.89,4.03
2008-06-30,14.69,5.05,0.00,0.72,3.10
2008-03-31,15.42,6.79,12.89,0.83,3.29
2007-12-31,15.62,5.70,118.30,0.83,3.40
2007-09-30,14.69,3.87,0.00,0.79,3.73
2007-06-30,12.60,4.52,16.35,0.72,3.47
2007-03-31,15.50,5.68,0.00,0.88,4.46
2006-12-31,15.67,6.45,0.00,0.94,4.72
