Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,54.44,14.44,88.46,1.73,2.85
2020-06-30,48.29,14.12,100.74,1.57,2.55
2020-03-31,43.72,15.45,99.42,1.45,2.24
2019-12-31,56.94,17.10,135.54,1.90,2.87
2019-09-30,59.38,20.76,0.00,2.01,2.99
2019-06-30,55.83,19.39,0.00,1.91,2.79
2019-03-31,55.95,17.99,0.00,1.90,2.88
2018-12-31,48.63,17.19,0.00,1.70,2.54
2018-09-30,48.93,11.33,0.00,1.72,2.66
2018-06-30,49.76,11.60,0.00,1.77,2.74
2018-03-31,45.77,11.50,0.00,1.64,2.49
2017-12-31,46.46,14.99,0.00,1.69,2.59
2017-09-30,41.38,40.18,0.00,1.59,2.34
2017-06-30,38.13,42.84,0.00,1.49,2.11
2017-03-31,38.94,37.44,0.00,1.51,2.21
2016-12-31,38.16,21.80,0.00,1.47,2.16
2016-09-30,36.05,14.19,0.00,1.35,1.98
2016-06-30,39.75,14.35,0.00,1.51,2.13
2016-03-31,39.83,12.93,0.00,1.51,2.04
2015-12-31,32.40,9.82,293.98,1.25,1.58
2015-09-30,34.94,9.60,97.09,1.37,1.63
2015-06-30,32.23,8.85,26.75,1.28,1.51
2015-03-31,34.07,10.08,22.62,1.37,1.60
2014-12-31,33.32,11.15,49.79,1.38,1.55
2014-09-30,29.70,12.17,23.99,1.24,1.45
2014-06-30,32.21,13.76,26.01,1.38,1.58
2014-03-31,29.83,11.56,21.62,1.28,1.46
2013-12-31,24.80,10.12,36.31,1.08,1.26
2013-09-30,25.21,10.09,62.78,1.12,1.27
2013-06-30,24.73,10.26,241.02,1.13,1.27
2013-03-31,25.71,11.85,0.00,1.19,1.35
2012-12-31,22.66,9.03,53.95,1.06,1.17
2012-09-30,23.56,8.47,13.48,1.10,1.19
2012-06-30,23.52,8.78,10.12,1.12,1.17
2012-03-31,21.91,7.58,8.35,1.04,1.05
2011-12-31,23.35,7.89,8.03,1.15,1.07
2011-09-30,23.36,8.31,10.65,1.16,1.06
2011-06-30,22.61,6.75,14.55,1.13,0.98
2011-03-31,21.60,6.83,0.00,1.10,0.95
2010-12-31,21.57,6.98,0.00,1.13,0.93
2010-09-30,22.19,6.89,0.00,1.17,0.97
2010-06-30,20.80,6.80,0.00,1.15,0.92
2010-03-31,19.38,6.00,0.00,1.06,0.84
2009-12-31,21.59,6.88,179.45,1.24,0.91
2009-09-30,20.20,6.94,31.30,1.18,0.85
2009-06-30,20.74,6.40,15.91,1.25,0.83
2009-03-31,18.54,7.92,11.13,1.14,0.74
2008-12-31,18.11,7.74,16.04,1.18,0.73
2008-09-30,20.13,8.68,28.24,1.33,0.78
2008-06-30,27.96,13.81,41.01,2.16,1.11
2008-03-31,24.29,8.51,18.44,1.68,0.95
2007-12-31,29.48,11.23,23.88,2.05,1.18
2007-09-30,26.25,12.53,15.68,1.83,1.11
2007-06-30,26.01,14.13,17.37,1.93,1.10
2007-03-31,24.44,14.25,13.45,1.87,1.05
2006-12-31,19.38,13.18,10.66,1.45,0.83
