Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,137.63,27.25,29.61,14.00,2.80
2020-06-30,130.37,26.66,32.64,14.35,2.70
2020-03-31,117.47,22.81,32.21,12.03,2.42
2019-12-31,132.76,25.58,33.43,12.42,2.78
2019-09-30,132.25,15.10,30.38,12.98,2.83
2019-06-30,125.61,13.93,28.20,12.52,2.73
2019-03-31,116.54,13.15,23.32,11.45,2.55
2018-12-31,104.23,11.84,23.70,10.06,2.30
2018-09-30,104.64,30.16,25.72,14.22,2.31
2018-06-30,101.08,31.49,24.11,13.99,2.25
2018-03-31,100.41,29.62,23.76,12.97,2.25
2017-12-31,109.50,32.49,21.75,14.16,2.48
2017-09-30,101.05,20.88,20.53,10.72,2.30
2017-06-30,104.00,22.03,21.86,11.84,2.38
2017-03-31,100.05,21.56,19.96,12.25,2.30
2016-12-31,92.94,21.32,17.48,11.85,2.15
2016-09-30,95.90,21.03,17.27,10.83,2.27
2016-06-30,92.75,26.13,16.16,10.80,2.20
2016-03-31,89.06,25.45,16.29,11.47,2.10
2015-12-31,86.22,23.49,15.63,10.38,2.04
2015-09-30,80.80,23.98,15.28,8.70,1.88
2015-06-30,79.37,18.33,15.19,7.10,1.84
2015-03-31,80.71,18.81,15.52,7.47,1.86
2014-12-31,79.28,18.57,15.60,6.72,1.82
2014-09-30,77.54,17.15,16.98,5.03,1.79
2014-06-30,73.89,16.68,17.20,4.73,1.72
2014-03-31,68.55,15.51,16.64,4.55,1.61
2013-12-31,67.61,15.65,15.06,4.24,1.59
2013-09-30,64.37,15.11,13.78,4.42,1.52
2013-06-30,65.75,15.51,13.59,4.47,1.56
2013-03-31,63.16,16.19,13.71,4.34,1.51
2012-12-31,54.24,13.84,14.58,3.74,1.31
2012-09-30,55.67,14.85,15.89,4.00,1.34
2012-06-30,55.17,14.56,17.87,4.17,1.32
2012-03-31,51.40,12.79,17.34,3.51,1.23
2011-12-31,50.98,12.68,14.31,3.82,1.23
2011-09-30,47.18,11.85,15.07,3.08,1.17
2011-06-30,53.26,13.59,17.38,3.46,1.37
2011-03-31,48.35,12.96,14.86,3.23,1.29
2010-12-31,48.67,12.45,14.89,3.58,1.36
2010-09-30,49.14,12.41,14.06,3.84,1.49
2010-06-30,44.75,11.59,13.07,3.58,1.47
2010-03-31,48.21,12.24,14.43,3.59,1.72
2009-12-31,43.99,11.67,14.68,3.95,1.60
2009-09-30,42.15,12.66,14.56,4.15,1.56
2009-06-30,39.18,12.13,15.32,4.23,1.45
2009-03-31,36.39,11.30,15.24,4.69,1.35
2008-12-31,38.38,11.99,13.22,4.74,1.43
2008-09-30,49.55,14.12,20.13,4.81,1.88
2008-06-30,43.94,12.27,15.61,4.15,1.72
2008-03-31,49.57,14.29,18.43,4.72,2.02
2007-12-31,51.84,15.16,18.88,4.83,2.18
2007-09-30,49.79,13.42,17.10,4.93,2.20
2007-06-30,43.83,12.42,17.25,4.48,2.01
2007-03-31,42.72,12.60,15.87,4.54,2.01
2006-12-31,41.84,12.53,17.36,4.46,2.01
