Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,49.61,9.84,3.78,0.82,0.93
2020-09-30,39.82,9.03,2.75,0.70,0.74
2020-06-30,40.54,8.93,2.38,0.73,0.70
2020-03-31,30.15,6.76,1.46,0.64,0.50
2019-12-31,52.25,10.55,2.74,0.98,0.91
2019-09-30,53.73,11.41,2.63,1.00,0.95
2019-06-30,53.90,10.13,2.53,1.06,0.97
2019-03-31,46.18,8.35,2.41,1.01,0.88
2018-12-31,40.22,7.50,2.29,0.98,0.82
2018-09-30,52.77,7.13,3.65,1.27,1.12
2018-06-30,47.25,5.51,3.54,1.15,0.99
2018-03-31,53.85,6.69,3.70,1.26,1.13
2017-12-31,61.87,7.85,4.51,1.38,1.29
2017-09-30,56.03,9.18,3.76,1.34,1.14
2017-06-30,55.38,12.59,4.80,1.42,1.29
2017-03-31,54.16,12.20,4.75,1.46,1.28
2016-12-31,49.30,10.96,3.90,1.38,1.16
2016-09-30,43.57,10.20,3.33,1.15,1.10
2016-06-30,34.48,8.17,2.40,0.94,0.84
2016-03-31,32.80,8.35,2.17,0.94,0.79
2015-12-31,37.04,9.10,2.60,1.15,0.92
2015-09-30,38.67,9.39,2.81,1.17,0.96
2015-06-30,41.58,10.72,3.33,1.26,1.10
2015-03-31,41.34,10.08,4.08,1.16,1.16
2014-12-31,41.50,11.34,4.18,1.19,1.18
2014-09-30,41.66,11.80,4.33,1.18,1.21
2014-06-30,39.83,11.12,4.45,1.12,1.19
2014-03-31,36.04,10.92,5.13,1.06,1.12
2013-12-31,38.42,12.98,5.30,1.16,1.23
2013-09-30,33.18,11.36,4.83,1.04,1.11
2013-06-30,28.84,10.68,3.68,0.90,0.92
2013-03-31,26.05,10.30,2.82,0.78,0.84
2012-12-31,21.68,8.40,2.14,0.66,0.71
2012-09-30,20.33,8.54,1.97,0.61,0.69
2012-06-30,19.64,9.92,2.52,0.62,0.73
2012-03-31,21.93,9.97,2.89,0.68,0.81
2011-12-31,18.16,8.49,2.17,0.58,0.67
2011-09-30,16.28,7.33,1.91,0.48,0.58
2011-06-30,21.85,8.88,2.31,0.64,0.77
2011-03-31,23.06,11.09,2.25,0.71,0.81
2010-12-31,23.39,11.30,2.73,0.76,0.82
2010-09-30,18.26,9.66,2.33,0.58,0.64
2010-06-30,16.51,8.17,2.30,0.58,0.58
2010-03-31,20.57,9.70,3.53,0.76,0.71
2009-12-31,16.93,8.64,2.28,0.67,0.56
2009-09-30,18.92,12.70,2.78,0.79,0.60
2009-06-30,13.02,10.25,1.45,0.72,0.38
2009-03-31,5.65,4.07,0.71,0.54,0.15
2008-12-31,15.59,9.57,1.92,1.57,0.41
2008-09-30,29.29,16.37,4.60,1.35,0.75
2008-06-30,28.27,12.24,3.69,1.11,0.71
2008-03-31,37.53,13.45,3.78,1.42,0.93
2007-12-31,46.37,15.10,4.34,1.62,1.14
2007-09-30,41.94,10.54,3.55,1.40,1.04
2007-06-30,38.75,9.61,3.65,1.29,1.00
2007-03-31,39.80,10.84,3.72,1.31,1.07
2006-12-31,39.02,10.46,4.83,1.33,1.09
