Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,105.30,52.13,47.04,2.14,17.87
2020-12-31,99.66,49.34,44.52,2.03,16.91
2020-09-30,100.04,44.46,41.96,2.03,17.61
2020-06-30,92.27,36.04,44.85,1.85,16.18
2020-03-31,78.97,30.14,34.44,1.59,15.02
2019-12-31,86.94,35.20,38.68,2.11,17.10
2019-09-30,82.62,29.51,32.60,2.01,15.92
2019-06-30,77.17,28.69,36.96,1.89,15.77
2019-03-31,68.86,25.41,47.81,1.68,14.32
2018-12-31,55.78,19.64,35.26,1.36,11.43
2018-09-30,63.90,26.08,34.70,1.58,13.78
2018-06-30,61.48,17.67,13.25,1.75,13.42
2018-03-31,58.52,17.42,12.29,1.66,12.07
2017-12-31,59.48,19.44,12.58,1.69,12.54
2017-09-30,58.12,17.45,11.22,1.67,12.23
2017-06-30,53.35,24.03,19.04,1.59,10.77
2017-03-31,46.84,20.91,13.93,1.41,10.03
2016-12-31,47.24,21.00,13.77,1.35,10.18
2016-09-30,47.52,28.63,15.09,1.37,10.09
2016-06-30,43.17,26.49,11.06,1.24,9.56
2016-03-31,38.57,27.95,10.83,1.10,8.82
2015-12-31,37.10,22.62,13.72,1.06,8.98
2015-09-30,33.31,15.00,12.43,0.96,8.72
2015-06-30,31.43,16.04,15.13,0.90,8.90
2015-03-31,36.57,20.09,12.67,1.21,10.57
2014-12-31,35.82,30.36,14.05,1.20,10.39
2014-09-30,31.14,63.54,7.77,1.10,9.04
2014-06-30,33.65,140.20,10.04,1.18,9.65
2014-03-31,33.17,301.56,18.24,1.14,9.65
2013-12-31,29.78,44.44,3.40,1.05,8.32
2013-09-30,30.08,601.65,4.05,1.05,8.06
2013-06-30,29.94,0.00,3.95,1.04,7.55
2013-03-31,31.50,0.00,4.00,1.10,7.48
2012-12-31,28.55,0.00,11.21,0.96,6.77
2012-09-30,27.19,135.95,9.53,0.88,6.38
2012-06-30,25.59,60.94,10.02,0.83,6.10
2012-03-31,27.50,0.00,11.90,0.87,6.63
2011-12-31,21.65,0.00,11.81,0.69,5.36
2011-09-30,18.17,0.00,3.91,0.57,4.49
2011-06-30,26.59,0.00,4.31,0.81,6.48
2011-03-31,26.48,189.11,3.95,1.21,6.47
2010-12-31,23.15,385.81,3.79,0.78,5.48
2010-09-30,18.95,0.00,4.36,0.86,3.03
2010-06-30,16.78,45.34,5.36,0.76,2.69
2010-03-31,19.27,41.01,7.56,0.89,3.09
2009-12-31,17.89,0.00,11.05,0.81,2.61
2009-09-30,15.69,0.00,0.00,0.69,3.01
2009-06-30,12.67,0.00,0.00,0.56,2.20
2009-03-31,9.53,0.00,0.00,0.42,1.41
2008-12-31,15.50,0.00,0.00,0.51,2.26
2008-09-30,29.59,12.98,0.00,1.08,4.28
2008-06-30,32.58,11.93,0.00,1.18,4.69
2008-03-31,34.86,11.25,0.00,1.27,5.32
2007-12-31,36.87,12.54,0.00,1.32,5.62
2007-09-30,37.67,12.86,0.00,1.38,5.39
2007-06-30,33.22,12.92,0.00,1.22,4.53
2007-03-31,36.39,16.03,0.00,1.38,4.77
2006-12-31,36.28,15.77,0.00,1.50,4.61
