Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,82.79,16.01,14.01,-12.13,4.49
2020-09-30,73.91,14.96,12.30,-11.23,3.97
2020-06-30,67.97,14.52,13.59,-10.46,3.63
2020-03-31,69.66,14.16,11.70,-9.80,3.59
2019-12-31,79.71,17.25,13.43,-12.92,4.16
2019-09-30,70.17,14.59,13.38,-11.93,3.69
2019-06-30,71.41,14.20,14.57,-11.81,3.77
2019-03-31,79.20,16.00,15.51,-12.10,4.18
2018-12-31,59.06,11.63,11.42,-8.55,3.10
2018-09-30,71.01,16.55,13.26,-11.10,3.63
2018-06-30,69.32,16.83,12.74,-10.60,3.54
2018-03-31,84.14,21.85,16.69,-12.48,4.42
2017-12-31,88.46,22.86,18.66,-13.43,4.78
2017-09-30,92.00,20.31,21.31,-14.83,0.00
2017-06-30,96.42,21.38,18.57,-14.57,39.19
2017-03-31,91.89,20.33,19.74,-13.52,8.93
2016-12-31,73.79,16.47,16.57,-10.50,4.29
2016-09-30,77.52,18.55,17.83,-11.66,1.62
2016-06-30,80.27,19.20,19.52,-11.53,1.69
2016-03-31,76.64,18.08,15.38,-10.91,1.62
2015-12-31,67.96,15.38,15.25,-9.18,1.42
2015-09-30,60.61,13.04,14.83,-7.68,1.25
2015-06-30,60.47,12.65,14.34,-7.94,1.22
2015-03-31,56.13,11.84,15.85,-7.10,1.10
2014-12-31,59.92,12.59,14.25,-8.27,1.17
2014-09-30,60.62,12.20,12.76,-10.87,1.19
2014-06-30,60.56,12.04,12.30,-12.08,1.21
2014-03-31,58.20,11.28,11.37,-12.82,1.18
2013-12-31,61.22,11.64,11.11,-15.50,1.25
2013-09-30,60.18,11.42,11.83,-13.44,1.25
2013-06-30,59.56,11.56,13.23,-18.50,1.26
2013-03-31,63.12,12.12,13.56,-25.52,1.36
2012-12-31,56.42,10.89,11.41,-29.58,1.24
2012-09-30,60.07,11.99,13.32,-86.77,1.35
2012-06-30,57.73,11.45,11.86,-87.56,1.29
2012-03-31,58.09,11.55,11.19,262.86,1.31
2011-12-31,51.00,10.54,9.33,159.73,1.18
2011-09-30,40.14,8.50,6.86,28.65,0.95
2011-06-30,42.45,9.74,7.79,18.80,1.07
2011-03-31,41.33,10.13,8.25,17.10,1.10
2010-12-31,36.49,9.31,7.71,16.72,1.00
2010-09-30,34.55,9.19,7.38,12.76,0.97
2010-06-30,27.95,7.55,6.53,11.72,0.80
2010-03-31,31.40,9.18,7.84,11.22,0.95
2009-12-31,28.69,8.80,7.80,8.81,0.91
2009-09-30,28.68,9.05,8.66,8.16,0.95
2009-06-30,25.36,7.80,7.66,7.36,0.84
2009-03-31,20.42,6.26,6.14,6.55,0.68
2008-12-31,24.62,7.22,7.48,6.25,0.81
