Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,170.41,12.40,12.83,1.36,4.59
2020-09-30,107.97,6.46,8.13,0.86,2.34
2020-06-30,102.23,6.29,7.38,0.82,2.15
2020-03-31,91.87,8.55,7.82,0.79,1.89
2019-12-31,152.06,13.34,9.25,1.33,3.17
2019-09-30,132.43,11.85,9.45,1.18,2.88
2019-06-30,128.65,11.63,8.50,1.16,2.85
2019-03-31,114.12,10.47,8.38,1.06,2.59
2018-12-31,107.92,10.07,6.47,1.03,2.54
2018-09-30,124.77,10.27,8.96,1.22,3.04
2018-06-30,122.94,10.70,7.43,1.22,3.10
2018-03-31,136.93,12.60,9.52,1.37,3.58
2017-12-31,129.99,12.50,11.32,1.29,3.51
2017-09-30,120.75,14.74,9.95,1.24,3.39
2017-06-30,111.22,14.13,11.08,1.16,3.22
2017-03-31,106.59,14.04,11.00,1.13,3.18
2016-12-31,103.20,14.12,14.74,1.07,3.15
2016-09-30,79.00,10.96,9.58,0.82,2.45
2016-06-30,70.90,9.75,7.91,0.75,2.24
2016-03-31,73.23,9.99,6.87,0.79,2.33
2015-12-31,82.05,11.09,7.74,0.90,2.64
2015-09-30,76.35,10.36,8.62,0.84,2.47
2015-06-30,81.44,11.22,11.44,0.92,2.65
2015-03-31,78.96,10.92,10.77,0.88,2.60
2014-12-31,76.82,10.52,7.39,0.87,2.54
2014-09-30,71.64,9.80,9.04,0.82,2.35
2014-06-30,74.14,10.14,5.49,0.86,2.42
2014-03-31,72.01,9.67,5.96,0.86,2.30
2013-12-31,63.85,8.64,6.11,0.77,2.01
2013-09-30,59.27,8.74,4.46,0.74,1.86
2013-06-30,59.30,8.94,6.55,0.75,1.83
2013-03-31,53.72,9.54,5.63,0.68,1.70
2012-12-31,46.79,8.80,3.64,0.59,1.49
2012-09-30,50.31,10.21,3.76,0.64,1.64
2012-06-30,48.41,10.00,4.16,0.64,1.63
2012-03-31,50.76,9.20,3.31,0.70,1.69
2011-12-31,45.14,8.00,3.94,0.64,1.50
2011-09-30,37.45,5.93,3.93,0.53,1.20
2011-06-30,46.04,6.73,5.63,0.69,1.46
2011-03-31,48.38,7.29,7.94,0.75,1.51
2010-12-31,46.56,8.13,5.03,0.75,1.41
2010-09-30,39.73,6.23,2.55,0.64,1.08
2010-06-30,43.17,8.15,2.43,0.73,1.12
2010-03-31,45.55,11.47,2.99,0.81,1.12
2009-12-31,40.21,9.26,3.18,0.57,0.95
2009-09-30,36.92,26.37,3.26,0.54,1.08
2009-06-30,29.41,26.50,1.60,0.46,0.96
2009-03-31,22.13,9.14,1.04,0.34,0.78
2008-12-31,36.46,14.70,1.70,0.58,1.44
2008-09-30,55.05,14.60,4.58,1.35,2.08
2008-06-30,41.59,9.78,7.65,0.95,1.50
2008-03-31,47.27,11.76,0.00,1.12,1.72
2007-12-31,46.85,10.67,0.00,1.08,1.72
2007-09-30,48.17,9.37,10.83,1.12,1.62
2007-06-30,50.19,5.60,35.09,1.18,1.39
2007-03-31,50.03,5.55,6.72,1.17,1.36
2006-12-31,51.09,5.84,7.03,1.39,1.38
