Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,56.65,37.27,17.97,4.60,3.14
2020-09-30,45.44,21.64,14.41,3.69,2.57
2020-06-30,37.55,18.87,13.64,3.20,2.19
2020-03-31,29.23,13.11,13.05,2.56,1.66
2019-12-31,44.88,21.37,25.91,3.87,2.59
2019-09-30,36.81,17.96,17.62,3.31,2.15
2019-06-30,36.05,16.93,20.55,3.35,2.13
2019-03-31,42.93,25.40,26.64,3.95,2.59
2018-12-31,36.28,18.51,16.45,3.39,2.18
2018-09-30,41.44,16.78,15.03,3.83,3.03
2018-06-30,40.07,15.90,12.19,3.72,3.00
2018-03-31,43.97,11.82,15.16,1.66,3.36
2017-12-31,45.36,12.49,14.25,1.62,2.93
2017-09-30,43.44,13.16,11.51,1.57,4.70
2017-06-30,42.31,12.48,11.74,1.57,3.50
2017-03-31,39.70,14.49,9.68,1.65,2.63
2016-12-31,35.26,12.37,7.71,1.51,2.32
2016-09-30,40.16,15.21,9.13,1.68,1.81
2016-06-30,36.24,14.50,8.04,1.58,1.67
2016-03-31,33.54,13.26,7.86,1.48,1.41
2015-12-31,30.40,11.87,8.50,1.37,1.20
2015-09-30,31.14,11.32,8.83,1.24,1.53
2015-06-30,41.72,35.66,11.15,1.65,1.79
2015-03-31,37.97,32.18,9.53,1.54,1.61
2014-12-31,39.89,34.69,8.34,1.56,1.68
2014-09-30,39.15,31.57,8.31,1.47,1.14
2014-06-30,42.93,14.12,9.55,1.45,1.28
2014-03-31,47.08,15.85,12.55,1.54,1.39
2013-12-31,45.94,17.47,12.30,1.46,1.35
2013-09-30,38.26,70.85,0.00,1.23,0.97
2013-06-30,33.85,0.00,0.00,1.13,0.86
2013-03-31,30.82,0.00,95.62,0.99,0.79
2012-12-31,28.59,92.23,0.00,0.91,0.73
2012-09-30,25.60,98.47,9.79,0.77,0.73
2012-06-30,22.03,46.88,8.04,1.03,0.62
2012-03-31,27.27,63.41,11.72,1.26,0.77
2011-12-31,18.95,57.43,7.50,0.91,0.55
2011-09-30,18.13,8.39,9.39,0.78,0.54
2011-06-30,22.73,10.33,11.26,0.95,0.70
2011-03-31,21.18,9.90,12.21,0.91,0.68
2010-12-31,20.35,10.23,9.57,0.91,0.67
2010-09-30,18.64,10.24,8.74,0.83,0.62
2010-06-30,17.75,10.75,7.45,0.84,0.61
2010-03-31,19.53,14.36,8.89,0.91,0.70
2009-12-31,17.60,14.92,8.44,0.82,0.64
2009-09-30,15.99,17.19,6.19,0.74,0.57
2009-06-30,13.79,14.21,6.81,0.66,0.46
2009-03-31,11.58,5.68,5.65,0.57,0.36
2008-12-31,12.56,5.44,7.98,0.61,0.37
2008-09-30,18.23,6.63,9.21,0.83,0.54
2008-06-30,18.37,6.31,6.84,0.82,0.55
2008-03-31,16.66,7.78,5.99,0.84,0.50
2007-12-31,18.07,8.56,6.35,0.94,0.55
2007-09-30,17.15,8.53,6.96,0.93,0.55
2007-06-30,19.86,11.22,10.32,1.12,0.65
2007-03-31,15.97,8.77,9.19,0.93,0.53
2006-12-31,16.01,8.84,10.68,0.96,0.54
