Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,76.26,13.57,0.00,1.44,2.45
2020-09-30,72.99,12.99,0.00,1.38,2.34
2020-06-30,71.09,13.36,0.00,1.43,2.32
2020-03-31,72.75,14.88,0.00,1.46,2.42
2019-12-31,85.63,17.92,0.00,1.73,2.78
2019-09-30,91.67,20.65,191.97,1.81,2.90
2019-06-30,88.14,19.72,46.08,1.85,2.73
2019-03-31,88.85,19.03,42.72,1.85,2.67
2018-12-31,78.54,17.30,69.78,1.65,2.39
2018-09-30,72.34,16.08,170.78,1.48,2.20
2018-06-30,72.97,17.54,0.00,1.58,2.27
2018-03-31,71.67,17.19,0.00,1.56,2.25
2017-12-31,75.84,17.43,0.00,1.65,2.39
2017-09-30,74.69,16.13,0.00,1.58,2.37
2017-06-30,74.66,16.52,0.00,1.67,2.37
2017-03-31,72.54,17.65,0.00,1.63,2.32
2016-12-31,67.31,17.08,0.00,1.52,2.16
2016-09-30,64.98,16.92,0.00,1.45,2.08
2016-06-30,68.77,18.15,0.00,1.62,2.18
2016-03-31,63.14,16.57,0.00,1.48,2.01
2015-12-31,53.71,13.74,92.48,1.26,1.71
2015-09-30,52.90,14.74,677.40,1.22,1.69
2015-06-30,46.47,13.32,208.96,1.14,1.49
2015-03-31,51.58,14.41,71.47,1.25,1.65
2014-12-31,54.81,15.31,29.11,1.34,1.74
2014-09-30,43.41,11.58,40.37,1.03,1.39
2014-06-30,45.49,12.67,29.98,1.15,1.47
2014-03-31,42.55,11.89,25.73,1.07,1.37
2013-12-31,40.76,11.14,25.36,1.03,1.31
2013-09-30,41.73,11.47,12.61,1.04,1.34
2013-06-30,41.91,11.00,12.51,1.11,1.36
2013-03-31,43.35,11.59,9.81,1.15,1.42
2012-12-31,37.79,10.98,12.60,1.01,1.26
2012-09-30,38.74,11.56,16.13,1.02,1.30
2012-06-30,37.59,10.86,15.43,1.06,1.25
2012-03-31,34.43,10.96,35.91,0.98,1.18
2011-12-31,34.25,11.12,13.47,0.95,1.16
2011-09-30,30.18,9.93,10.80,0.82,1.02
2011-06-30,30.95,10.82,12.51,0.91,1.05
2011-03-31,29.35,9.35,9.82,0.86,0.99
2010-12-31,28.07,8.72,86.32,0.81,0.94
2010-09-30,27.60,9.68,16.87,0.78,0.92
2010-06-30,23.99,9.41,6.71,0.73,0.79
2010-03-31,24.55,11.36,6.64,0.80,0.79
2009-12-31,23.46,35.01,6.67,0.69,0.75
2009-09-30,20.71,35.70,24.72,0.61,0.67
2009-06-30,18.72,77.99,0.00,0.59,0.61
2009-03-31,16.18,18.18,0.00,0.51,0.52
2008-12-31,19.27,8.03,0.00,0.56,0.60
2008-09-30,20.31,7.20,22.95,0.57,0.65
2008-06-30,17.87,5.27,16.20,0.48,0.54
2008-03-31,20.07,7.07,0.00,0.57,0.61
2007-12-31,23.93,7.87,0.00,0.68,0.73
2007-09-30,22.01,6.90,0.00,0.62,0.67
2007-06-30,21.89,7.40,0.00,0.64,0.69
2007-03-31,26.22,7.92,0.00,0.76,0.81
2006-12-31,27.26,8.31,0.00,0.79,0.85
