Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,333.97,41.85,32.39,22.75,3.71
2020-06-30,270.92,38.65,27.95,22.29,3.22
2020-03-31,195.56,30.75,31.39,22.41,2.44
2019-12-31,210.52,32.84,32.41,20.57,2.69
2019-09-30,199.40,31.25,29.22,19.66,2.58
2019-06-30,188.28,30.92,34.40,21.89,2.52
2019-03-31,162.13,28.59,40.18,28.61,2.24
2018-12-31,145.69,25.92,69.76,25.74,2.03
2018-09-30,163.07,27.97,81.59,17.71,2.31
2018-06-30,147.62,27.70,42.21,18.99,2.14
2018-03-31,142.05,29.97,47.35,23.07,2.13
2017-12-31,125.62,27.85,39.23,22.64,1.92
2017-09-30,104.49,26.45,47.64,19.91,1.64
2017-06-30,113.18,29.63,51.44,15.43,1.82
2017-03-31,114.52,31.90,37.26,21.26,1.89
2016-12-31,99.87,28.95,32.76,20.00,1.68
2016-09-30,90.18,26.14,22.72,13.83,1.54
2016-06-30,89.43,26.94,26.58,14.10,1.56
2016-03-31,83.15,26.91,28.67,16.96,1.51
2015-12-31,76.32,26.32,28.88,12.75,1.43
2015-09-30,68.09,24.40,22.06,11.11,1.30
2015-06-30,65.85,24.66,32.48,10.93,1.29
2015-03-31,65.21,25.77,37.34,11.79,1.29
2014-12-31,59.11,24.32,25.71,10.53,1.20
2014-09-30,50.06,21.12,33.59,8.59,1.04
2014-06-30,52.30,23.04,38.50,8.51,1.12
2014-03-31,56.49,27.56,30.91,9.74,1.27
2013-12-31,53.39,26.30,29.39,8.47,1.22
2013-09-30,51.31,26.04,79.07,7.04,1.20
2013-06-30,47.79,27.46,65.09,6.43,1.15
2013-03-31,43.61,25.80,21.45,7.12,1.07
2012-12-31,38.32,22.54,17.91,6.30,0.94
2012-09-30,37.50,22.59,11.92,5.59,0.94
2012-06-30,36.33,21.25,15.99,5.61,0.93
2012-03-31,33.46,21.45,28.20,5.66,0.89
2011-12-31,26.81,18.24,23.60,4.54,0.73
2011-09-30,23.20,16.11,27.26,3.63,0.65
2011-06-30,26.27,18.90,43.42,4.18,0.76
2011-03-31,21.15,16.92,15.08,4.08,0.64
2010-12-31,19.67,17.25,11.49,3.41,0.61
2010-09-30,17.41,15.82,10.40,2.79,0.54
2010-06-30,18.89,41.07,9.34,3.21,0.59
2010-03-31,19.41,48.53,7.42,3.95,0.62
2009-12-31,16.26,41.70,7.52,3.16,0.51
2009-09-30,18.82,52.27,9.50,3.41,0.58
2009-06-30,13.95,13.95,4.38,2.43,0.42
2009-03-31,11.20,10.18,10.09,2.34,0.32
2008-12-31,14.86,12.81,8.35,2.96,0.40
2008-09-30,19.10,15.53,8.76,3.39,0.51
2008-06-30,14.46,11.95,9.02,2.72,0.38
2008-03-31,15.29,12.33,13.30,3.63,0.41
2007-12-31,15.96,11.91,13.30,3.63,0.42
2007-09-30,19.99,13.51,114.94,4.08,0.53
2007-06-30,31.12,19.09,37.98,5.62,0.84
2007-03-31,28.46,17.46,15.51,6.43,0.80
2006-12-31,31.05,18.05,31.29,5.69,0.89
