Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,26.82,13.28,0.00,1.51,2.67
2020-06-30,25.10,10.91,0.00,1.48,2.45
2020-03-31,23.63,9.64,0.00,1.37,2.26
2019-12-31,33.87,14.29,0.00,2.00,3.19
2019-09-30,29.36,11.94,0.00,1.78,2.75
2019-06-30,28.51,11.73,0.00,1.72,2.67
2019-03-31,28.80,11.25,0.00,1.71,2.65
2018-12-31,25.38,9.88,0.00,1.57,2.29
2018-09-30,25.87,12.26,0.00,1.58,2.32
2018-06-30,24.90,12.45,0.00,1.55,2.23
2018-03-31,24.29,14.29,0.00,1.52,2.20
2017-12-31,26.18,15.97,0.00,1.69,2.41
2017-09-30,31.75,14.37,0.00,2.04,2.96
2017-06-30,32.02,13.40,0.00,2.09,2.95
2017-03-31,30.66,11.48,0.00,2.07,2.80
2016-12-31,27.62,9.90,0.00,1.90,2.50
2016-09-30,27.72,10.27,0.00,1.89,2.52
2016-06-30,29.95,11.56,0.00,1.97,2.72
2016-03-31,29.91,39.88,0.00,2.07,2.71
2015-12-31,26.53,26.53,0.00,1.80,2.32
2015-09-30,25.28,17.43,0.00,1.66,1.92
2015-06-30,22.37,13.89,0.00,1.51,1.69
2015-03-31,23.53,7.64,0.00,1.12,1.77
2014-12-31,25.11,9.62,0.00,1.23,2.13
2014-09-30,22.46,15.93,0.00,1.07,4.67
2014-06-30,24.03,18.63,0.00,1.16,3.63
2014-03-31,22.18,14.04,0.00,1.10,2.46
2013-12-31,19.90,11.44,0.00,1.01,1.81
2013-09-30,19.85,7.94,0.00,1.01,1.05
2013-06-30,19.53,7.84,0.00,1.05,1.07
2013-03-31,19.96,8.60,0.00,1.10,1.14
2012-12-31,18.03,6.94,0.00,1.00,0.86
2012-09-30,18.07,6.50,0.00,0.93,0.78
2012-06-30,17.09,5.83,38.79,0.90,0.70
2012-03-31,17.15,6.08,13.33,0.86,0.70
2011-12-31,17.62,6.50,24.21,0.92,0.75
2011-09-30,16.89,6.35,36.34,0.88,0.84
2011-06-30,16.27,6.75,20.09,0.86,0.84
2011-03-31,14.60,6.41,0.00,0.80,0.78
2010-12-31,14.99,7.07,14.83,0.85,0.73
2010-09-30,15.29,8.54,7.58,0.86,0.74
2010-06-30,13.83,10.40,9.79,0.81,0.66
2010-03-31,15.16,13.90,5.19,0.92,0.70
2009-12-31,17.46,16.32,10.48,1.13,0.88
2009-09-30,16.22,11.50,14.72,1.03,0.75
2009-06-30,17.41,9.16,0.00,1.12,0.70
2009-03-31,15.01,6.18,55.17,1.02,0.65
2008-12-31,15.82,6.38,34.69,1.17,0.76
2008-09-30,18.88,6.49,0.00,1.27,1.01
2008-06-30,26.44,8.24,39.14,1.91,1.71
2008-03-31,23.07,6.44,111.09,1.54,1.37
2007-12-31,25.98,7.62,0.00,1.74,1.55
2007-09-30,22.96,8.47,89.17,1.67,1.42
2007-06-30,23.06,9.41,113.05,1.65,1.47
2007-03-31,20.02,9.81,36.86,1.46,1.29
2006-12-31,17.40,7.73,18.49,1.31,1.10
