Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,45.70,0.00,13.44,1.07,1.23
2020-06-30,54.78,31.48,13.69,1.26,1.48
2020-03-31,47.47,34.65,20.65,1.12,1.30
2019-12-31,50.77,47.45,27.71,1.19,1.43
2019-09-30,54.70,30.22,21.22,1.29,1.59
2019-06-30,46.40,71.38,17.13,1.10,1.37
2019-03-31,46.70,55.59,15.77,1.11,1.37
2018-12-31,37.43,39.82,10.56,0.90,1.10
2018-09-30,68.38,79.52,18.21,1.64,1.99
2018-06-30,70.25,42.32,16.95,1.64,2.02
2018-03-31,80.09,88.01,19.05,1.80,2.29
2017-12-31,83.56,99.47,19.52,1.91,2.41
2017-09-30,81.00,0.00,18.84,1.89,2.32
2017-06-30,72.12,0.00,16.56,1.69,2.06
2017-03-31,63.26,0.00,13.80,1.50,1.77
2016-12-31,79.14,0.00,20.67,1.90,2.15
2016-09-30,87.64,0.00,1781.36,1.68,4.26
2016-06-30,85.93,0.00,41.96,1.36,4.21
2016-03-31,121.05,0.00,515.56,1.78,10.93
2015-12-31,136.77,0.00,162.31,1.94,16.03
2015-09-30,148.52,150.02,28.64,2.03,6.36
2015-06-30,174.43,185.56,56.85,0.00,8.01
2015-03-31,156.13,278.81,76.89,2.29,7.17
2014-12-31,157.52,99.07,51.34,2.28,7.04
2014-09-30,141.44,673.51,70.88,2.17,5.78
2014-06-30,137.17,204.73,95.01,0.00,5.03
2014-03-31,145.43,217.06,789.11,2.27,5.34
2013-12-31,144.21,96.79,99.88,2.27,4.89
2013-09-30,115.88,33.30,49.13,4.42,4.00
2013-06-30,113.56,33.20,56.39,0.00,4.17
2013-03-31,111.35,32.56,37.57,4.70,4.09
2012-12-31,97.48,28.09,48.41,4.34,3.78
2012-09-30,108.76,31.89,64.22,5.19,4.29
2012-06-30,110.33,36.29,63.09,0.00,4.43
2012-03-31,96.57,31.77,43.94,5.09,3.88
2011-12-31,90.89,32.93,51.97,5.20,3.78
2011-09-30,90.63,33.94,59.37,5.47,3.98
2011-06-30,81.94,30.13,82.99,0.00,3.73
2011-03-31,74.09,27.24,79.61,4.82,3.37
2010-12-31,58.95,24.26,59.70,4.16,2.89
2010-09-30,59.71,29.71,62.53,4.57,3.15
2010-06-30,54.87,29.34,38.41,0.00,3.10
2010-03-31,54.48,29.13,20.26,4.71,3.07
2009-12-31,36.91,21.71,25.84,3.40,2.13
2009-09-30,31.45,22.15,60.25,3.00,1.87
2009-06-30,25.65,22.12,159.54,0.00,1.60
2009-03-31,22.88,19.73,0.00,2.51,1.43
2008-12-31,29.70,27.25,184.70,3.31,1.90
2008-09-30,35.30,29.91,65.16,3.69,2.44
2008-06-30,29.11,25.54,34.97,0.00,2.13
2008-03-31,34.52,30.29,23.79,3.75,2.53
2007-12-31,31.99,35.54,38.43,3.66,2.56
2007-09-30,19.48,25.29,48.80,2.36,1.64
2007-06-30,17.82,29.71,0.00,0.00,1.55
2007-03-31,16.04,26.74,0.00,2.10,1.40
2006-12-31,15.67,24.49,0.00,2.10,1.41
