Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,81.91,0.00,1.95,0.48,0.58
2020-09-30,61.75,0.00,1.47,0.37,0.41
2020-06-30,58.27,0.00,0.94,0.35,0.39
2020-03-31,48.93,6.79,0.63,0.32,0.32
2019-12-31,86.96,8.58,1.82,0.54,0.55
2019-09-30,82.56,8.82,1.27,0.50,0.54
2019-06-30,91.59,9.33,1.65,0.59,0.59
2019-03-31,82.48,9.62,1.56,0.61,0.54
2018-12-31,72.43,7.63,1.43,0.61,0.49
2018-09-30,89.10,5.53,2.56,0.78,0.63
2018-06-30,81.48,4.71,2.28,0.70,0.58
2018-03-31,89.44,4.98,2.76,0.72,0.65
2017-12-31,98.50,5.50,3.19,0.76,0.72
2017-09-30,90.46,9.10,6.00,0.76,0.70
2017-06-30,91.33,10.24,6.53,0.80,0.71
2017-03-31,89.45,9.08,3.87,0.82,0.68
2016-12-31,86.67,8.94,2.60,0.81,0.66
2016-09-30,67.53,6.34,1.57,0.51,0.51
2016-06-30,58.47,6.00,1.11,0.46,0.47
2016-03-31,58.66,5.47,1.82,0.53,0.48
2015-12-31,65.42,5.38,2.16,0.70,0.53
2015-09-30,60.75,7.72,1.42,0.64,0.48
2015-06-30,69.27,12.15,1.86,0.74,0.56
2015-03-31,63.14,12.91,1.28,0.63,0.52
2014-12-31,70.61,22.70,1.70,0.76,0.61
2014-09-30,68.17,14.03,2.19,0.74,0.66
2014-06-30,68.41,11.52,2.74,0.75,0.68
2014-03-31,64.81,25.02,2.94,0.77,0.69
2013-12-31,70.16,0.00,3.85,0.90,0.79
2013-09-30,58.98,0.00,1.90,0.78,0.36
2013-06-30,54.96,0.00,1.48,0.71,0.32
2013-03-31,44.13,36.17,1.02,0.51,0.24
2012-12-31,39.61,58.25,0.89,0.47,0.22
2012-09-30,39.20,16.33,1.37,0.46,0.37
2012-06-30,34.83,5.07,1.26,0.42,0.32
2012-03-31,45.59,11.66,2.03,0.60,0.46
2011-12-31,36.04,5.01,1.42,0.49,0.36
2011-09-30,32.72,5.14,1.25,0.41,0.35
2011-06-30,44.40,7.68,2.36,0.61,0.53
2011-03-31,43.00,7.43,2.34,0.63,0.53
2010-12-31,41.00,7.14,2.98,0.60,0.51
2010-09-30,37.04,4.07,2.93,0.51,0.45
2010-06-30,36.69,4.09,3.76,0.57,0.46
2010-03-31,41.36,4.84,5.97,0.70,0.57
2009-12-31,34.02,4.60,2.61,0.61,0.46
2009-09-30,33.63,0.00,1.64,0.63,0.48
2009-06-30,25.08,0.00,0.98,0.62,0.37
2009-03-31,12.82,0.00,0.45,0.40,0.18
2008-12-31,20.39,0.00,0.81,0.63,0.31
2008-09-30,46.55,15.16,2.45,1.05,0.66
2008-06-30,38.62,7.50,2.52,0.77,0.54
2008-03-31,50.59,9.03,3.50,0.98,0.71
2007-12-31,60.15,7.94,4.68,1.15,0.82
2007-09-30,62.30,8.08,4.60,1.24,0.87
2007-06-30,62.08,7.53,4.19,1.25,0.88
2007-03-31,57.63,7.86,6.12,1.14,0.85
2006-12-31,54.82,8.40,6.19,1.13,0.84
