Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,50.55,0.00,0.00,0.99,0.29
2020-06-30,69.12,0.00,106.22,1.30,0.35
2020-03-31,50.93,74.89,13.24,0.94,0.22
2019-12-31,104.70,15.44,51.38,1.70,0.44
2019-09-30,95.51,9.59,12.46,1.57,0.41
2019-06-30,86.46,7.48,15.63,1.42,0.37
2019-03-31,87.04,7.72,13.23,1.48,0.37
2018-12-31,78.14,6.56,7.59,1.31,0.33
2018-09-30,101.40,7.60,15.78,1.81,0.44
2018-06-30,100.34,8.53,14.56,1.87,0.46
2018-03-31,85.13,8.53,14.91,1.63,0.42
2017-12-31,89.09,8.97,25.72,1.63,0.45
2017-09-30,80.08,20.07,149.57,1.69,0.44
2017-06-30,71.68,21.40,81.48,1.54,0.41
2017-03-31,68.07,21.14,0.00,1.48,0.40
2016-12-31,73.65,25.22,331.67,1.61,0.46
2016-09-30,68.15,17.89,0.00,1.46,0.44
2016-06-30,66.58,11.58,0.00,1.45,0.41
2016-03-31,72.09,10.82,0.00,1.60,0.42
2015-12-31,67.58,8.74,0.00,1.49,0.37
2015-09-30,63.10,7.35,50.52,1.40,0.31
2015-06-30,65.72,8.46,0.00,1.52,0.29
2015-03-31,63.68,8.56,0.00,1.53,0.25
2014-12-31,57.71,6.94,0.00,1.43,0.21
2014-09-30,64.99,8.51,158.82,1.62,0.22
2014-06-30,63.91,9.95,13.22,1.63,0.22
2014-03-31,60.86,9.45,11.47,1.58,0.22
2013-12-31,60.60,10.10,8.93,1.60,0.22
2013-09-30,45.16,7.87,6.38,1.23,0.16
2013-06-30,45.76,6.20,6.56,1.29,0.17
2013-03-31,54.09,7.02,7.84,1.57,0.20
