Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,93.98,0.00,9.29,1.43,0.89
2020-10-31,58.29,0.00,5.76,0.89,0.55
2020-07-31,48.66,0.00,5.53,0.75,0.44
2020-04-30,49.23,0.00,5.45,0.77,0.41
2020-01-31,87.07,15.69,8.84,1.08,0.66
2019-10-31,87.03,10.16,9.52,1.07,0.67
2019-07-31,88.74,9.97,12.22,1.13,0.70
2019-04-30,128.69,15.25,19.12,1.68,1.02
2019-01-31,108.82,11.28,17.78,1.41,0.87
2018-10-31,120.43,13.46,26.64,1.61,0.97
2018-07-31,153.03,17.29,28.94,2.11,1.26
2018-04-30,159.12,19.29,59.21,2.21,1.35
2018-01-31,154.50,22.56,41.95,2.15,1.36
2017-10-31,126.30,18.80,48.68,1.85,1.17
2017-07-31,118.78,22.71,25.76,1.81,1.13
2017-04-30,100.56,20.86,16.90,1.61,0.98
2017-01-31,93.33,13.81,11.22,1.53,0.92
2016-10-31,106.40,14.92,10.21,1.76,1.06
2016-07-31,100.48,12.19,11.13,1.68,1.02
2016-04-30,95.01,11.38,11.38,1.58,0.98
2016-01-31,72.89,10.58,9.45,1.30,0.76
2015-10-31,90.30,15.36,12.48,1.63,0.94
2015-07-31,115.18,19.46,13.96,2.16,1.19
2015-04-30,102.54,16.49,13.19,1.91,1.05
2015-01-31,109.36,20.75,17.08,2.07,1.10
2014-10-31,113.38,27.06,20.61,2.04,1.15
2014-07-31,109.22,28.37,29.61,1.99,1.10
2014-04-30,124.44,58.42,39.48,2.29,1.25
2014-01-31,119.74,82.01,56.58,2.27,1.20
2013-10-31,123.37,40.99,96.80,2.31,1.27
2013-07-31,130.48,45.31,54.60,2.62,1.41
2013-04-30,114.23,26.75,36.46,2.25,1.32
2013-01-31,117.62,20.31,24.21,2.64,1.44
2012-10-31,108.79,18.73,19.27,2.52,1.35
2012-07-31,78.53,15.37,15.14,1.99,0.97
2012-04-30,87.75,18.13,19.64,2.18,1.08
2012-01-31,76.25,17.49,17.33,1.91,0.94
2011-10-31,73.46,18.50,21.59,1.79,0.91
2011-07-31,70.60,19.89,18.97,1.76,0.89
2011-04-30,69.43,38.57,16.96,1.75,0.90
2011-01-31,57.53,119.85,15.01,1.58,0.82
2010-10-31,60.41,223.76,16.55,1.67,0.98
2010-07-31,51.07,69.96,15.21,1.57,0.95
2010-04-30,61.97,29.94,18.80,2.37,1.32
2010-01-31,38.62,12.54,10.64,1.72,0.84
2009-10-31,39.43,21.54,10.02,1.78,0.87
2009-07-31,34.70,27.11,10.85,1.70,0.76
2009-04-30,28.44,21.38,9.46,1.43,0.61
2009-01-31,18.60,10.63,6.40,0.96,0.39
2008-10-31,23.92,7.87,9.09,1.13,0.51
2008-07-31,34.51,11.28,10.90,1.71,0.77
2008-04-30,41.12,12.93,15.66,2.11,0.94
2008-01-31,40.96,12.80,18.77,2.20,0.97
2007-10-31,46.47,14.89,23.11,2.36,1.10
2007-07-31,50.58,17.09,22.33,2.72,1.26
2007-04-30,54.27,20.79,21.31,2.83,1.39
2007-01-31,53.51,20.90,13.95,3.17,1.42
2006-10-31,44.36,17.75,9.96,2.73,1.22
