Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,52.82,19.49,6.06,1.76,0.67
2020-06-30,39.16,15.66,4.63,1.38,0.49
2020-03-31,31.58,14.55,7.73,1.15,0.39
2019-12-31,40.52,14.84,20.20,1.42,0.49
2019-09-30,37.58,16.27,0.00,1.37,0.46
2019-06-30,37.92,17.24,0.00,1.43,0.49
2019-03-31,37.40,15.02,0.00,1.43,0.49
2018-12-31,29.83,15.62,47.44,1.17,0.41
2018-09-30,33.08,14.70,35.64,1.29,0.49
2018-06-30,33.10,16.55,17.90,1.34,0.51
2018-03-31,34.04,17.64,32.99,1.40,0.55
2017-12-31,38.76,19.38,40.45,1.57,0.64
2017-09-30,37.03,20.02,40.48,1.54,0.64
2017-06-30,32.62,18.43,0.00,1.42,0.60
2017-03-31,36.78,25.02,0.00,1.65,0.71
2016-12-31,34.54,26.77,27.14,1.56,0.71
2016-09-30,27.74,40.20,18.56,1.28,0.62
2016-06-30,22.91,16.85,8.86,1.08,0.55
2016-03-31,22.36,15.21,8.24,1.13,0.57
2015-12-31,20.07,12.62,8.80,1.04,0.54
2015-09-30,23.99,12.50,10.91,1.22,0.65
2015-06-30,28.56,23.80,17.19,1.40,0.79
2015-03-31,28.27,20.94,23.04,1.39,0.79
2014-12-31,28.13,20.84,412.53,1.36,0.80
2014-09-30,35.96,19.76,0.00,1.70,1.05
2014-06-30,34.27,18.83,0.00,1.65,1.07
2014-03-31,36.57,20.54,162.38,1.81,1.20
2013-12-31,31.28,16.73,41.15,1.60,1.05
2013-09-30,27.26,17.48,36.82,1.42,0.91
2013-06-30,26.22,16.60,604.19,1.41,0.89
2013-03-31,28.32,18.16,95.40,1.55,0.98
2012-12-31,27.04,18.78,0.00,1.53,0.97
2012-09-30,24.48,18.83,0.00,1.40,0.98
2012-06-30,23.85,21.68,105.83,1.41,1.00
2012-03-31,20.71,22.03,0.00,1.24,0.94
2011-12-31,21.35,33.35,89.35,1.32,1.08
2011-09-30,18.62,38.79,21.72,1.16,1.01
2011-06-30,20.02,37.77,42.29,1.26,1.10
2011-03-31,22.23,41.16,47.38,1.40,1.26
2010-12-31,19.74,27.04,42.71,1.26,1.15
2010-09-30,18.91,24.24,0.00,1.23,1.03
2010-06-30,20.46,25.58,42.08,1.36,1.25
2010-03-31,18.99,23.44,34.64,1.28,1.16
2009-12-31,20.65,25.50,18.81,1.39,1.25
2009-09-30,21.93,26.11,13.15,1.54,1.34
2009-06-30,22.92,29.01,19.55,1.66,1.30
2009-03-31,21.26,25.31,22.65,1.56,1.15
2008-12-31,19.62,23.08,53.48,1.45,1.00
2008-09-30,26.77,33.88,0.00,1.98,1.31
2008-06-30,32.97,39.72,227.38,2.50,1.72
2008-03-31,22.96,29.44,87.41,1.78,1.28
2007-12-31,26.00,29.22,35.35,2.04,1.54
2007-09-30,26.21,58.25,33.96,2.09,1.61
2007-06-30,30.39,98.05,34.80,4.51,1.91
2007-03-31,24.99,89.26,21.84,3.85,1.58
2006-12-31,19.49,162.44,27.96,3.17,1.20
