Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,85.58,83.90,32.01,1.21,1.88
2020-06-30,96.62,38.34,56.13,1.35,1.99
2020-03-31,68.97,16.54,29.57,0.93,1.26
2019-12-31,147.61,32.87,560.18,2.02,2.66
2019-09-30,122.29,28.31,0.00,1.71,2.21
2019-06-30,149.08,27.97,0.00,2.10,2.67
2019-03-31,147.55,21.96,774.12,2.04,2.60
2018-12-31,127.17,22.31,0.00,1.78,2.31
2018-09-30,168.42,21.93,358.66,2.41,3.48
2018-06-30,182.81,35.43,0.00,2.71,4.49
2018-03-31,165.94,27.03,0.00,2.48,4.48
2017-12-31,166.81,34.39,0.00,2.52,5.20
2017-09-30,142.39,197.76,0.00,2.29,5.18
2017-06-30,153.97,157.11,54.45,2.47,5.58
2017-03-31,179.68,0.00,93.90,2.95,7.55
2016-12-31,173.70,0.00,0.00,2.83,8.53
2016-09-30,179.08,0.00,0.00,2.91,8.35
2016-06-30,145.83,0.00,0.00,2.38,4.96
2016-03-31,135.73,0.00,0.00,2.29,4.70
2015-12-31,120.88,0.00,0.00,2.16,3.96
2015-09-30,117.28,22.55,0.00,1.95,3.19
2015-06-30,133.67,38.08,0.00,2.40,4.12
2015-03-31,157.59,31.64,0.00,2.76,4.55
2014-12-31,143.43,22.59,0.00,2.49,4.05
2014-09-30,189.79,0.00,9349.42,3.79,6.22
2014-06-30,221.39,0.00,0.00,4.69,8.61
2014-03-31,180.28,0.00,133.50,3.83,6.54
2013-12-31,177.29,0.00,0.00,3.83,6.64
2013-09-30,181.84,45.23,0.00,3.25,7.16
2013-06-30,139.39,39.60,0.00,2.52,5.67
2013-03-31,119.65,217.54,0.00,2.25,5.05
2012-12-31,102.61,69.33,0.00,2.16,4.25
2012-09-30,100.50,304.55,0.00,2.14,4.46
2012-06-30,84.88,27.12,0.00,1.81,3.27
2012-03-31,107.38,18.74,0.00,2.26,4.25
2011-12-31,86.07,12.28,175.26,1.86,4.03
2011-09-30,63.26,7.35,23.59,1.42,2.56
2011-06-30,86.11,13.05,29.07,2.08,4.04
2011-03-31,97.98,16.38,14.51,2.50,5.33
2010-12-31,83.43,16.36,24.08,2.28,4.06
2010-09-30,62.49,12.73,18.69,1.73,4.29
2010-06-30,57.09,14.60,11.02,1.62,4.40
2010-03-31,54.09,31.82,15.06,1.60,4.70
2009-12-31,46.23,0.00,39.96,1.45,4.09
2009-09-30,34.83,0.00,83.56,1.13,2.47
2009-06-30,24.44,0.00,0.00,0.79,1.55
2009-03-31,15.79,26.76,0.00,0.50,0.84
2008-12-31,15.48,8.55,0.00,0.48,0.79
2008-09-30,50.01,12.20,0.00,1.67,2.51
2008-06-30,74.66,15.02,0.00,2.83,3.96
2008-03-31,46.85,11.86,0.00,1.82,2.75
2007-12-31,46.45,14.98,0.00,1.80,3.08
2007-09-30,42.78,26.57,0.00,1.64,3.31
2007-06-30,46.18,32.75,0.00,1.81,3.84
2007-03-31,40.87,22.71,0.00,1.66,3.52
2006-12-31,37.51,6.42,5.32,1.53,3.20
