Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,290.81,82.15,67.58,16.99,16.08
2020-12-31,234.20,66.16,54.42,13.68,12.95
2020-09-30,197.03,74.35,50.01,12.46,11.52
2020-06-30,174.23,79.92,40.12,11.56,10.75
2020-03-31,95.74,60.59,28.47,7.01,6.22
2019-12-31,108.17,52.26,37.97,7.50,7.23
2019-09-30,103.59,48.63,33.53,7.38,7.24
2019-06-30,114.46,54.50,19.05,8.35,8.36
2019-03-31,103.84,56.13,20.82,8.03,7.83
2018-12-31,84.09,49.18,21.71,6.42,6.56
2018-09-30,87.84,51.07,30.68,6.85,7.10
2018-06-30,83.27,49.86,0.00,6.56,6.97
2018-03-31,75.87,48.32,126.94,6.13,6.70
2017-12-31,73.62,50.08,48.22,5.52,6.85
2017-09-30,64.03,49.64,26.46,4.99,6.32
2017-06-30,53.67,42.94,23.86,4.30,5.55
2017-03-31,43.02,36.46,21.03,3.52,4.64
2016-12-31,39.47,34.03,19.31,3.24,4.43
2016-09-30,40.97,35.94,21.88,3.48,4.80
2016-06-30,36.51,32.60,15.15,3.19,4.46
