Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,239.30,21.27,3.72,1.00,0.99
2020-09-30,196.22,11.84,3.05,0.82,0.87
2020-06-30,203.38,15.57,3.86,0.88,0.96
2020-03-31,188.35,11.29,4.01,0.88,0.92
2019-12-31,269.25,10.85,5.88,1.20,1.32
2019-09-30,257.29,25.76,6.70,1.17,1.33
2019-06-30,237.63,19.09,7.22,1.09,1.25
2019-03-31,206.43,35.84,9.56,1.00,1.10
2018-12-31,208.15,89.34,13.85,1.08,1.15
2018-09-30,216.98,8.45,13.28,1.06,1.18
2018-06-30,217.61,44.14,13.43,1.08,1.22
2018-03-31,241.08,26.26,10.08,1.18,1.43
2017-12-31,206.65,18.55,7.26,1.01,1.27
2017-09-30,212.08,33.29,5.96,1.09,1.37
2017-06-30,235.23,8.07,7.25,1.13,1.58
2017-03-31,214.95,8.00,6.37,1.06,1.48
2016-12-31,197.88,8.31,5.95,1.00,1.43
2016-09-30,172.68,7.51,5.72,0.88,1.28
2016-06-30,165.05,9.21,5.58,0.87,1.29
2016-03-31,177.25,9.36,6.75,0.96,1.41
2015-12-31,163.41,7.38,6.46,0.92,1.27
2015-09-30,153.75,7.20,7.34,0.88,1.23
2015-06-30,160.54,6.34,7.24,0.92,1.25
2015-03-31,152.68,5.67,6.61,0.88,1.19
2014-12-31,148.63,5.73,6.45,0.89,1.20
2014-09-30,140.62,5.41,5.46,0.86,1.14
2014-06-30,138.66,5.59,5.27,0.87,1.17
2014-03-31,131.62,5.46,5.24,0.86,1.15
2013-12-31,133.37,5.25,5.96,0.91,1.17
2013-09-30,123.82,6.52,5.86,0.88,1.15
2013-06-30,108.84,5.73,6.63,0.80,1.06
2013-03-31,109.79,6.26,7.16,0.80,1.12
2012-12-31,92.60,5.89,6.94,0.71,0.98
2012-09-30,89.67,5.85,7.20,0.68,0.96
2012-06-30,86.36,7.39,6.69,0.70,0.97
2012-03-31,76.84,7.68,5.93,0.64,0.87
2011-12-31,69.47,0.00,5.22,0.61,0.80
2011-09-30,65.21,19.94,5.38,0.58,0.77
2011-06-30,66.76,12.79,4.80,0.59,0.76
2011-03-31,71.63,13.00,4.76,0.66,0.85
2010-12-31,68.52,6.26,4.24,0.59,0.83
2010-09-30,69.46,7.97,4.03,0.61,0.87
2010-06-30,56.47,6.04,3.36,0.53,0.73
2010-03-31,64.19,5.79,4.41,0.63,0.83
2009-12-31,67.57,5.11,5.24,0.66,0.92
2009-09-30,68.78,7.11,6.43,0.68,1.04
2009-06-30,55.81,26.20,4.82,0.61,0.93
2009-03-31,54.81,322.44,5.68,0.67,0.94
2008-12-31,58.50,0.00,5.47,0.72,1.03
2008-09-30,65.97,659.70,4.88,0.80,1.05
2008-06-30,60.41,7.75,4.63,0.67,0.88
2008-03-31,67.50,6.90,4.52,0.74,0.95
2007-12-31,75.32,5.74,5.61,0.83,1.00
2007-09-30,82.31,5.12,6.88,0.92,1.09
2007-06-30,80.75,5.06,8.90,0.96,1.10
2007-03-31,71.16,4.78,7.28,0.87,1.02
2006-12-31,72.24,5.62,7.42,0.92,1.05
