Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,483.11,15.75,27.75,4.69,6.56
2020-09-30,559.78,20.46,40.52,5.89,8.13
2020-06-30,623.65,24.14,29.93,7.30,9.75
2020-03-31,488.29,24.54,32.73,4.52,7.98
2019-12-31,375.48,20.34,21.51,3.73,6.57
2019-09-30,277.40,14.85,15.88,2.90,6.29
2019-06-30,313.00,17.40,18.85,3.52,7.23
2019-03-31,410.62,19.43,22.55,4.76,9.43
2018-12-31,373.50,17.54,23.66,4.65,8.34
2018-09-30,404.04,25.82,28.52,5.56,7.31
2018-06-30,344.99,25.00,24.28,5.18,6.43
2018-03-31,344.36,27.95,31.40,5.85,6.59
2017-12-31,375.96,36.43,42.12,6.59,7.43
2017-09-30,447.12,40.61,63.99,7.94,9.42
2017-06-30,491.14,49.31,57.54,9.53,10.88
2017-03-31,387.51,46.63,33.56,8.46,9.03
2016-12-31,367.09,48.30,43.83,8.75,8.75
2016-09-30,402.02,59.56,55.57,9.44,9.82
2016-06-30,349.23,55.43,38.30,9.02,8.67
2016-03-31,360.44,57.21,51.25,10.05,9.36
2015-12-31,542.87,98.52,95.82,15.54,15.25
2015-09-30,465.14,90.67,83.87,14.68,14.03
2015-06-30,510.13,127.21,0.00,15.84,17.28
2015-03-31,451.48,143.78,235.92,15.68,16.89
2014-12-31,410.25,134.07,110.93,16.48,16.59
2014-09-30,360.52,121.80,73.75,14.43,15.58
2014-06-30,282.47,80.48,60.05,12.11,12.80
2014-03-31,300.28,86.29,94.17,13.69,14.79
2013-12-31,275.24,72.43,70.86,14.06,14.69
2013-09-30,312.87,44.57,122.68,18.40,18.57
2013-06-30,224.88,30.02,108.43,14.86,14.58
2013-03-31,176.40,23.84,409.38,12.26,12.54
2012-12-31,171.07,25.88,0.00,13.36,14.02
2012-09-30,152.66,78.29,0.00,18.28,15.32
2012-06-30,114.22,0.00,0.00,18.45,15.43
2012-03-31,116.62,0.00,0.00,21.99,20.00
2011-12-31,55.43,0.00,0.00,10.59,11.23
2011-09-30,58.20,0.00,0.00,12.57,11.21
2011-06-30,56.71,0.00,0.00,10.86,10.58
2011-03-31,44.94,0.00,1776.28,7.87,8.04
2010-12-31,32.83,0.00,0.00,5.56,5.85
2010-09-30,27.40,0.00,489.29,6.47,5.26
2010-06-30,22.32,0.00,0.00,4.94,4.15
2010-03-31,26.49,0.00,0.00,5.62,5.20
2009-12-31,24.18,0.00,0.00,4.94,5.08
2009-09-30,19.30,0.00,0.00,3.68,4.54
2009-06-30,17.92,0.00,0.00,3.50,4.96
2009-03-31,13.86,0.00,0.00,2.71,4.26
2008-12-31,18.36,0.00,0.00,3.48,6.06
2008-09-30,21.83,0.00,0.00,3.98,6.62
2008-06-30,14.44,0.00,143.54,2.54,5.15
2008-03-31,19.19,0.00,710.74,3.30,8.10
2007-12-31,24.15,0.00,179.42,4.14,12.77
2007-09-30,17.80,0.00,40.80,7.77,16.28
2007-06-30,17.92,0.00,44.98,6.60,17.40
2007-03-31,21.62,0.00,198.90,7.22,20.96
2006-12-31,20.07,0.00,57.41,6.06,18.05
