Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,20.37,49.68,7.41,1.09,2.94
2020-09-30,11.42,14.46,4.16,0.61,1.67
2020-06-30,10.87,16.47,3.92,0.59,1.61
2020-03-31,8.66,6.77,3.27,0.48,1.29
2019-12-31,16.39,10.85,6.81,0.96,2.44
2019-09-30,14.97,9.98,5.24,0.87,2.31
2019-06-30,13.99,8.69,5.26,0.85,2.24
2019-03-31,13.12,8.41,5.54,0.86,2.18
2018-12-31,12.29,7.98,6.38,0.83,2.14
2018-09-30,16.71,11.60,13.66,1.19,3.01
2018-06-30,16.07,13.51,11.49,1.14,3.03
2018-03-31,16.72,14.93,12.95,1.18,3.27
2017-12-31,15.48,15.48,8.64,1.08,3.14
2017-09-30,13.57,14.13,7.10,0.95,2.88
2017-06-30,12.96,13.64,7.81,0.92,2.76
2017-03-31,12.79,14.21,7.82,0.92,2.76
2016-12-31,12.59,14.47,7.79,0.92,2.74
2016-09-30,8.61,10.13,6.53,0.61,1.86
2016-06-30,7.38,9.34,5.46,0.53,1.66
2016-03-31,6.76,8.56,5.23,0.50,1.55
2015-12-31,8.21,10.94,8.90,0.63,1.94
2015-09-30,7.65,11.26,5.94,0.59,1.85
2015-06-30,8.74,12.14,6.63,0.69,2.14
2015-03-31,7.93,10.86,6.27,0.62,1.99
2014-12-31,8.82,11.16,6.56,0.71,2.23
2014-09-30,8.34,10.30,6.19,0.67,2.06
2014-06-30,8.78,11.11,5.81,0.71,2.17
2014-03-31,9.14,12.03,4.50,0.78,2.26
2013-12-31,8.12,10.54,3.22,0.71,2.00
2013-09-30,7.58,9.59,3.29,0.67,1.87
2013-06-30,7.77,9.71,3.19,0.71,1.89
2013-03-31,6.66,8.12,3.62,0.60,1.60
2012-12-31,5.79,8.27,3.55,0.53,1.33
2012-09-30,5.83,145.81,3.73,0.55,1.29
2012-06-30,5.46,0.00,2.55,0.53,1.16
2012-03-31,5.33,0.00,1.69,0.43,1.08
2011-12-31,3.47,0.00,0.96,0.26,0.68
2011-09-30,2.68,16.75,0.63,0.20,0.55
2011-06-30,4.98,0.00,1.57,0.37,0.97
2011-03-31,5.82,0.00,2.00,0.44,1.06
2010-12-31,5.60,0.00,1.70,0.42,0.96
2010-09-30,5.81,0.00,2.57,0.43,1.00
2010-06-30,5.25,0.00,2.81,0.38,0.87
2010-03-31,6.26,0.00,1.47,0.42,0.85
2009-12-31,4.21,0.00,2.31,0.28,0.46
2009-09-30,4.93,0.00,1.43,0.31,0.43
2009-06-30,3.20,0.00,0.68,0.20,0.25
2009-03-31,3.37,0.00,1.53,0.14,0.25
2008-12-31,6.14,0.00,2.77,0.25,0.44
2008-09-30,7.32,7.39,0.00,0.26,0.51
2008-06-30,8.24,5.72,0.00,0.29,0.55
2008-03-31,14.50,8.19,0.00,0.50,0.95
2007-12-31,17.04,9.80,4.29,0.60,1.12
2007-09-30,20.91,9.51,2.09,0.73,1.27
2007-06-30,23.21,9.63,2.18,0.83,1.41
2007-03-31,24.54,9.70,2.51,0.87,1.49
2006-12-31,25.68,9.44,4.90,0.91,1.59
