Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,118.25,19.20,3.12,2.18,1.98
2020-12-31,95.27,15.47,2.52,1.76,1.59
2020-09-30,72.46,12.45,2.58,1.38,1.25
2020-06-30,68.20,11.04,2.99,1.33,1.19
2020-03-31,62.29,9.23,2.63,1.25,1.08
2019-12-31,87.65,11.91,16.51,1.76,1.56
2019-09-30,80.46,11.24,26.39,1.67,1.45
2019-06-30,82.16,11.64,29.66,1.75,1.53
2019-03-31,77.83,11.43,66.40,1.70,1.49
2018-12-31,71.39,10.77,18.88,1.61,1.38
2018-09-30,88.31,15.39,17.52,1.99,1.76
2018-06-30,85.44,16.15,0.00,1.99,1.75
2018-03-31,85.21,17.11,0.00,2.05,1.79
2017-12-31,84.63,20.54,0.00,2.12,1.84
2017-09-30,79.92,18.46,0.00,2.02,1.80
2017-06-30,75.83,18.01,18.67,1.98,1.76
2017-03-31,71.89,18.72,32.55,1.94,1.74
2016-12-31,65.11,16.53,0.00,1.79,1.64
2016-09-30,54.54,14.90,0.00,1.52,1.43
2016-06-30,46.03,13.74,23.63,1.30,1.24
2016-03-31,44.27,13.06,18.12,1.28,1.20
2015-12-31,53.68,16.32,9.65,1.57,1.47
2015-09-30,45.80,13.35,8.11,1.37,1.26
2015-06-30,54.78,15.70,17.61,1.66,1.52
2015-03-31,52.05,15.17,10.82,1.60,1.46
2014-12-31,52.35,15.49,11.26,1.63,1.50
2014-09-30,48.81,14.70,15.66,1.55,1.41
2014-06-30,46.08,14.40,10.15,1.50,1.37
2014-03-31,50.64,17.22,12.76,1.69,1.53
2013-12-31,47.12,16.95,17.96,1.60,1.43
2013-09-30,37.50,14.54,8.98,1.31,1.14
2013-06-30,38.55,16.34,10.55,1.39,1.17
2013-03-31,41.22,17.77,13.70,1.47,1.25
2012-12-31,34.34,15.06,8.12,1.25,1.09
2012-09-30,32.55,14.79,13.67,1.22,1.09
2012-06-30,30.30,14.03,6.06,1.16,1.07
2012-03-31,32.20,16.18,8.91,1.29,1.19
2011-12-31,27.19,12.77,12.28,1.15,1.00
2011-09-30,22.71,10.00,1.83,0.99,0.82
2011-06-30,27.99,12.28,0.00,1.24,1.03
2011-03-31,33.16,13.76,37.58,1.48,1.25
2010-12-31,28.26,12.73,11.85,1.30,1.09
2010-09-30,21.80,11.41,0.00,1.05,0.87
2010-06-30,21.16,12.45,0.00,1.07,0.87
2010-03-31,22.82,14.72,21.61,1.18,0.98
2009-12-31,20.20,17.88,0.00,1.08,0.91
2009-09-30,19.69,15.27,6.82,1.09,0.89
2009-06-30,14.49,10.82,3.71,0.91,0.63
2009-03-31,16.48,10.50,6.93,1.06,0.68
2008-12-31,14.25,7.05,4.52,0.92,0.55
2008-09-30,27.25,13.83,18.13,1.74,1.01
2008-06-30,21.72,10.39,3.48,1.41,0.79
2008-03-31,18.84,9.10,3.73,1.27,0.68
2007-12-31,26.55,12.82,4.28,1.78,0.98
2007-09-30,26.70,12.71,7.87,1.82,1.02
2007-06-30,25.04,12.46,0.00,1.78,1.00
2007-03-31,24.04,12.52,0.00,1.79,0.99
2006-12-31,24.40,12.51,0.00,1.88,1.02
