Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,113.46,0.00,42.78,3.08,1.94
2020-12-31,103.74,0.00,39.12,2.82,1.77
2020-09-30,67.97,0.00,15.36,1.95,1.09
2020-06-30,72.52,44.77,22.83,2.07,1.06
2020-03-31,66.83,13.81,10.21,1.80,0.84
2019-12-31,116.15,13.49,14.72,2.75,1.43
2019-09-30,94.05,16.56,13.11,2.41,1.18
2019-06-30,111.08,20.53,15.28,2.85,1.42
2019-03-31,126.05,24.01,16.99,2.99,1.64
2018-12-31,100.08,18.67,15.29,2.35,1.30
2018-09-30,132.24,45.92,19.12,3.08,1.74
2018-06-30,120.32,47.00,14.03,2.85,1.59
2018-03-31,106.48,54.05,10.80,2.50,1.42
2017-12-31,98.31,0.00,9.17,2.35,1.30
2017-09-30,83.30,85.88,7.13,1.93,1.10
2017-06-30,69.24,0.00,7.18,1.67,0.89
2017-03-31,76.05,0.00,9.41,1.87,0.95
2016-12-31,83.66,47.80,10.06,1.90,1.01
2016-09-30,93.16,40.33,15.86,2.13,1.10
2016-06-30,82.13,22.69,13.83,1.90,0.95
2016-03-31,87.72,18.99,12.58,1.94,1.02
2015-12-31,101.07,18.24,19.55,2.23,1.18
2015-09-30,106.65,16.64,16.58,2.37,1.25
2015-06-30,118.92,17.49,23.81,2.68,1.40
2015-03-31,117.72,14.96,20.89,2.61,1.38
2014-12-31,165.13,20.29,22.99,3.54,1.96
2014-09-30,146.55,17.66,21.99,3.19,1.75
2014-06-30,142.57,17.22,20.91,3.16,1.74
2014-03-31,142.38,16.91,25.34,3.13,1.76
2013-12-31,155.76,19.21,28.47,3.46,2.00
2013-09-30,144.95,18.46,24.32,3.28,1.91
2013-06-30,152.50,19.28,18.57,3.67,2.03
2013-03-31,147.93,18.49,18.65,3.55,2.00
2012-12-31,130.67,17.15,17.74,3.14,1.78
2012-09-30,131.46,18.54,20.42,3.22,1.81
2012-06-30,121.43,16.73,17.84,3.19,1.67
2012-03-31,150.70,21.14,23.48,3.82,2.10
2011-12-31,119.23,17.33,17.90,3.12,1.72
2011-09-30,111.83,16.40,22.02,3.04,1.69
2011-06-30,114.18,17.70,23.53,3.30,1.85
2011-03-31,106.31,18.46,24.19,3.04,1.85
2010-12-31,95.21,15.48,21.80,2.68,1.70
2010-09-30,77.06,13.94,13.62,2.31,1.46
2010-06-30,62.50,12.04,11.19,2.02,1.24
2010-03-31,72.75,15.35,10.45,2.29,1.48
2009-12-31,69.19,17.09,10.56,2.22,1.44
2009-09-30,65.39,16.35,11.94,2.16,1.36
2009-06-30,45.66,11.92,8.81,1.61,0.94
2009-03-31,36.00,9.00,6.19,1.31,0.73
2008-12-31,38.64,8.47,7.08,1.42,0.79
2008-09-30,56.65,12.34,9.45,2.21,1.16
2008-06-30,53.33,13.01,9.38,2.15,1.13
2008-03-31,49.47,12.40,10.88,2.06,1.07
2007-12-31,52.40,14.28,8.99,2.22,1.19
2007-09-30,65.88,18.20,12.16,2.98,1.55
2007-06-30,83.08,21.81,13.70,3.85,2.02
2007-03-31,74.61,20.00,13.12,3.32,1.87
2006-12-31,65.70,18.10,8.40,2.97,1.67
