Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,388.91,59.19,29.94,4.01,7.44
2020-09-30,394.09,26.54,30.34,4.07,7.67
2020-06-30,386.75,25.31,24.94,4.10,7.53
2020-03-31,310.08,19.90,22.05,3.38,6.01
2019-12-31,351.77,20.90,26.43,3.86,6.88
2019-09-30,353.65,32.12,26.62,4.29,6.93
2019-06-30,362.78,33.78,26.94,4.52,7.15
2019-03-31,338.27,32.06,25.73,4.32,6.70
2018-12-31,263.63,29.13,20.07,3.52,5.30
2018-09-30,292.60,26.94,23.85,4.01,6.05
2018-06-30,272.14,26.34,24.06,3.85,5.79
2018-03-31,276.43,27.98,26.45,3.99,6.07
2017-12-31,254.67,27.15,22.43,3.80,5.72
2017-09-30,239.00,34.69,22.87,3.79,5.62
2017-06-30,227.01,33.98,21.52,3.74,5.59
2017-03-31,202.11,31.19,19.10,3.45,5.22
2016-12-31,178.86,27.82,19.85,3.14,4.84
2016-09-30,177.97,26.56,19.72,3.16,4.89
2016-06-30,166.06,24.97,20.28,3.03,4.63
2016-03-31,177.65,26.12,21.62,3.30,4.99
2015-12-31,184.17,26.85,21.02,3.51,5.22
2015-09-30,151.83,22.83,17.43,2.98,4.29
2015-06-30,166.86,25.24,19.20,3.35,4.71
2015-03-31,166.17,25.64,19.80,3.47,4.69
2014-12-31,150.80,23.56,19.01,3.18,4.28
2014-09-30,140.91,22.69,18.29,3.10,4.06
2014-06-30,140.44,23.29,17.56,3.09,4.11
2014-03-31,128.23,22.98,16.04,2.94,3.86
2013-12-31,133.00,24.77,17.54,3.14,4.11
2013-09-30,127.27,24.66,17.29,3.11,4.03
2013-06-30,118.83,23.91,17.23,3.03,3.85
2013-03-31,121.62,24.28,18.15,3.18,4.02
2012-12-31,106.50,21.96,16.58,2.85,3.54
2012-09-30,104.69,22.56,16.84,2.87,3.56
2012-06-30,93.78,20.43,16.04,2.69,3.21
2012-03-31,94.20,20.84,15.11,2.75,3.24
2011-12-31,82.39,18.98,14.45,2.49,2.90
2011-09-30,65.26,15.50,12.12,2.05,2.33
2011-06-30,78.78,19.89,15.28,2.54,2.92
2011-03-31,81.67,22.56,17.22,2.72,3.17
2010-12-31,72.09,21.65,14.80,2.49,2.91
2010-09-30,61.39,20.46,13.45,2.20,2.59
2010-06-30,52.62,19.20,12.96,1.98,2.32
2010-03-31,54.30,20.57,13.21,2.08,2.45
2009-12-31,49.08,19.02,13.33,1.90,2.22
2009-09-30,47.69,18.41,12.68,1.95,2.14
2009-06-30,42.30,15.22,9.84,1.79,1.81
2009-03-31,39.56,13.46,9.63,1.76,1.63
2008-12-31,40.38,13.20,9.36,1.81,1.64
2008-09-30,52.89,17.34,12.69,2.36,2.17
2008-06-30,61.10,20.71,16.68,2.80,2.57
2008-03-31,55.06,19.60,15.69,2.62,2.37
2007-12-31,57.85,21.51,17.19,2.87,2.56
2007-09-30,60.53,23.83,18.22,3.13,2.79
2007-06-30,52.71,21.96,18.30,2.88,2.54
2007-03-31,50.61,22.29,19.78,2.90,2.57
2006-12-31,46.27,21.72,18.25,2.73,2.47
