Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,118.95,141.61,20.73,14.04,3.34
2020-10-31,85.17,101.39,14.85,10.06,2.39
2020-07-31,89.67,59.78,45.88,11.13,2.51
2020-04-30,91.36,35.41,0.00,11.54,2.33
2020-01-31,111.76,24.30,24.98,11.87,2.52
2019-10-31,109.00,24.12,26.41,11.95,2.53
2019-07-31,105.14,23.90,23.36,11.55,2.51
2019-04-30,96.59,22.46,21.35,10.80,2.36
2019-01-31,91.11,21.39,20.54,10.15,2.27
2018-10-31,97.64,22.97,23.17,11.37,2.46
2018-07-31,86.03,21.19,21.21,10.10,2.22
2018-04-30,79.35,20.66,23.70,9.56,2.10
2018-01-31,80.62,22.71,23.37,10.04,2.20
2017-10-31,62.00,19.81,17.77,8.29,1.77
2017-07-31,53.88,17.78,16.70,7.32,1.58
2017-04-30,63.14,21.62,18.80,8.85,1.90
2017-01-31,64.07,22.64,20.07,9.14,1.97
2016-10-31,60.49,22.24,18.68,9.00,1.91
2016-07-31,59.67,22.69,20.01,9.05,1.95
2016-04-30,54.66,21.43,21.10,8.60,1.83
2016-01-31,54.03,21.57,22.89,8.79,1.84
2015-10-31,48.47,19.82,25.78,8.20,1.70
2015-07-31,50.82,21.35,32.86,8.69,1.82
2015-04-30,47.15,20.32,28.71,8.31,1.74
2015-01-31,43.63,19.74,25.12,7.94,1.66
2014-10-31,38.32,18.07,25.10,7.30,1.51
2014-07-31,30.49,14.84,18.42,5.95,1.23
2014-04-30,32.14,16.27,23.82,6.55,1.33
2014-01-31,31.97,16.52,29.27,6.80,1.35
2013-10-31,36.33,18.54,37.57,8.04,1.55
2013-07-31,31.62,16.47,29.82,7.10,1.38
2013-04-30,30.87,16.83,23.78,7.20,1.38
2013-01-31,27.82,15.76,22.32,6.95,1.28
2012-10-31,28.33,17.12,20.85,7.42,1.36
2012-07-31,30.82,19.14,18.90,8.29,1.53
2012-04-30,28.46,18.66,19.33,7.97,1.46
2012-01-31,23.46,16.40,26.72,7.13,1.26
2011-10-31,20.19,14.99,25.05,6.38,1.13
2011-07-31,17.39,13.51,30.28,5.64,1.00
2011-04-30,16.87,13.66,27.52,5.61,1.00
2011-01-31,14.88,12.88,15.04,5.27,0.91
2010-10-31,13.43,12.18,11.99,4.98,0.85
2010-07-31,11.95,11.30,9.59,4.58,0.78
2010-04-30,12.67,12.73,9.28,5.03,0.85
2010-01-31,10.36,11.70,7.09,4.40,0.72
2009-10-31,9.90,12.61,8.00,4.43,0.72
2009-07-31,9.89,14.44,10.07,4.63,0.75
2009-04-30,8.49,13.80,9.76,4.15,0.67
2009-01-31,6.56,11.21,9.59,3.35,0.53
2008-10-31,7.26,12.74,10.92,3.81,0.61
2008-07-31,8.41,15.30,11.08,4.40,0.72
2008-04-30,7.40,14.59,11.56,3.96,0.66
2008-01-31,6.42,13.45,29.92,3.55,0.59
2007-10-31,5.94,12.70,38.89,3.46,0.56
2007-07-31,6.34,13.93,22.70,3.71,0.61
2007-04-30,7.25,16.38,50.05,4.29,0.72
2007-01-31,7.07,16.62,14.14,4.33,0.72
2006-10-31,6.41,16.75,10.58,4.17,0.68
