Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,261.77,0.00,29.46,0.00,14.41
2020-09-30,317.98,0.00,35.79,-7.90,17.51
2020-06-30,297.00,0.00,35.72,-7.72,16.53
2020-03-31,268.72,0.00,35.29,-6.94,15.05
2019-12-31,239.46,185.62,33.66,-7.30,13.64
2019-09-30,239.25,199.37,35.73,-7.57,13.89
2019-06-30,222.75,193.70,35.14,-7.54,13.23
2019-03-31,197.81,534.62,30.92,-6.78,12.02
2018-12-31,160.39,391.19,26.67,-5.34,10.01
2018-09-30,159.14,0.00,26.48,-5.78,10.25
2018-06-30,163.59,681.62,27.67,-6.17,10.84
2018-03-31,169.33,206.51,29.85,-7.62,11.59
2017-12-31,161.84,188.19,29.17,-7.25,11.39
2017-09-30,142.71,169.90,26.28,-7.49,10.28
2017-06-30,133.65,431.13,25.26,-8.14,9.83
2017-03-31,119.25,243.37,23.50,-7.55,8.95
2016-12-31,102.30,167.71,21.25,-6.20,7.86
2016-09-30,111.12,137.18,24.75,-8.28,8.63
2016-06-30,106.94,0.00,24.85,-8.29,8.35
2016-03-31,99.24,0.00,24.61,-7.64,7.79
2015-12-31,104.10,0.00,25.86,-7.67,8.17
2015-09-30,103.64,0.00,27.43,-7.70,8.16
2015-06-30,113.90,0.00,32.24,-12.89,9.10
2015-03-31,116.01,0.00,32.95,-14.48,9.41
2014-12-31,109.73,0.00,30.55,-21.44,9.41
2014-09-30,109.87,0.00,30.82,-47.66,9.86
2014-06-30,101.35,0.00,30.04,82.15,9.63
2014-03-31,90.12,0.00,29.62,29.29,8.93
2013-12-31,89.01,0.00,34.60,32.02,8.85
2013-09-30,79.71,0.00,52.15,22.78,8.07
2013-06-30,73.43,0.00,31.91,21.53,7.81
2013-03-31,71.33,0.00,36.06,13.00,8.15
2012-12-31,70.32,0.00,37.15,13.67,8.77
2012-09-30,62.32,0.00,26.02,17.23,8.63
2012-06-30,56.52,0.00,42.66,14.30,8.24
2012-03-31,50.34,0.00,42.84,22.49,7.76
2011-12-31,42.56,0.00,38.89,-412.42,6.83
2011-09-30,34.16,0.00,29.68,593.06,5.68
2011-06-30,37.84,0.00,32.88,37.34,6.52
2011-03-31,39.31,0.00,31.78,20.91,7.00
2010-12-31,40.56,0.00,34.85,14.69,7.49
2010-09-30,39.93,0.00,34.26,12.34,7.65
2010-06-30,33.69,0.00,24.35,9.71,6.70
2010-03-31,35.74,0.00,26.12,7.44,7.36
2009-12-31,33.84,0.00,22.47,6.60,7.14
2009-09-30,26.78,0.00,18.87,4.90,5.67
2009-06-30,24.31,0.00,17.44,4.13,5.24
2009-03-31,23.08,0.00,16.94,4.22,5.11
2008-12-31,16.17,0.00,12.91,2.92,3.69
2008-09-30,25.63,0.00,19.52,7.53,6.10
2008-06-30,35.68,0.00,32.05,29.07,8.73
2008-03-31,29.55,0.00,30.90,9.84,7.36
2007-12-31,33.53,0.00,36.85,10.77,8.58
2007-09-30,34.95,0.00,40.03,13.41,9.07
2007-06-30,33.28,0.00,46.37,14.69,8.73
2007-03-31,29.28,0.00,53.95,12.95,7.85
2006-12-31,27.24,0.00,59.42,7.46,7.52
