Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,106.52,3550.70,650.71,-15.87,5.42
2020-09-30,85.14,110.58,881.40,-12.81,4.28
2020-06-30,72.53,65.34,0.00,-9.83,3.60
2020-03-31,64.45,22.93,75.88,-9.99,2.92
2019-12-31,85.79,28.04,37.56,-14.91,3.89
2019-09-30,85.85,29.30,32.67,-16.32,4.01
2019-06-30,81.09,28.76,10.39,-22.65,3.97
2019-03-31,71.91,31.13,9.35,-17.28,3.71
2018-12-31,61.97,27.54,8.03,-26.76,3.32
2018-09-30,54.40,16.95,7.62,60.57,3.09
2018-06-30,46.43,14.56,24.21,15.87,2.74
2018-03-31,54.74,17.95,28.29,16.04,3.36
2017-12-31,54.01,17.82,26.77,13.20,3.46
2017-09-30,50.24,25.50,26.87,13.18,3.29
2017-06-30,54.30,27.56,25.36,13.42,3.56
2017-03-31,54.15,26.94,26.10,13.97,3.64
2016-12-31,51.25,26.28,23.78,12.87,3.50
2016-09-30,49.75,26.19,22.71,12.34,3.48
2016-06-30,52.31,29.22,27.20,13.40,3.81
2016-03-31,54.48,32.23,31.25,15.65,4.06
2015-12-31,54.60,33.49,31.34,13.56,4.18
2015-09-30,51.53,28.31,31.77,13.15,4.08
2015-06-30,48.47,27.31,32.99,12.33,3.99
2015-03-31,42.67,25.10,27.90,10.66,3.66
2014-12-31,36.84,22.33,25.11,8.98,3.30
2014-09-30,33.74,24.90,0.00,9.59,3.13
2014-06-30,34.48,26.83,0.00,10.21,3.28
2014-03-31,32.58,26.59,0.00,9.93,3.18
2013-12-31,34.67,28.89,0.00,10.73,3.46
2013-09-30,33.94,30.03,29.44,11.40,3.48
2013-06-30,28.80,27.56,28.53,7.53,3.05
2013-03-31,24.95,25.33,25.15,7.01,2.74
2012-12-31,23.41,25.17,25.58,6.78,2.65
2012-09-30,22.04,24.63,38.12,6.46,2.57
2012-06-30,23.09,25.65,33.83,6.51,2.75
2012-03-31,24.13,27.89,36.08,7.12,2.95
2011-12-31,19.79,23.70,31.59,6.24,2.50
2011-09-30,15.98,19.73,20.53,5.43,2.10
2011-06-30,16.86,22.18,28.00,5.81,2.25
2011-03-31,15.72,21.98,26.12,5.44,2.16
2010-12-31,13.61,19.87,18.30,5.02,1.91
2010-09-30,10.78,17.38,13.03,4.35,1.54
2010-06-30,10.20,19.06,11.38,4.29,1.51
2010-03-31,10.14,20.29,12.05,4.27,1.52
2009-12-31,9.64,25.70,12.90,4.28,1.46
2009-09-30,8.63,33.19,13.06,4.19,1.31
2009-06-30,5.80,35.18,13.57,3.05,0.87
2009-03-31,4.64,77.38,13.97,2.61,0.68
2008-12-31,3.95,32.95,22.97,2.26,0.57
2008-09-30,6.21,28.90,33.63,3.67,0.89
2008-06-30,6.58,20.88,29.47,3.89,0.95
2008-03-31,7.31,17.21,38.53,4.38,1.09
2007-12-31,8.55,19.22,31.98,5.52,1.33
2007-09-30,10.95,25.17,67.21,7.08,1.80
2007-06-30,10.97,27.08,76.31,6.94,1.90
2007-03-31,13.11,33.60,142.30,8.84,2.40
2006-12-31,14.80,39.47,30.34,9.19,2.85
