Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,43.66,18.82,13.30,276.50,1.39
2020-09-30,38.67,12.93,11.78,244.91,1.24
2020-06-30,32.60,12.69,13.28,-72.40,1.04
2020-03-31,24.41,11.41,12.30,-20.89,0.78
2019-12-31,39.13,23.16,19.04,-30.82,1.27
2019-09-30,40.61,17.66,18.36,-20.64,1.34
2019-06-30,41.69,17.66,18.08,-18.88,1.39
2019-03-31,44.72,15.64,20.70,-23.82,1.50
2018-12-31,33.71,26.33,20.28,-15.05,1.15
2018-09-30,38.67,0.00,122.86,-13.61,1.38
2018-06-30,40.72,11.77,48.29,-17.48,1.54
2018-03-31,40.90,12.78,39.32,-18.12,1.65
2017-12-31,46.94,11.20,36.44,51.96,2.02
2017-09-30,40.54,7.72,14.06,9.61,1.81
2017-06-30,42.32,21.93,13.74,23.69,1.94
2017-03-31,41.06,23.73,12.68,13.52,1.91
2016-12-31,42.57,17.66,13.20,13.51,2.00
2016-09-30,42.87,19.85,17.43,14.99,3.71
2016-06-30,42.87,24.49,17.71,14.37,2.93
2016-03-31,44.61,27.37,19.56,15.68,2.50
2015-12-31,41.33,25.36,10.28,15.37,1.97
2015-09-30,43.32,32.82,11.03,19.37,1.26
2015-06-30,47.36,40.13,11.55,9.21,1.35
2015-03-31,41.88,31.49,9.62,7.67,1.17
2014-12-31,38.89,32.41,0.00,7.04,1.08
2014-09-30,31.87,31.24,0.00,5.09,0.88
2014-06-30,31.11,33.81,0.00,4.66,0.87
2014-03-31,29.80,33.12,0.00,4.35,0.83
2013-12-31,30.76,53.03,12.29,4.26,0.86
2013-09-30,24.46,18.26,9.69,3.39,0.67
2013-06-30,21.45,0.00,9.82,3.06,0.58
2013-03-31,21.48,0.00,11.91,2.95,0.56
2012-12-31,15.51,0.00,10.71,2.09,0.40
2012-09-30,13.59,0.00,284.23,1.55,0.34
2012-06-30,13.45,268.97,48.12,0.91,0.37
2012-03-31,16.68,34.04,37.95,1.06,0.50
2011-12-31,14.77,17.17,10.88,0.96,0.49
2011-09-30,14.23,10.09,6.78,0.90,0.53
2011-06-30,20.13,14.07,10.95,1.25,0.76
2011-03-31,22.43,15.58,10.51,1.44,0.87
2010-12-31,21.31,14.70,9.42,1.41,0.84
2010-09-30,18.72,12.24,8.33,1.25,0.75
2010-06-30,16.32,11.33,6.13,1.17,0.67
2010-03-31,17.34,12.48,6.10,1.24,0.73
2009-12-31,17.88,13.15,6.82,1.29,0.78
2009-09-30,15.97,12.78,8.79,1.17,0.70
2009-06-30,14.91,15.54,11.70,1.14,0.62
2009-03-31,11.09,11.43,7.75,0.92,0.44
2008-12-31,11.88,12.12,9.84,0.97,0.45
2008-09-30,17.34,15.08,10.76,1.36,0.65
2008-06-30,14.92,10.01,9.84,1.11,0.58
2008-03-31,19.72,12.72,28.83,1.48,0.80
2007-12-31,17.99,9.57,20.26,1.44,0.74
2007-09-30,19.78,10.44,25.41,1.62,0.83
2007-06-30,23.91,12.55,26.91,2.07,1.03
2007-03-31,24.29,13.38,17.44,2.19,1.06
2006-12-31,24.87,17.09,17.02,1.21,1.11
