Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,21.73,0.00,16.52,2.42,1.28
2020-09-30,15.40,0.00,7.20,1.73,0.81
2020-06-30,18.08,0.00,6.23,2.01,0.85
2020-03-31,13.17,0.00,4.08,1.14,0.56
2019-12-31,38.69,0.00,14.45,2.22,1.63
2019-09-30,32.42,0.00,12.31,1.84,1.37
2019-06-30,37.12,24.75,14.41,1.42,1.58
2019-03-31,40.14,27.49,16.68,1.52,1.70
2018-12-31,32.86,21.34,12.89,1.24,1.39
2018-09-30,55.49,0.00,22.20,2.08,2.35
2018-06-30,60.57,0.00,23.99,2.27,2.62
2018-03-31,58.11,0.00,23.74,2.16,2.57
2017-12-31,60.03,0.00,23.43,2.23,2.74
2017-09-30,61.65,158.09,25.12,2.13,2.91
2017-06-30,57.73,444.10,25.93,2.00,2.81
2017-03-31,67.99,0.00,24.54,2.30,3.35
2016-12-31,72.64,0.00,23.44,2.43,3.53
2016-09-30,67.64,0.00,20.88,2.21,3.16
2016-06-30,67.59,0.00,16.55,2.19,2.93
2016-03-31,62.63,50.10,13.51,2.20,2.51
2015-12-31,58.81,36.53,11.73,2.06,2.12
2015-09-30,57.78,21.80,9.83,1.91,1.84
2015-06-30,71.75,21.35,12.10,2.38,2.09
2015-03-31,69.08,18.72,12.15,2.32,1.89
2014-12-31,70.30,16.98,12.74,2.36,1.90
2014-09-30,83.30,16.11,14.76,2.64,2.30
2014-06-30,96.27,19.37,17.77,3.07,2.72
2014-03-31,79.28,14.87,14.11,2.57,2.30
2013-12-31,72.94,14.42,14.41,2.41,2.15
2013-09-30,71.27,14.79,16.51,2.47,2.15
2013-06-30,57.58,12.52,15.72,2.06,1.78
2013-03-31,59.92,14.69,30.09,2.23,1.89
2012-12-31,55.23,13.44,33.30,2.10,1.77
2012-09-30,57.42,13.87,65.55,2.22,1.93
2012-06-30,51.34,12.74,83.98,2.07,1.77
2012-03-31,55.07,13.91,46.67,2.26,1.98
2011-12-31,53.61,14.57,38.89,2.28,2.00
2011-09-30,46.71,13.78,25.68,1.98,1.76
2011-06-30,67.35,17.68,51.12,2.83,2.70
2011-03-31,72.48,20.65,43.67,3.11,3.12
2010-12-31,64.72,19.15,31.48,2.80,3.01
2010-09-30,47.62,14.56,23.66,2.09,2.42
2010-06-30,42.61,16.78,15.61,2.56,2.28
2010-03-31,48.68,20.54,16.18,2.97,2.65
2009-12-31,49.77,19.22,20.72,3.09,2.66
2009-09-30,45.42,15.72,22.51,2.80,2.32
2009-06-30,41.08,11.77,17.25,2.63,1.95
2009-03-31,30.73,7.42,14.46,2.08,1.40
2008-12-31,31.87,7.16,12.28,2.25,1.44
2008-09-30,58.49,12.66,19.95,3.93,2.71
2008-06-30,80.29,18.00,30.53,5.67,3.94
2008-03-31,64.89,15.02,24.57,4.91,3.34
2007-12-31,73.18,17.47,27.02,5.88,3.90
2007-09-30,77.97,19.54,33.61,6.65,4.32
2007-06-30,62.96,16.97,28.94,5.85,3.65
2007-03-31,51.11,15.12,23.91,5.30,3.10
2006-12-31,46.59,15.48,25.29,5.27,3.01
