Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,171.14,14.96,9.93,2.41,2.61
2020-09-30,146.08,13.65,9.70,2.18,2.32
2020-06-30,136.54,13.15,10.51,2.12,2.20
2020-03-31,106.42,9.06,9.98,1.72,1.62
2019-12-31,164.55,13.25,15.94,2.62,2.47
2019-09-30,151.04,12.15,14.29,2.49,2.28
2019-06-30,158.81,12.89,15.18,2.65,2.42
2019-03-31,149.16,12.21,13.22,2.57,2.28
2018-12-31,137.65,11.59,11.70,2.45,2.11
2018-09-30,172.94,15.68,15.39,3.05,2.65
2018-06-30,150.68,14.39,13.94,2.73,2.32
2018-03-31,137.57,13.83,14.08,2.51,2.15
2017-12-31,161.66,16.98,17.94,3.08,2.58
2017-09-30,137.49,14.10,16.06,2.67,2.25
2017-06-30,145.10,14.99,16.36,2.91,2.43
2017-03-31,154.23,16.34,16.45,3.23,2.63
2016-12-31,155.96,16.93,18.38,3.43,2.70
2016-09-30,137.79,15.38,16.23,2.97,2.41
2016-06-30,142.54,16.35,16.82,3.18,2.50
2016-03-31,141.26,16.84,16.98,3.24,2.49
2015-12-31,153.60,18.96,21.10,3.67,2.71
2015-09-30,134.76,17.17,21.34,3.29,2.37
2015-06-30,141.71,18.57,24.36,3.55,2.50
2015-03-31,130.42,17.62,24.62,3.46,2.32
2014-12-31,120.83,16.90,22.09,3.16,2.18
2014-09-30,106.58,15.72,18.08,2.70,1.96
2014-06-30,103.96,16.12,17.67,2.66,1.94
2014-03-31,99.16,16.12,17.27,2.62,1.89
2013-12-31,95.32,16.07,17.05,2.60,1.84
2013-09-30,86.23,14.97,16.77,2.50,1.69
2013-06-30,77.15,13.80,15.79,2.37,1.53
2013-03-31,71.09,13.19,15.61,2.24,1.42
2012-12-31,67.57,12.99,15.76,2.16,1.35
2012-09-30,61.17,12.14,15.81,2.03,1.23
2012-06-30,52.72,10.67,15.00,1.86,1.07
2012-03-31,51.34,10.33,28.29,1.84,1.04
2011-12-31,42.39,8.98,35.05,1.60,0.87
2011-09-30,36.95,8.32,44.36,1.37,0.77
2011-06-30,51.64,12.66,118.65,1.90,1.09
2011-03-31,49.37,13.99,28.31,1.91,1.07
2010-12-31,46.26,14.46,27.80,1.92,1.03
2010-09-30,37.79,13.31,15.43,1.57,0.87
2010-06-30,33.01,13.31,9.45,1.52,0.78
2010-03-31,34.74,14.78,6.98,1.56,0.84
2009-12-31,33.63,14.50,6.86,1.49,0.82
2009-09-30,27.45,10.17,6.97,1.19,0.66
2009-06-30,22.51,7.04,7.62,1.01,0.52
2009-03-31,19.46,5.26,11.54,0.96,0.42
2008-12-31,30.19,7.42,11.17,1.44,0.62
2008-09-30,40.02,9.91,13.44,1.67,0.80
2008-06-30,39.33,10.35,10.70,1.60,0.79
2008-03-31,38.26,11.29,9.56,1.59,0.78
2007-12-31,36.08,11.72,11.15,1.62,0.75
2007-09-30,36.82,13.44,11.93,1.78,0.79
2007-06-30,37.34,14.82,11.09,1.90,0.83
2007-03-31,35.37,17.87,13.01,1.88,0.81
2006-12-31,34.85,20.62,12.53,1.90,0.84
