Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,53.12,17.71,0.00,1.71,3.63
2020-06-30,50.20,16.30,0.00,1.64,3.34
2020-03-31,51.78,15.41,398.01,1.70,2.60
2019-12-31,60.38,13.27,19.01,1.98,2.97
2019-09-30,57.98,13.18,16.02,1.90,2.77
2019-06-30,51.33,11.99,8.92,1.71,2.42
2019-03-31,47.44,14.51,8.90,1.59,2.16
2018-12-31,39.83,18.19,21.48,1.40,1.73
2018-09-30,39.04,16.20,26.15,1.38,1.67
2018-06-30,40.94,17.50,0.00,1.52,1.74
2018-03-31,38.93,34.76,0.00,1.48,1.66
2017-12-31,41.38,48.68,0.00,1.61,1.81
2017-09-30,41.81,74.65,0.00,1.59,1.84
2017-06-30,40.25,60.07,0.00,1.59,1.75
2017-03-31,41.36,15.21,0.00,1.52,1.85
2016-12-31,40.40,15.60,0.00,1.50,1.93
2016-09-30,41.64,15.48,0.00,1.55,2.15
2016-06-30,43.07,16.83,0.00,1.72,2.28
2016-03-31,41.09,15.99,0.00,1.69,2.17
2015-12-31,36.75,14.13,55.98,1.52,1.92
2015-09-30,34.68,13.19,22.88,1.43,1.76
2015-06-30,32.13,13.50,27.26,1.37,1.63
2015-03-31,33.53,14.15,64.91,1.43,1.68
2014-12-31,36.78,16.72,58.24,1.57,1.79
2014-09-30,32.32,13.81,29.49,1.39,1.57
2014-06-30,33.20,13.23,43.28,1.45,1.63
2014-03-31,31.78,14.64,27.42,1.40,1.57
2013-12-31,29.37,15.70,40.81,1.29,1.51
2013-09-30,29.06,15.79,685.32,1.29,1.51
2013-06-30,30.79,15.55,724.40,1.40,1.60
2013-03-31,32.39,13.78,97.66,1.47,1.69
2012-12-31,29.22,10.90,288.50,1.31,1.56
2012-09-30,31.13,12.26,75.45,1.38,1.65
2012-06-30,30.95,12.38,52.51,1.41,1.60
2012-03-31,29.71,11.89,32.10,1.37,1.49
2011-12-31,30.29,11.74,18.99,1.40,1.48
2011-09-30,27.43,11.15,31.92,1.29,1.32
2011-06-30,25.83,10.90,30.87,1.25,1.24
2011-03-31,24.09,10.56,131.76,1.19,1.17
2010-12-31,23.87,10.03,0.00,1.17,1.14
2010-09-30,22.98,9.15,0.00,1.14,1.10
2010-06-30,20.27,8.05,0.00,1.04,1.00
2010-03-31,19.94,7.94,0.00,1.03,0.99
2009-12-31,19.77,9.55,0.00,1.04,1.00
2009-09-30,18.53,9.27,0.00,0.98,0.91
2009-06-30,17.99,8.90,0.00,0.99,0.84
2009-03-31,17.41,8.93,0.00,0.98,0.79
2008-12-31,20.78,9.19,0.00,1.15,0.94
2008-09-30,20.92,9.13,0.00,1.12,0.97
2008-06-30,19.15,8.40,0.00,1.06,0.91
2008-03-31,19.31,8.36,0.00,1.09,0.94
2007-12-31,20.79,9.08,0.00,1.18,1.03
2007-09-30,19.24,8.48,0.00,1.11,0.96
2007-06-30,17.98,7.96,0.00,1.09,0.91
2007-03-31,19.01,8.60,0.00,1.17,0.97
2006-12-31,18.92,8.97,0.00,1.17,0.98
