Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,328.73,42.25,22.80,138.75,10.70
2020-09-30,359.88,36.06,26.15,173.87,11.98
2020-06-30,328.21,30.96,24.33,295.15,11.22
2020-03-31,243.58,25.48,19.60,-302.47,8.67
2019-12-31,270.77,31.52,25.12,123.26,9.99
2019-09-30,242.42,28.79,25.78,147.38,9.28
2019-06-30,224.91,28.58,27.18,97.18,8.86
2019-03-31,207.33,27.83,27.57,131.56,8.35
2018-12-31,166.87,21.59,21.66,60.75,6.76
2018-09-30,191.32,28.47,23.57,50.11,7.73
2018-06-30,199.16,31.22,24.11,78.76,8.12
2018-03-31,186.16,30.12,25.39,682.66,7.77
2017-12-31,164.63,28.48,22.52,54.53,7.04
2017-09-30,151.53,22.25,28.39,43.27,6.73
2017-06-30,141.14,16.49,25.38,33.81,6.39
2017-03-31,126.03,15.04,18.77,38.50,5.77
