Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,117.43,9.10,0.00,1.36,3.11
2020-06-30,115.27,7.93,0.00,1.33,3.03
2020-03-31,110.12,13.46,548.39,1.45,2.95
2019-12-31,146.10,20.18,147.70,1.96,3.83
2019-09-30,141.46,16.22,19.72,1.94,3.70
2019-06-30,129.90,18.91,13.30,1.83,3.40
2019-03-31,118.96,33.99,15.68,1.67,3.10
2018-12-31,101.48,31.32,17.64,1.44,2.69
2018-09-30,105.81,0.00,257.19,1.52,3.23
2018-06-30,107.17,0.00,0.00,1.59,3.15
2018-03-31,101.87,172.66,0.00,1.47,2.84
2017-12-31,97.14,96.18,0.00,1.61,2.55
2017-09-30,102.90,22.82,0.00,1.67,2.34
2017-06-30,100.20,14.84,0.00,1.61,2.30
2017-03-31,98.20,16.99,0.00,1.58,2.34
2016-12-31,88.78,16.75,0.00,1.46,2.19
2016-09-30,93.86,17.84,0.00,1.78,2.36
2016-06-30,99.15,26.16,0.00,1.97,2.50
2016-03-31,89.86,18.34,0.00,1.76,2.22
2015-12-31,80.60,15.01,175.87,1.59,1.98
2015-09-30,82.33,16.21,379.39,1.65,2.01
2015-06-30,83.58,15.25,0.00,1.66,1.98
2015-03-31,91.45,16.97,0.00,1.84,2.10
2014-12-31,92.82,20.00,0.00,1.89,2.11
2014-09-30,87.31,19.02,0.00,1.77,1.99
2014-06-30,86.21,19.64,0.00,1.76,2.01
2014-03-31,79.16,18.45,0.00,1.63,1.84
2013-12-31,72.94,18.14,0.00,1.50,1.72
2013-09-30,69.07,16.97,0.00,1.43,1.63
2013-06-30,65.49,16.50,0.00,1.38,1.55
2013-03-31,63.55,19.61,0.00,1.38,1.58
2012-12-31,55.96,16.03,0.00,1.27,1.42
2012-09-30,50.44,14.33,0.00,1.16,1.29
2012-06-30,53.38,14.62,0.00,1.25,1.34
2012-03-31,46.05,8.34,0.00,1.07,1.12
2011-12-31,41.81,7.44,0.00,0.99,1.01
2011-09-30,38.80,6.98,0.00,0.93,0.96
2011-06-30,39.47,8.12,0.00,0.95,1.04
2011-03-31,39.57,10.90,61.23,1.01,1.10
2010-12-31,38.45,12.90,24.13,1.00,1.07
2010-09-30,39.12,13.08,0.00,1.05,1.07
2010-06-30,33.78,9.03,0.00,0.89,0.95
2010-03-31,35.74,9.79,0.00,0.95,1.04
2009-12-31,39.79,8.80,69.32,1.06,1.21
2009-09-30,35.16,7.54,11.44,0.96,1.10
2009-06-30,34.76,7.51,23.55,0.98,0.98
2009-03-31,32.13,6.68,4.25,0.93,0.83
2008-12-31,29.35,6.61,5.17,0.86,0.69
2008-09-30,34.45,8.13,6.89,1.08,0.76
2008-06-30,38.28,9.22,7.94,1.23,0.86
2008-03-31,35.91,8.51,0.00,1.09,0.81
2007-12-31,41.44,9.96,57.58,1.30,0.96
2007-09-30,38.73,10.97,0.00,1.25,0.88
2007-06-30,39.26,8.06,15.21,1.30,0.89
2007-03-31,40.24,7.67,37.79,1.37,0.92
2006-12-31,36.78,6.85,0.00,1.28,0.82
