Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,189.54,37.68,33.94,4.17,5.32
2020-09-30,175.82,35.66,37.32,4.09,4.99
2020-06-30,152.72,31.75,33.71,3.72,4.36
2020-03-31,138.97,29.13,31.30,3.46,3.93
2019-12-31,151.00,32.83,37.96,3.77,4.34
2019-09-30,142.79,36.33,35.14,3.74,4.21
2019-06-30,146.76,39.34,37.00,3.83,4.42
2019-03-31,125.90,35.36,30.28,3.34,3.87
2018-12-31,104.78,33.26,27.09,2.85,3.28
2018-09-30,111.85,30.23,29.90,3.02,3.55
2018-06-30,102.36,28.92,26.90,2.80,3.31
2018-03-31,90.74,26.69,26.43,2.39,2.97
2017-12-31,84.73,29.73,25.13,2.31,2.81
2017-09-30,85.33,50.79,26.11,2.39,2.85
2017-06-30,78.39,55.99,26.87,2.27,2.61
2017-03-31,66.57,52.01,22.38,2.01,2.19
2016-12-31,64.33,39.23,17.64,1.97,2.00
2016-09-30,69.49,35.45,27.35,1.97,2.14
2016-06-30,65.09,39.93,31.10,1.84,1.96
2016-03-31,67.03,45.60,36.96,1.90,2.03
2015-12-31,70.81,47.52,60.54,2.03,2.23
2015-09-30,61.06,32.83,27.82,3.35,1.93
2015-06-30,60.56,27.04,23.31,3.30,1.94
2015-03-31,66.04,29.35,24.54,3.67,2.14
2014-12-31,60.95,27.58,23.59,3.37,2.01
2014-09-30,50.71,24.62,18.48,2.82,1.74
2014-06-30,50.26,24.64,21.43,2.80,1.80
2014-03-31,44.88,20.68,20.94,2.54,1.65
2013-12-31,45.16,20.34,25.41,2.63,1.69
2013-09-30,40.19,15.70,22.34,2.39,1.53
2013-06-30,39.91,14.57,22.35,2.43,1.54
2013-03-31,38.57,14.18,16.16,2.39,1.51
2012-12-31,32.04,11.52,13.45,2.03,1.29
2012-09-30,32.53,12.81,15.47,2.16,1.32
2012-06-30,28.61,12.12,12.73,1.99,1.18
2012-03-31,28.67,12.36,20.43,2.01,1.21
2011-12-31,26.90,12.17,21.91,1.99,1.15
2011-09-30,26.24,13.19,40.81,1.96,1.15
2011-06-30,31.18,14.99,91.51,2.26,1.40
2011-03-31,30.65,36.49,44.31,2.30,1.52
2010-12-31,32.21,46.69,22.99,2.54,1.66
2010-09-30,29.22,28.65,12.55,2.36,1.50
2010-06-30,27.20,28.04,9.15,2.33,1.39
2010-03-31,29.36,13.59,9.48,2.30,1.38
2009-12-31,24.31,11.41,7.83,1.96,1.14
2009-09-30,24.90,12.97,9.02,1.82,1.17
2009-06-30,21.24,11.42,8.28,1.63,0.99
2009-03-31,18.88,10.15,7.69,1.54,0.87
2008-12-31,19.32,10.67,9.69,1.58,0.89
2008-09-30,30.31,18.15,16.01,2.42,1.42
2008-06-30,23.15,16.08,14.60,1.91,1.13
2008-03-31,21.55,17.81,15.08,1.81,1.10
2007-12-31,23.11,18.49,15.05,1.91,1.21
2007-09-30,21.85,17.62,16.97,1.81,1.17
2007-06-30,24.41,19.69,20.55,2.05,1.32
2007-03-31,21.15,16.79,28.06,1.78,1.16
2006-12-31,20.01,21.75,11.28,1.74,1.13
