Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,73.14,19.05,18.25,17.73,1.86
2020-12-31,62.16,16.19,15.51,15.07,1.59
2020-09-30,48.76,12.44,12.70,6.91,1.25
2020-06-30,47.26,12.44,11.08,6.80,1.19
2020-03-31,47.02,7.02,10.03,6.74,1.23
2019-12-31,56.48,9.15,11.74,8.06,1.56
2019-09-30,50.51,8.00,11.77,7.51,1.42
2019-06-30,43.72,6.15,9.56,5.44,1.21
2019-03-31,43.82,8.53,9.77,7.19,1.17
2018-12-31,34.85,6.05,6.72,5.10,0.89
2018-09-30,42.05,8.46,5.79,6.49,1.06
2018-06-30,49.50,12.22,7.95,8.54,1.29
2018-03-31,50.74,17.74,9.47,10.68,1.38
2017-12-31,35.90,16.32,7.78,9.64,1.00
2017-09-30,28.04,10.58,7.29,6.53,0.79
2017-06-30,32.13,12.45,6.48,6.87,0.89
2017-03-31,37.52,15.44,7.75,6.92,1.02
2016-12-31,30.76,17.99,7.40,5.96,0.84
2016-09-30,30.57,24.26,9.80,5.99,0.83
2016-06-30,18.99,23.15,5.25,3.56,0.51
2016-03-31,25.99,25.48,7.81,4.60,0.70
2015-12-31,27.12,13.76,7.39,4.41,0.71
2015-09-30,32.61,7.76,5.04,5.07,0.83
2015-06-30,34.20,6.55,5.95,3.57,0.83
2015-03-31,37.12,6.47,5.42,3.70,0.89
2014-12-31,47.02,7.80,6.59,4.16,1.12
2014-09-30,40.14,8.94,7.13,4.46,0.98
2014-06-30,39.53,8.75,6.85,4.56,1.01
2014-03-31,38.74,8.59,7.61,4.79,1.00
2013-12-31,38.40,8.59,7.03,5.05,1.01
2013-09-30,29.65,6.55,5.62,2.89,0.79
2013-06-30,30.09,6.28,5.02,3.09,0.81
2013-03-31,24.31,3.91,2.82,2.63,0.63
2012-12-31,20.23,2.67,2.27,2.48,0.52
2012-09-30,20.09,2.66,2.44,2.19,0.56
2012-06-30,15.90,2.46,2.65,1.80,0.47
2012-03-31,17.19,3.95,5.12,2.03,0.58
2011-12-31,10.36,4.98,5.53,1.39,0.40
2011-09-30,6.42,5.78,5.43,1.11,0.27
2011-06-30,9.95,9.05,9.33,1.72,0.43
2011-03-31,8.78,5.52,11.52,1.50,0.39
2010-12-31,9.17,3.85,6.85,1.50,0.41
2010-09-30,7.18,2.32,3.67,1.16,0.32
2010-06-30,7.95,2.53,3.11,1.44,0.36
2010-03-31,11.14,5.02,4.25,2.05,0.51
2009-12-31,11.09,16.81,4.98,2.37,0.55
2009-09-30,9.28,0.00,12.81,2.59,0.49
2009-06-30,6.38,0.00,15.80,2.02,0.32
2009-03-31,3.67,0.00,11.97,1.14,0.18
2008-12-31,2.68,38.32,3.43,0.71,0.12
2008-09-30,7.22,3.96,3.59,0.76,0.31
2008-06-30,11.30,4.83,3.71,1.20,0.49
2008-03-31,12.29,4.12,3.83,1.30,0.55
2007-12-31,14.89,5.52,6.11,1.54,0.69
2007-09-30,14.89,6.77,7.80,1.62,0.73
2007-06-30,12.62,7.60,80.51,1.42,0.66
2007-03-31,13.44,18.93,0.00,1.65,0.69
2006-12-31,15.23,17.51,24.26,1.93,0.81
