Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,223.21,21.73,19.82,3.16,5.37
2020-11-30,205.17,19.98,18.22,2.90,4.93
2020-08-31,183.13,32.88,19.41,2.94,4.62
2020-05-31,170.69,948.27,16.77,2.87,4.11
2020-02-29,169.59,0.00,17.73,2.60,4.01
2019-11-30,182.37,43.94,25.40,2.89,4.50
2019-08-31,199.51,51.69,26.68,3.25,4.93
2019-05-31,172.27,13.78,23.58,2.63,4.45
2019-02-28,164.54,9.37,25.14,2.45,4.44
2018-11-30,189.61,11.97,27.32,3.12,5.17
2018-08-31,200.91,12.02,34.17,3.30,5.63
2018-05-31,214.53,16.09,45.49,3.88,6.22
2018-02-28,206.53,17.87,52.61,4.94,6.11
2017-11-30,208.04,22.66,63.47,5.06,6.30
2017-08-31,190.86,21.89,59.88,4.70,5.80
2017-05-31,173.84,21.76,50.57,4.59,5.36
2017-02-28,150.63,19.98,43.33,4.26,4.70
2016-11-30,142.98,22.10,42.54,4.07,4.51
2016-08-31,154.81,26.60,51.46,4.34,4.99
2016-05-31,144.17,25.93,52.71,4.14,4.83
2016-02-29,132.80,25.59,57.75,3.96,4.60
2015-11-30,131.41,25.97,40.80,3.97,4.67
2015-08-31,119.64,24.77,53.20,3.81,4.31
2015-05-31,109.92,25.44,73.53,3.55,4.03
2015-02-28,106.67,25.58,66.27,3.53,3.97
2014-11-30,89.64,22.98,74.44,3.08,3.36
2014-08-31,80.98,20.93,34.68,2.85,3.08
2014-05-31,78.23,7.36,23.97,2.85,3.03
2014-02-28,75.35,7.63,27.63,2.90,3.41
2013-11-30,65.47,6.88,20.81,2.60,3.36
2013-08-31,50.45,5.59,18.89,2.12,3.05
2013-05-31,49.29,25.28,26.93,3.10,3.71
2013-02-28,41.14,19.97,17.80,2.66,3.12
2012-11-30,33.36,15.59,15.73,2.21,2.64
2012-08-31,30.63,14.73,11.27,2.13,2.53
2012-05-31,17.94,8.27,6.98,1.38,1.54
2012-02-29,20.31,9.49,6.56,1.47,1.79
2011-11-30,18.10,6.14,5.06,1.37,1.55
2011-08-31,18.38,5.95,5.74,1.40,1.45
2011-05-31,20.42,7.40,6.60,1.61,1.52
2011-02-28,18.90,7.18,8.16,1.56,1.35
2010-11-30,19.16,17.75,8.99,1.47,1.38
2010-08-31,15.49,24.99,6.99,1.35,1.12
2010-05-31,15.49,24.21,8.45,1.42,1.13
2010-02-28,13.99,31.08,10.98,1.21,1.02
2009-11-30,15.91,0.00,12.40,1.31,1.12
2009-08-31,13.75,0.00,9.83,1.21,0.95
2009-05-31,10.75,0.00,6.46,1.02,0.70
2009-02-28,12.13,0.00,6.54,1.39,0.77
2008-11-30,11.87,0.00,5.61,1.11,0.72
2008-08-31,19.63,0.00,10.30,1.60,1.18
2008-05-31,19.82,0.00,10.01,1.50,1.24
2008-02-29,17.86,0.00,9.89,1.40,1.14
2007-11-30,21.90,16.98,17.10,1.34,1.38
2007-08-31,22.48,18.89,20.05,1.52,1.31
2007-05-31,22.60,19.82,91.33,1.56,1.20
2007-02-28,21.81,15.81,43.90,1.50,1.10
2006-11-30,26.02,19.56,16.68,1.83,1.34
