Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,38.08,16.78,3.00,1.75,1.37
2020-12-31,34.51,15.20,2.72,1.59,1.24
2020-09-30,25.79,11.83,2.06,1.24,0.93
2020-06-30,21.62,6.63,1.56,1.06,0.75
2020-03-31,15.52,3.49,1.23,0.76,0.53
2019-12-31,34.50,6.22,2.58,1.41,1.21
2019-09-30,32.46,5.91,2.42,1.40,1.15
2019-06-30,32.80,6.83,2.46,1.49,1.22
2019-03-31,30.18,6.74,2.28,1.41,1.18
2018-12-31,22.04,5.88,1.76,1.08,0.91
2018-09-30,28.97,9.20,2.38,1.49,1.26
2018-06-30,30.90,10.51,2.55,1.60,1.40
2018-03-31,30.89,11.75,2.71,1.64,1.44
2017-12-31,35.44,14.70,3.30,1.92,1.71
2017-09-30,28.37,10.83,2.90,1.54,1.41
2017-06-30,27.11,10.23,3.29,1.50,1.40
2017-03-31,31.04,11.85,3.96,1.75,1.66
2016-12-31,32.70,12.07,4.18,1.88,1.80
2016-09-30,25.13,9.45,3.13,1.48,1.43
2016-06-30,22.58,8.62,3.06,1.37,1.32
2016-03-31,25.60,9.52,3.55,1.62,1.53
2015-12-31,27.17,10.25,3.67,1.80,1.67
2015-09-30,27.96,10.59,4.18,1.92,1.69
2015-06-30,29.42,11.10,2.77,2.12,1.79
