Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,73.82,0.00,28.17,26.39,0.82
2020-09-30,61.41,0.00,17.59,24.05,0.64
2020-06-30,53.50,140.79,29.67,23.47,0.52
2020-03-31,44.18,16.80,18.76,11.04,0.38
2019-12-31,82.38,23.61,30.42,16.59,0.71
2019-09-30,76.09,23.34,25.34,15.84,0.66
2019-06-30,67.41,21.06,20.28,13.81,0.59
2019-03-31,63.26,20.95,19.24,13.76,0.55
2018-12-31,59.00,21.07,20.59,13.98,0.52
2018-09-30,68.63,24.25,21.21,13.53,0.61
2018-06-30,63.65,23.49,22.61,13.22,0.57
2018-03-31,55.56,22.86,18.23,12.31,0.51
2017-12-31,55.94,24.97,16.05,12.86,0.53
2017-09-30,49.39,22.45,19.31,11.53,0.48
2017-06-30,45.77,21.90,15.99,10.19,0.46
2017-03-31,46.92,24.69,17.30,10.79,0.48
2016-12-31,49.74,27.03,17.58,10.86,0.53
2016-09-30,43.74,24.03,12.82,7.95,0.48
2016-06-30,45.29,27.45,17.61,7.28,0.52
2016-03-31,41.45,29.82,19.48,5.90,0.49
2015-12-31,35.85,27.37,19.07,5.15,0.43
2015-09-30,34.08,30.98,28.49,3.83,0.42
2015-06-30,31.33,27.01,18.03,3.54,0.38
2015-03-31,32.47,22.09,20.31,3.63,0.40
2014-12-31,33.89,22.90,21.32,3.75,0.42
2014-09-30,31.91,20.33,21.01,3.52,0.40
2014-06-30,31.25,19.78,18.53,3.48,0.40
2014-03-31,29.90,18.46,16.07,3.34,0.39
2013-12-31,29.88,18.11,16.11,3.29,0.39
2013-09-30,25.91,15.51,15.35,2.90,0.34
2013-06-30,27.58,16.41,16.10,3.11,0.37
2013-03-31,28.16,16.19,22.36,3.24,0.38
2012-12-31,25.13,13.66,22.88,3.00,0.34
2012-09-30,24.61,13.02,22.10,2.95,0.34
2012-06-30,23.25,12.17,21.81,2.91,0.32
2012-03-31,23.08,11.84,25.75,2.77,0.33
2011-12-31,22.46,11.52,21.49,2.80,0.32
2011-09-30,19.63,10.02,27.46,2.48,0.29
2011-06-30,23.64,12.06,29.35,2.97,0.35
2011-03-31,20.82,10.62,24.71,2.88,0.31
2010-12-31,21.71,11.19,33.99,3.16,0.33
2010-09-30,21.06,10.80,26.95,3.10,0.33
2010-06-30,20.91,10.51,39.72,3.21,0.33
2010-03-31,21.41,10.98,25.47,3.14,0.35
2009-12-31,20.10,10.53,18.31,3.03,0.33
2009-09-30,17.55,9.44,9.64,2.79,0.29
2009-06-30,15.88,8.97,8.32,2.72,0.26
2009-03-31,15.77,8.81,8.40,2.79,0.25
2008-12-31,15.86,8.77,7.27,2.85,0.25
2008-09-30,20.95,11.39,12.91,3.59,0.34
2008-06-30,18.55,10.25,10.61,3.27,0.30
2008-03-31,19.42,11.10,12.96,3.55,0.32
2007-12-31,20.73,12.20,18.30,3.77,0.35
2007-09-30,23.52,14.25,18.18,4.34,0.41
2007-06-30,21.67,14.26,16.64,4.04,0.39
2007-03-31,22.10,15.35,16.30,4.09,0.40
2006-12-31,23.89,17.19,17.28,4.56,0.44
