Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,33.56,12.48,4.77,0.53,0.74
2020-06-30,34.36,0.00,4.90,0.56,0.75
2020-03-31,39.01,0.00,5.75,0.65,0.81
2019-12-31,53.27,47.99,8.14,0.84,1.09
2019-09-30,56.19,79.14,9.11,0.91,1.16
2019-06-30,54.12,13.10,8.51,0.83,1.11
2019-03-31,57.22,12.52,9.46,0.89,1.15
2018-12-31,53.52,10.39,6.77,0.84,1.08
2018-09-30,58.61,7.79,6.68,0.90,1.16
2018-06-30,64.44,8.89,7.89,1.01,1.28
2018-03-31,70.88,10.45,9.07,1.12,1.41
2017-12-31,76.82,11.95,12.53,1.31,1.51
2017-09-30,76.01,7.34,14.79,1.29,1.53
2017-06-30,80.01,7.99,14.70,1.40,1.96
2017-03-31,88.32,9.48,21.66,1.61,2.85
2016-12-31,89.43,9.75,19.89,1.65,3.91
2016-09-30,100.50,37.22,27.28,2.27,6.02
2016-06-30,92.20,49.84,26.42,2.01,5.19
2016-03-31,87.33,38.30,27.94,1.89,4.70
2015-12-31,84.89,43.98,34.95,2.22,4.44
2015-09-30,74.71,33.20,31.34,1.90,3.77
2015-06-30,62.45,31.70,17.92,1.52,3.02
2015-03-31,66.23,28.80,18.16,1.69,3.05
2014-12-31,65.94,23.98,11.83,1.55,2.95
2014-09-30,65.55,22.14,12.39,1.44,2.89
2014-06-30,64.98,17.05,12.86,1.34,2.86
2014-03-31,51.28,13.64,9.85,1.10,2.26
2013-12-31,48.60,15.78,9.65,1.04,2.13
2013-09-30,43.13,15.97,8.86,0.95,1.88
2013-06-30,40.90,13.07,8.26,0.94,1.77
2013-03-31,41.56,18.98,9.29,0.97,1.87
2012-12-31,36.08,14.85,8.44,0.82,1.67
2012-09-30,37.69,12.36,8.03,0.82,1.80
2012-06-30,34.56,11.44,8.42,0.79,1.78
2012-03-31,37.28,10.27,10.80,0.86,1.97
2011-12-31,35.61,9.81,10.41,0.87,1.90
2011-09-30,32.13,9.86,14.79,0.76,1.77
2011-06-30,36.02,10.09,15.70,0.82,2.03
2011-03-31,37.48,10.24,13.39,0.87,2.14
2010-12-31,39.87,10.55,12.94,0.95,2.30
2010-09-30,37.30,8.50,9.27,0.91,2.15
2010-06-30,33.25,7.77,8.44,0.84,1.93
2010-03-31,32.78,8.15,7.85,0.85,1.95
2009-12-31,34.99,9.04,9.30,0.91,2.14
2009-09-30,37.52,11.73,13.30,0.99,2.36
2009-06-30,32.46,11.27,13.89,0.89,1.99
2009-03-31,26.15,11.32,14.41,0.79,1.22
2008-12-31,37.10,17.67,38.03,1.13,1.44
2008-09-30,35.14,13.89,14.76,0.90,1.15
2008-06-30,40.67,17.45,16.00,1.04,1.17
2008-03-31,39.21,13.48,23.18,1.01,1.13
2007-12-31,38.39,14.04,37.10,0.97,1.12
2007-09-30,36.95,15.69,0.00,0.96,1.08
2007-06-30,34.16,14.26,44.32,0.95,1.00
2007-03-31,34.83,15.28,28.27,1.05,1.03
2006-12-31,28.03,13.48,12.56,0.84,0.83
