Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,310.21,30.44,24.62,3.78,3.76
2020-06-30,310.95,29.47,25.17,3.98,3.70
2020-03-31,297.27,27.35,28.57,3.96,3.49
2019-12-31,346.54,32.33,33.01,4.67,4.10
2019-09-30,321.99,31.85,33.67,4.57,3.90
2019-06-30,273.87,28.23,28.92,4.03,3.40
2019-03-31,237.01,25.71,23.94,3.66,2.98
2018-12-31,207.07,22.98,21.28,3.35,2.64
2018-09-30,246.68,29.37,25.22,4.01,3.18
2018-06-30,199.06,25.29,21.92,3.40,2.61
2018-03-31,187.17,25.96,20.83,3.25,2.49
2017-12-31,181.15,29.03,20.80,3.31,2.52
2017-09-30,159.18,27.07,28.48,3.04,2.34
2017-06-30,127.65,23.47,22.65,2.60,1.98
2017-03-31,126.46,24.84,20.95,2.78,2.06
2016-12-31,123.00,22.99,19.03,2.70,2.03
2016-09-30,107.93,19.84,13.86,2.44,1.74
2016-06-30,99.05,18.62,14.22,2.32,1.58
2016-03-31,88.14,16.47,15.08,2.13,1.40
2015-12-31,88.70,16.28,19.57,2.28,1.40
2015-09-30,90.30,16.42,17.24,2.25,1.43
2015-06-30,105.51,18.74,19.61,2.67,1.66
2015-03-31,106.73,18.53,16.94,2.84,1.68
2014-12-31,102.74,17.84,15.93,2.56,1.63
2014-09-30,94.01,16.85,14.13,2.23,1.51
2014-06-30,97.17,18.20,17.39,2.25,1.58
2014-03-31,97.33,19.47,16.86,2.36,1.58
2013-12-31,91.86,18.86,26.71,2.27,1.49
2013-09-30,84.93,18.23,21.30,2.34,1.39
2013-06-30,77.35,16.93,23.75,2.26,1.27
2013-03-31,78.44,17.43,35.72,2.38,1.33
2012-12-31,65.07,14.82,19.64,2.01,1.14
2012-09-30,63.39,15.27,25.83,1.95,1.16
2012-06-30,61.65,15.73,17.62,2.01,1.16
2012-03-31,63.05,9.09,15.95,2.21,1.20
2011-12-31,54.85,8.02,11.70,2.03,1.05
2011-09-30,48.86,7.14,11.26,1.75,0.96
2011-06-30,50.36,7.46,13.72,1.83,1.04
2011-03-31,51.71,14.99,17.37,2.24,1.12
2010-12-31,43.97,13.45,14.64,2.03,0.99
2010-09-30,39.82,12.60,11.13,1.90,0.94
2010-06-30,38.58,11.69,9.35,1.94,0.89
2010-03-31,41.27,12.86,10.77,2.16,0.94
2009-12-31,38.36,12.37,11.57,2.07,0.85
2009-09-30,35.99,11.76,28.05,2.14,0.82
2009-06-30,32.75,11.14,23.59,2.09,0.72
2009-03-31,26.68,8.50,20.32,1.84,0.57
2008-12-31,44.55,13.34,19.69,3.16,0.94
2008-09-30,57.16,17.70,17.75,3.19,1.12
2008-06-30,48.79,15.54,14.49,2.86,1.00
2008-03-31,47.00,16.10,14.66,2.94,1.01
2007-12-31,53.33,19.61,15.18,3.54,1.19
2007-09-30,53.39,21.19,19.35,3.61,1.21
2007-06-30,45.95,19.15,24.56,3.30,1.07
2007-03-31,37.44,16.14,18.27,2.85,0.90
2006-12-31,40.13,17.76,27.40,3.23,0.99
