Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,132.22,0.00,25.61,4.44,3.51
2020-12-31,120.62,0.00,23.36,4.05,3.20
2020-09-30,96.96,0.00,22.22,3.42,2.66
2020-06-30,80.48,0.00,17.24,2.90,2.21
2020-03-31,61.76,30.28,11.37,2.22,1.60
2019-12-31,93.53,19.90,17.03,2.96,2.39
2019-09-30,90.47,16.69,17.93,2.87,2.29
2019-06-30,92.53,10.20,19.28,2.93,2.33
2019-03-31,77.60,9.54,15.86,2.62,1.95
2018-12-31,72.29,8.79,16.84,2.40,1.81
2018-09-30,83.56,11.43,19.17,2.66,2.11
2018-06-30,85.17,22.53,19.79,3.13,2.32
2018-03-31,94.04,25.35,25.56,3.48,2.61
2017-12-31,89.11,25.75,21.23,3.25,2.55
2017-09-30,77.88,16.53,16.79,2.81,2.29
2017-06-30,73.77,15.66,17.84,2.85,2.20
2017-03-31,69.90,12.03,14.85,2.84,2.13
2016-12-31,64.64,11.32,17.10,2.60,2.03
2016-09-30,59.74,10.90,16.30,2.50,1.95
2016-06-30,52.68,7.71,15.05,2.27,1.69
2016-03-31,57.12,10.86,18.79,2.76,1.90
2015-12-31,59.60,10.49,16.91,2.61,2.02
2015-09-30,55.25,9.35,16.86,2.27,1.86
2015-06-30,59.32,12.03,16.01,2.62,2.07
2015-03-31,66.07,12.83,19.47,2.99,2.32
2014-12-31,58.11,12.72,16.37,2.58,2.07
2014-09-30,50.57,11.84,13.37,2.29,1.76
2014-06-30,56.30,15.64,17.48,2.61,1.84
2014-03-31,54.54,15.90,15.45,2.66,1.74
2013-12-31,49.92,15.55,14.09,2.38,1.56
2013-09-30,46.68,15.46,13.19,2.29,1.49
2013-06-30,40.85,13.53,10.58,2.14,1.31
2013-03-31,37.40,13.96,10.25,2.02,1.21
2012-12-31,32.94,12.52,8.71,1.70,1.07
2012-09-30,30.00,11.58,8.98,1.59,0.97
2012-06-30,27.98,11.56,9.41,1.55,0.89
2012-03-31,32.01,11.60,11.26,1.78,1.02
2011-12-31,26.70,9.44,9.03,1.50,0.86
2011-09-30,24.25,8.63,8.46,1.37,0.78
2011-06-30,31.49,11.58,11.82,1.80,1.10
2011-03-31,29.69,11.24,11.82,1.78,1.09
2010-12-31,30.05,11.43,12.40,1.82,1.14
2010-09-30,24.68,10.24,8.58,1.55,0.97
2010-06-30,21.31,10.93,6.72,1.40,0.84
2010-03-31,22.94,21.44,7.35,1.53,0.96
2009-12-31,20.37,0.00,6.95,1.33,0.90
2009-09-30,18.36,0.00,8.31,1.20,0.82
2009-06-30,15.22,0.00,7.14,0.99,0.65
2009-03-31,8.93,0.00,4.36,0.58,0.35
2008-12-31,12.99,7.87,84.36,0.57,0.46
2008-09-30,22.00,6.06,25.39,0.92,0.75
2008-06-30,28.38,7.65,30.51,1.16,1.00
2008-03-31,27.08,96.71,34.24,1.13,0.99
