Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,142.59,44.15,40.70,11.88,8.36
2020-09-30,79.33,19.93,22.64,6.61,4.77
2020-06-30,84.28,23.94,29.06,8.01,5.46
2020-03-31,53.94,17.86,21.12,5.77,3.87
2019-12-31,67.80,25.39,27.40,7.62,5.29
2019-09-30,57.49,21.22,25.04,6.53,4.84
2019-06-30,47.48,18.33,18.76,5.47,4.08
2019-03-31,39.40,15.39,16.33,4.62,3.53
2018-12-31,30.97,13.07,16.45,3.57,2.87
2018-09-30,36.40,35.00,22.40,4.00,3.48
2018-06-30,37.39,40.21,19.60,4.04,3.75
2018-03-31,44.79,35.00,18.49,4.56,4.17
2017-12-31,40.95,32.24,15.84,4.10,3.86
2017-09-30,36.41,17.01,17.15,3.39,3.60
2017-06-30,29.26,15.16,18.29,2.83,3.05
2017-03-31,30.25,0.00,22.58,3.14,3.45
2016-12-31,24.64,0.00,13.50,2.68,2.86
2016-09-30,20.89,0.00,11.34,2.36,2.54
2016-06-30,19.00,0.00,11.08,2.21,2.26
2016-03-31,20.78,19.60,13.30,2.12,2.54
2015-12-31,19.83,20.44,12.69,2.05,2.60
2015-09-30,17.23,35.15,8.15,1.75,2.27
2015-06-30,18.39,34.69,10.75,1.88,2.42
2015-03-31,17.92,34.46,10.14,1.88,2.35
2014-12-31,18.75,50.69,12.92,1.95,2.53
2014-09-30,18.32,19.49,21.07,1.81,2.55
2014-06-30,18.46,21.72,17.84,1.72,2.70
2014-03-31,18.67,28.29,26.76,1.82,3.00
2013-12-31,16.54,23.97,24.06,1.60,2.73
2013-09-30,15.51,30.41,23.85,1.52,2.61
2013-06-30,16.49,27.04,15.43,1.69,2.69
2013-03-31,15.23,18.57,14.50,1.62,2.28
2012-12-31,15.86,16.87,12.86,1.68,2.20
2012-09-30,13.35,8.40,9.90,1.40,1.80
2012-06-30,13.20,9.10,17.86,1.47,1.90
2012-03-31,15.86,11.75,20.48,1.91,2.49
2011-12-31,12.80,7.95,15.38,1.56,2.04
2011-09-30,10.34,7.83,7.58,1.39,1.63
2011-06-30,13.89,8.03,6.71,1.94,2.01
2011-03-31,16.72,8.85,7.91,2.52,2.37
2010-12-31,13.18,7.66,6.10,2.14,1.93
2010-09-30,10.46,6.79,5.93,1.78,1.54
2010-06-30,9.15,9.95,7.27,1.82,1.51
2010-03-31,10.49,0.00,11.42,2.56,2.04
2009-12-31,10.07,0.00,21.71,2.65,2.28
2009-09-30,8.68,0.00,25.63,2.43,2.03
2009-06-30,6.44,0.00,71.56,1.84,1.40
2009-03-31,4.11,0.00,15.77,1.18,0.76
2008-12-31,3.96,0.00,5.59,0.95,0.62
2008-09-30,7.33,183.30,8.28,1.04,1.10
2008-06-30,10.39,26.65,15.05,1.46,1.59
2008-03-31,11.66,24.81,20.30,1.62,1.87
2007-12-31,9.71,23.11,36.17,1.37,1.65
2007-09-30,12.96,34.09,38.44,1.81,2.28
2007-06-30,16.50,35.11,16.29,2.24,2.84
2007-03-31,15.53,21.27,9.89,2.15,2.53
2006-12-31,14.04,14.04,6.76,1.95,2.12
