Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,340.10,43.77,52.54,4.89,6.41
2020-06-30,363.31,35.76,52.33,5.45,6.78
2020-03-31,292.02,24.98,51.71,4.41,5.27
2019-12-31,374.99,38.34,52.81,5.83,6.80
2019-09-30,338.10,35.89,50.39,5.48,6.22
2019-06-30,329.24,56.96,49.91,5.71,6.13
2019-03-31,300.07,75.78,43.81,5.39,5.64
2018-12-31,256.39,59.77,33.87,4.64,4.87
2018-09-30,263.59,181.79,37.35,4.83,5.10
2018-06-30,265.30,140.37,36.87,4.98,5.29
2018-03-31,251.89,69.78,34.37,4.47,5.24
2017-12-31,245.46,75.06,32.23,4.56,5.34
2017-09-30,238.39,43.50,31.63,4.34,5.42
2017-06-30,204.35,39.07,27.03,3.89,4.85
2017-03-31,190.21,39.46,23.55,3.86,4.65
2016-12-31,157.95,31.59,21.05,3.26,4.04
2016-09-30,164.32,28.38,20.21,3.34,4.28
2016-06-30,173.05,30.68,25.01,3.59,4.56
2016-03-31,152.92,28.80,26.92,3.09,4.10
2015-12-31,127.73,25.14,25.37,2.64,3.39
2015-09-30,120.38,29.65,30.50,2.58,3.18
2015-06-30,130.94,32.82,29.72,2.82,3.40
2015-03-31,116.49,28.55,24.63,2.60,2.97
2014-12-31,110.39,27.39,23.04,2.39,2.78
2014-09-30,100.69,26.99,18.25,2.10,2.53
2014-06-30,100.90,27.80,18.66,2.10,2.55
2014-03-31,102.14,28.45,21.59,2.17,2.61
2013-12-31,89.10,25.75,23.21,1.91,2.28
2013-09-30,77.83,22.96,27.81,1.72,1.99
2013-06-30,72.98,25.79,34.12,1.67,1.90
2013-03-31,79.25,27.42,30.44,1.83,2.08
2012-12-31,66.59,0.00,21.05,1.61,1.76
2012-09-30,63.96,0.00,24.07,1.49,1.72
2012-06-30,56.29,0.00,26.36,1.36,1.51
2012-03-31,56.19,0.00,37.35,1.33,1.51
2011-12-31,56.00,7.07,45.90,1.21,1.53
2011-09-30,48.84,8.38,30.64,1.03,1.39
2011-06-30,55.10,10.38,31.32,1.15,1.58
2011-03-31,52.04,8.72,23.77,1.11,1.52
2010-12-31,48.02,9.62,16.89,1.07,1.38
2010-09-30,50.35,12.43,16.05,1.17,1.71
2010-06-30,47.82,10.72,9.50,1.21,1.50
2010-03-31,56.13,17.93,16.55,1.41,1.65
2009-12-31,46.95,6.18,20.00,1.18,1.31
2009-09-30,41.82,5.96,21.14,1.07,1.03
2009-06-30,38.52,5.41,37.71,1.04,0.91
2009-03-31,33.33,4.25,20.54,0.95,0.73
2008-12-31,42.40,14.09,33.12,1.38,0.88
2008-09-30,53.36,12.76,22.65,1.53,1.16
2008-06-30,46.47,27.83,23.91,1.32,1.03
2008-03-31,39.65,12.55,11.41,1.16,0.94
2007-12-31,52.06,14.07,10.59,1.55,1.30
2007-09-30,64.07,21.36,20.80,1.96,1.40
2007-06-30,66.95,12.49,17.40,1.98,1.36
2007-03-31,55.50,14.27,12.98,1.78,1.03
2006-12-31,52.42,15.02,13.04,1.72,0.91
