Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,151.05,20.01,10.34,5.68,0.87
2020-07-31,124.29,17.94,9.83,4.94,0.75
2020-04-30,107.78,19.96,11.05,4.82,0.69
2020-01-31,108.16,16.98,13.43,4.61,0.72
2019-10-31,103.80,16.58,15.38,4.56,0.70
2019-07-31,83.24,13.78,14.14,3.60,0.57
2019-04-30,73.93,12.95,15.70,3.41,0.51
2019-01-31,69.10,12.54,14.49,3.17,0.49
2018-10-31,78.44,13.05,15.60,3.69,0.56
2018-07-31,75.09,13.13,11.48,3.54,0.55
2018-04-30,67.00,12.29,11.19,3.20,0.50
2018-01-31,68.83,12.87,8.54,3.20,0.52
2017-10-31,53.48,11.19,6.45,2.62,0.42
2017-07-31,50.76,10.23,5.95,2.51,0.41
2017-04-30,49.49,10.10,5.94,2.49,0.40
2017-01-31,56.62,12.00,8.36,2.87,0.47
2016-10-31,59.85,10.71,10.26,3.05,0.51
2016-07-31,65.08,12.05,12.51,3.23,0.56
2016-04-30,68.17,12.58,13.18,3.23,0.59
2016-01-31,61.61,11.52,8.57,2.86,0.53
2015-10-31,65.15,0.00,8.72,3.04,0.56
2015-07-31,68.61,0.00,10.31,3.10,0.60
2015-04-30,65.64,0.00,10.58,2.96,0.58
2015-01-31,60.88,0.00,14.05,2.78,0.54
2014-10-31,50.74,21.23,9.36,1.97,0.46
2014-07-31,48.47,20.37,9.89,1.87,0.44
2014-04-30,49.86,16.85,13.13,1.92,0.45
2014-01-31,45.39,14.78,6.19,1.77,0.41
2013-10-31,51.59,13.83,8.42,2.02,0.45
2013-07-31,56.38,13.58,8.36,2.22,0.50
2013-04-30,55.54,13.04,7.41,2.16,0.50
2013-01-31,47.28,10.44,10.30,1.84,0.43
2012-10-31,49.61,11.00,11.47,1.99,0.46
2012-07-31,46.92,10.74,15.59,1.93,0.44
2012-04-30,44.58,10.27,25.90,1.86,0.43
2012-01-31,38.87,9.06,24.10,1.64,0.38
2011-10-31,41.65,9.71,27.89,1.83,0.42
2011-07-31,38.93,9.25,12.31,1.74,0.40
2011-04-30,36.94,9.01,9.28,1.67,0.39
2011-01-31,41.06,10.24,9.33,1.87,0.45
2010-10-31,38.73,10.19,7.46,1.84,0.43
2010-07-31,38.08,10.46,7.11,1.80,0.43
2010-04-30,42.07,11.98,7.07,1.99,0.48
2010-01-31,37.80,11.45,6.82,1.83,0.44
2009-10-31,35.58,12.40,7.61,1.79,0.42
2009-07-31,31.92,11.48,11.40,1.64,0.38
2009-04-30,30.08,10.70,14.56,1.60,0.35
2009-01-31,22.62,7.91,18.98,1.24,0.27
2008-10-31,28.94,8.82,51.13,1.60,0.35
2008-07-31,32.52,9.71,35.34,1.82,0.41
2008-04-30,38.10,11.44,95.49,2.09,0.50
2008-01-31,39.64,11.87,0.00,2.12,0.53
2007-10-31,43.77,12.87,82.95,2.29,0.60
2007-07-31,43.11,12.57,67.68,2.29,0.60
2007-04-30,42.17,12.66,58.82,2.28,0.60
2007-01-31,43.50,13.55,37.93,2.39,0.64
2006-10-31,41.86,14.05,0.00,2.43,0.65
