Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,441.31,36.17,30.89,5.50,6.19
2020-06-30,361.99,39.18,33.95,4.79,5.53
2020-03-31,283.14,31.05,30.54,3.92,4.44
2019-12-31,324.11,35.34,31.99,4.35,5.12
2019-09-30,290.41,32.63,29.37,3.97,4.65
2019-06-30,292.63,33.37,28.58,4.08,4.76
2019-03-31,272.56,34.77,25.55,3.94,4.48
2018-12-31,222.68,30.71,23.57,3.25,3.71
2018-09-30,242.69,38.34,24.82,3.63,4.10
2018-06-30,205.82,34.77,22.38,3.13,3.59
2018-03-31,204.98,36.41,25.53,3.16,3.72
2017-12-31,188.37,33.64,21.40,2.97,3.57
2017-09-30,187.54,31.84,25.56,3.04,3.75
2017-06-30,172.81,30.11,24.15,3.01,3.56
2017-03-31,152.01,27.74,20.91,2.73,3.21
2016-12-31,139.51,27.41,19.50,2.55,3.03
2016-09-30,157.10,31.42,20.92,2.87,3.49
2016-06-30,145.79,29.22,19.99,2.70,3.31
2016-03-31,139.56,28.14,20.17,2.62,3.23
2015-12-31,139.67,28.45,22.13,2.61,3.31
2015-09-30,120.27,24.54,22.66,2.30,2.88
2015-06-30,127.47,26.07,24.65,2.46,3.04
2015-03-31,131.81,30.58,23.84,2.63,3.14
2014-12-31,122.79,26.07,22.04,2.39,2.92
2014-09-30,119.13,28.78,22.64,2.32,2.95
2014-06-30,115.37,30.12,22.90,2.23,2.98
2014-03-31,117.41,30.11,28.43,2.29,3.18
2013-12-31,108.60,31.30,22.71,2.33,3.02
2013-09-30,89.74,25.00,19.81,1.97,2.54
2013-06-30,82.28,23.38,18.57,1.88,2.35
2013-03-31,74.24,21.90,16.47,1.71,2.15
2012-12-31,61.78,19.25,13.04,1.43,1.82
2012-09-30,56.86,19.34,12.18,1.34,1.72
2012-06-30,50.06,17.63,11.56,1.21,1.55
2012-03-31,54.23,15.19,13.83,1.30,1.74
2011-12-31,43.16,12.47,11.55,1.07,1.44
2011-09-30,48.60,14.13,15.33,1.21,1.73
2011-06-30,61.79,18.12,18.58,1.51,2.29
2011-03-31,53.31,20.35,17.32,1.34,2.06
2010-12-31,53.13,20.92,17.23,1.35,2.11
2010-09-30,45.95,18.83,13.90,1.19,1.82
2010-06-30,47.07,20.38,14.76,1.25,1.90
2010-03-31,49.36,22.14,14.28,1.31,2.02
2009-12-31,45.77,22.66,13.14,1.21,1.95
2009-09-30,41.91,20.44,12.65,1.11,1.79
2009-06-30,39.12,19.27,12.18,1.06,1.68
2009-03-31,34.23,16.22,11.16,0.96,1.45
2008-12-31,32.70,14.28,11.80,0.92,1.35
2008-09-30,52.78,24.55,17.91,1.47,2.21
2008-06-30,53.48,25.11,17.88,1.49,2.29
2008-03-31,54.55,28.26,18.06,1.54,2.43
2007-12-31,55.35,32.37,18.50,1.59,2.52
2007-09-30,55.39,44.31,22.44,1.61,2.29
2007-06-30,49.63,46.82,21.76,1.46,2.13
2007-03-31,44.86,45.78,23.17,1.33,2.01
2006-12-31,43.46,45.75,26.45,1.30,2.06
