Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,120.10,54.84,0.00,2.31,2.04
2020-09-30,114.36,37.37,0.00,2.20,2.03
2020-06-30,104.15,33.93,0.00,2.05,1.94
2020-03-31,83.90,20.61,82.56,2.49,1.61
2019-12-31,78.42,19.46,143.76,2.33,1.50
2019-09-30,78.77,20.15,0.00,2.43,1.52
2019-06-30,74.14,19.36,0.00,2.35,1.43
2019-03-31,69.10,18.88,0.00,2.25,1.35
2018-12-31,63.61,18.82,0.00,2.19,1.26
2018-09-30,70.18,12.23,0.00,2.44,1.42
2018-06-30,59.75,10.98,0.00,2.16,1.24
2018-03-31,61.04,11.76,0.00,2.28,1.28
2017-12-31,63.51,12.19,0.00,2.42,1.36
2017-09-30,61.66,24.18,0.00,2.53,1.32
2017-06-30,60.62,25.91,0.00,2.57,1.31
2017-03-31,64.59,33.64,0.00,2.83,1.41
2016-12-31,57.51,34.23,0.00,2.61,1.29
2016-09-30,46.72,29.76,25.90,2.16,1.09
2016-06-30,43.27,33.28,26.92,2.05,1.05
2016-03-31,38.30,26.05,35.21,1.84,0.95
2015-12-31,39.12,47.71,46.64,1.93,0.99
2015-09-30,39.81,66.35,0.00,2.00,1.02
2015-06-30,38.77,117.48,0.00,1.97,1.00
2015-03-31,31.69,81.26,0.00,1.64,0.84
2014-12-31,26.94,92.90,0.00,1.39,0.74
2014-09-30,28.87,206.21,0.00,1.60,0.79
2014-06-30,33.62,160.10,0.00,1.86,0.92
2014-03-31,33.03,0.00,0.00,1.87,0.89
2013-12-31,33.64,0.00,0.00,1.89,0.90
2013-09-30,25.97,123.67,0.00,1.52,0.71
2013-06-30,24.81,19.08,229.09,1.46,0.68
2013-03-31,14.63,6.84,8.84,0.79,0.40
2012-12-31,13.34,6.18,7.06,1.17,0.39
2012-09-30,15.71,6.34,1.14,0.86,0.49
2012-06-30,8.12,4.46,0.60,0.47,0.27
2012-03-31,12.10,8.29,0.96,0.74,0.45
2011-12-31,11.65,7.02,0.94,0.72,0.44
2011-09-30,11.69,9.43,65.63,0.75,0.45
2011-06-30,23.10,17.77,16.84,1.52,0.93
2011-03-31,21.79,17.03,41.14,1.48,0.91
2010-12-31,16.95,15.69,12.52,1.18,0.74
2010-09-30,14.04,11.90,24.66,0.99,0.63
2010-06-30,10.99,9.48,93.86,0.80,0.51
2010-03-31,9.50,11.05,13.96,0.72,0.46
2009-12-31,10.24,10.45,45.69,0.79,0.52
2009-09-30,12.56,14.27,0.00,0.99,0.68
2009-06-30,17.86,24.81,0.00,1.47,1.04
2009-03-31,22.92,26.65,0.00,1.93,1.41
2008-12-31,19.93,23.72,0.00,1.72,1.29
2008-09-30,18.77,39.11,0.00,1.62,1.22
2008-06-30,23.77,45.71,0.00,2.11,1.62
2008-03-31,22.81,39.33,0.00,2.11,1.58
