Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,39.46,0.00,23.22,3.79,2.37
2020-12-31,31.08,0.00,18.29,2.99,1.87
2020-09-30,15.63,0.00,12.29,1.71,0.91
2020-06-30,13.28,0.00,18.35,1.61,0.75
2020-03-31,12.95,0.00,9.73,1.40,0.63
2019-12-31,26.57,12.90,15.53,2.21,1.26
2019-09-30,25.32,13.62,14.03,2.26,1.22
2019-06-30,30.40,13.76,17.06,2.48,1.47
2019-03-31,30.78,12.66,11.88,2.53,1.49
2018-12-31,31.66,12.61,10.13,2.63,1.54
2018-09-30,46.73,25.26,16.64,4.09,2.26
2018-06-30,43.13,31.48,17.05,3.83,2.11
2018-03-31,48.22,41.22,21.90,4.42,2.50
2017-12-31,40.28,35.97,17.16,3.89,2.21
2017-09-30,36.39,22.60,15.78,3.52,2.18
2017-06-30,42.42,20.30,17.22,3.98,2.67
2017-03-31,36.77,19.87,17.48,3.57,2.29
2016-12-31,30.88,16.97,15.49,3.08,1.91
2016-09-30,31.96,18.58,27.97,3.28,1.99
2016-06-30,35.29,21.39,27.22,3.66,2.19
2016-03-31,34.44,24.60,27.82,3.65,2.21
2015-12-31,27.87,21.11,21.07,3.01,1.83
2015-09-30,24.37,17.79,11.69,2.73,1.62
2015-06-30,28.83,19.88,10.83,3.20,1.90
2015-03-31,34.19,20.35,10.84,3.72,2.20
2014-12-31,30.75,15.07,10.50,3.37,1.90
2014-09-30,28.87,11.83,10.81,3.26,1.72
2014-06-30,27.47,9.88,10.06,3.11,1.61
2014-03-31,39.56,12.02,13.92,4.54,2.29
2013-12-31,44.41,12.87,13.74,5.07,2.53
2013-09-30,42.88,11.85,10.71,5.06,2.42
2013-06-30,44.61,12.32,10.89,5.22,2.52
2013-03-31,38.84,10.50,10.23,4.86,2.23
2012-12-31,42.87,11.81,12.51,5.78,2.52
2012-09-30,43.04,12.02,12.74,6.12,2.59
2012-06-30,44.70,12.63,12.67,6.40,2.77
2012-03-31,58.81,17.50,17.49,8.72,3.76
2011-12-31,46.31,14.43,12.29,7.13,3.08
2011-09-30,39.18,12.93,12.72,6.28,2.75
2011-06-30,48.14,16.43,16.39,8.61,3.50
2011-03-31,39.04,13.51,13.65,6.57,2.93
2010-12-31,41.38,14.94,14.40,7.04,3.22
2010-09-30,32.06,12.72,11.85,5.99,2.67
2010-06-30,27.17,11.66,9.43,5.36,2.40
2010-03-31,29.26,13.68,9.29,5.35,2.73
2009-12-31,27.00,13.50,8.79,4.54,2.60
2009-09-30,24.28,12.64,10.20,4.20,2.42
2009-06-30,19.77,10.30,11.32,3.71,2.00
2009-03-31,12.25,5.86,7.12,2.52,1.27
2008-12-31,15.24,6.96,11.28,3.34,1.60
2008-09-30,18.37,8.31,9.60,4.44,1.99
2008-06-30,21.18,9.72,10.20,4.79,2.42
2008-03-31,22.12,11.17,11.37,5.17,2.67
2007-12-31,22.43,11.68,11.63,5.00,2.87
2007-09-30,34.67,18.84,19.29,6.44,4.75
2007-06-30,34.76,19.64,20.48,6.78,5.01
2007-03-31,36.71,22.12,23.85,7.99,5.75
2006-12-31,31.51,20.46,14.80,7.84,5.29
