Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,48.70,24.97,22.59,3.64,3.91
2020-06-30,43.19,22.49,21.60,3.36,3.47
2020-03-31,31.83,15.60,15.39,2.56,2.47
2019-12-31,41.69,20.44,20.43,3.34,3.23
2019-09-30,38.81,30.56,19.75,3.47,3.05
2019-06-30,45.11,36.09,24.19,4.02,3.54
2019-03-31,40.40,35.75,21.02,3.70,3.23
2018-12-31,32.91,29.65,19.90,3.09,2.68
2018-09-30,43.46,68.98,26.13,4.12,3.65
2018-06-30,32.84,58.64,21.92,3.26,2.88
2018-03-31,35.88,71.76,26.09,3.57,3.31
2017-12-31,40.64,86.47,27.03,4.19,3.95
2017-09-30,39.25,51.64,23.25,3.87,3.97
2017-06-30,35.67,51.70,19.84,3.59,3.73
2017-03-31,32.01,50.02,20.67,3.34,3.40
2016-12-31,30.15,57.98,18.90,3.29,3.24
2016-09-30,28.56,62.09,21.46,3.08,3.11
2016-06-30,24.36,54.13,19.41,2.70,2.69
2016-03-31,24.80,60.49,19.46,2.73,2.79
2015-12-31,21.45,46.63,17.71,2.42,2.43
2015-09-30,16.42,28.31,13.09,1.86,1.87
2015-06-30,23.46,48.88,17.52,2.58,2.66
2015-03-31,25.20,37.61,17.20,2.79,2.81
2014-12-31,26.54,33.18,19.51,2.92,2.94
2014-09-30,30.50,37.20,20.17,3.35,3.31
2014-06-30,36.95,37.32,24.52,3.94,4.05
2014-03-31,38.87,42.71,26.03,4.31,4.36
2013-12-31,34.70,41.31,26.37,4.02,3.96
2013-09-30,29.71,40.15,25.95,3.57,3.50
2013-06-30,25.99,35.12,23.54,3.27,3.12
2013-03-31,29.98,40.51,30.98,3.90,3.69
2012-12-31,29.89,39.85,26.78,3.98,3.76
2012-09-30,23.83,32.42,21.59,3.29,3.11
2012-06-30,23.01,36.23,23.35,3.36,3.12
2012-03-31,27.21,42.52,27.06,3.99,3.91
2011-12-31,21.70,36.17,25.07,3.38,3.33
2011-09-30,16.78,26.63,23.89,2.64,2.75
2011-06-30,19.82,30.26,42.21,3.12,3.45
2011-03-31,25.27,54.34,84.32,4.16,4.62
2010-12-31,19.97,47.54,48.99,3.48,3.82
2010-09-30,17.52,55.62,34.96,3.19,3.46
2010-06-30,14.00,57.14,20.94,2.69,2.88
2010-03-31,14.36,47.08,18.36,2.66,3.05
2009-12-31,12.60,48.46,16.93,2.40,2.73
2009-09-30,11.96,43.47,18.51,2.30,2.62
2009-06-30,9.82,26.89,14.20,1.94,2.05
2009-03-31,7.64,16.08,10.32,1.58,1.50
2008-12-31,10.81,19.12,16.79,2.25,2.03
2008-09-30,12.93,21.02,17.32,2.66,2.35
2008-06-30,17.85,31.32,23.98,3.59,3.33
2008-03-31,14.30,27.76,21.96,2.99,2.77
2007-12-31,15.12,31.83,21.65,3.32,3.07
2007-09-30,19.61,41.49,28.27,4.43,4.19
2007-06-30,16.10,34.26,25.66,3.82,3.57
2007-03-31,13.42,29.66,23.22,3.33,3.16
2006-12-31,12.68,28.50,24.67,3.79,3.14
