Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,140.37,13.37,5.58,1.21,1.12
2020-09-30,107.51,12.29,4.61,0.98,0.87
2020-06-30,112.49,16.02,5.12,1.06,0.92
2020-03-31,97.34,10.49,4.94,0.98,0.80
2019-12-31,133.23,13.40,6.86,1.31,1.11
2019-09-30,143.78,16.14,8.21,1.45,1.22
2019-06-30,143.80,14.34,8.80,1.48,1.24
2019-03-31,131.19,13.32,8.11,1.41,1.15
2018-12-31,113.87,12.27,7.13,1.31,1.02
2018-09-30,122.58,13.71,8.28,1.45,1.12
2018-06-30,114.93,15.59,7.87,1.36,1.07
2018-03-31,129.68,17.15,9.51,1.52,1.23
2017-12-31,126.02,17.24,8.59,1.44,1.22
2017-09-30,113.22,13.15,6.59,1.31,1.12
2017-06-30,116.20,11.61,6.82,1.34,1.17
2017-03-31,110.06,10.85,7.19,1.30,1.14
2016-12-31,111.16,10.82,7.32,1.34,1.18
2016-09-30,103.43,10.53,8.09,1.20,1.14
2016-06-30,106.88,10.34,8.65,1.25,1.21
2016-03-31,104.18,9.80,8.15,1.26,1.20
2015-12-31,100.19,9.21,9.50,1.26,1.18
2015-09-30,87.88,7.88,9.07,1.11,1.06
2015-06-30,84.83,7.80,8.93,1.09,1.04
2015-03-31,94.30,9.16,10.11,1.21,1.18
2014-12-31,91.84,8.58,8.59,1.19,1.17
2014-09-30,81.08,7.87,7.01,1.06,1.06
2014-06-30,80.72,8.15,7.69,1.07,1.09
2014-03-31,72.60,7.01,6.92,0.99,1.01
2013-12-31,76.78,7.88,7.75,1.09,1.11
2013-09-30,71.49,9.14,8.27,1.05,1.05
2013-06-30,66.98,8.67,8.27,1.01,0.99
2013-03-31,70.13,10.66,9.52,1.03,1.06
2012-12-31,59.49,9.49,7.40,0.88,0.90
2012-09-30,56.19,8.03,7.27,0.83,0.87
2012-06-30,52.18,9.35,8.68,0.80,0.83
2012-03-31,48.03,13.92,8.49,0.75,0.78
2011-12-31,47.66,14.23,9.53,0.76,0.79
2011-09-30,38.97,10.20,7.12,0.64,0.67
2011-06-30,46.31,8.97,7.46,0.78,0.82
2011-03-31,46.86,6.33,7.07,0.78,0.87
2010-12-31,43.63,6.47,6.94,0.74,0.85
2010-09-30,40.53,5.68,5.95,0.68,0.82
2010-06-30,38.04,5.70,5.86,0.68,0.81
2010-03-31,41.36,6.30,5.83,0.77,0.92
2009-12-31,38.00,5.92,5.12,0.72,0.89
2009-09-30,37.27,6.92,5.72,0.73,0.91
2009-06-30,30.88,7.55,5.56,0.65,0.77
2009-03-31,30.38,6.97,5.99,0.67,0.76
2008-12-31,33.49,6.99,6.48,0.77,0.83
2008-09-30,33.26,6.55,5.31,0.79,0.82
2008-06-30,31.73,4.86,4.11,0.73,0.80
2008-03-31,34.76,5.07,4.30,0.80,0.89
2007-12-31,38.84,5.65,4.97,0.92,1.01
2007-09-30,36.15,5.23,4.47,0.89,0.96
2007-06-30,38.20,5.81,5.17,0.99,1.04
2007-03-31,36.77,6.06,5.26,0.96,1.03
2006-12-31,37.94,6.41,5.79,1.02,1.09
