Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,171.34,32.76,17.40,10.64,1.89
2020-09-30,142.47,22.12,14.46,8.85,1.69
2020-06-30,130.65,22.37,12.42,8.95,1.66
2020-03-31,83.55,17.63,14.54,7.13,1.18
2019-12-31,92.02,19.75,18.62,6.94,1.33
2019-09-30,88.74,19.46,20.46,7.05,1.30
2019-06-30,106.37,23.69,24.79,8.24,1.59
2019-03-31,95.25,21.75,26.59,7.74,1.45
2018-12-31,81.04,18.76,23.93,6.32,1.26
2018-09-30,87.96,21.56,31.38,7.18,1.42
2018-06-30,73.77,19.16,22.75,6.39,1.22
2018-03-31,60.52,17.75,15.64,5.67,1.05
2017-12-31,71.50,21.67,23.37,6.31,1.27
2017-09-30,60.28,17.89,15.60,5.53,1.09
2017-06-30,51.38,15.48,17.36,4.73,0.96
2017-03-31,65.07,20.15,40.29,6.10,1.26
2016-12-31,71.28,21.80,22.44,6.42,1.41
2016-09-30,63.10,20.03,33.08,5.70,1.31
2016-06-30,85.19,27.30,44.08,7.58,1.79
2016-03-31,84.30,27.37,44.06,8.31,1.81
2015-12-31,79.49,26.50,49.38,7.66,1.75
2015-09-30,78.19,26.15,37.83,7.87,1.75
2015-06-30,83.25,28.71,38.25,8.17,1.90
2015-03-31,78.56,28.78,34.72,8.15,1.86
2014-12-31,72.66,27.32,40.71,7.66,1.78
2014-09-30,56.58,22.36,36.93,6.28,1.43
2014-06-30,55.42,22.71,33.13,6.04,1.45
2014-03-31,64.64,27.33,50.82,7.44,1.74
2013-12-31,70.86,30.48,86.60,7.94,1.94
2013-09-30,61.24,27.84,73.60,7.22,1.73
2013-06-30,53.47,25.64,75.20,6.52,1.57
2013-03-31,47.26,24.42,53.34,6.37,1.45
2012-12-31,40.02,21.06,25.80,5.43,1.25
2012-09-30,44.69,24.49,50.83,5.98,1.42
2012-06-30,37.45,21.16,41.76,4.99,1.22
2012-03-31,40.75,24.55,55.28,5.55,1.36
2011-12-31,31.52,20.94,52.51,4.46,1.10
2011-09-30,28.05,20.62,40.44,4.25,1.03
2011-06-30,29.94,23.30,32.93,4.56,1.15
2011-03-31,26.74,22.62,45.95,4.24,1.06
2010-12-31,21.64,19.23,25.57,3.37,0.89
2010-09-30,17.67,16.82,24.20,2.88,0.76
2010-06-30,13.55,13.76,17.65,2.28,0.59
2010-03-31,12.88,15.19,13.50,2.36,0.58
2009-12-31,11.72,14.88,12.15,2.17,0.54
2009-09-30,10.71,15.42,13.83,2.23,0.50
2009-06-30,9.14,13.50,21.54,1.98,0.43
2009-03-31,7.98,13.03,8.63,1.89,0.39
2008-12-31,8.00,13.27,9.27,1.89,0.40
2008-09-30,9.31,14.83,9.02,2.28,0.48
2008-06-30,6.43,10.62,6.91,1.61,0.35
2008-03-31,8.75,15.48,21.19,2.32,0.51
2007-12-31,7.95,13.20,17.67,2.11,0.48
2007-09-30,10.20,17.29,57.07,2.70,0.63
2007-06-30,11.52,19.52,36.13,3.05,0.74
2007-03-31,11.40,19.56,115.23,3.11,0.76
2006-12-31,9.89,17.83,217.45,2.66,0.69
