Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,178.35,29.87,30.29,17.85,11.51
2020-12-31,163.13,27.32,27.70,16.32,10.52
2020-09-30,140.93,26.64,25.55,15.53,9.62
2020-06-30,124.45,23.35,20.50,14.91,8.58
2020-03-31,97.15,18.65,16.30,11.58,6.53
2019-12-31,123.82,23.68,20.21,12.96,8.20
2019-09-30,123.80,23.01,19.62,12.88,8.07
2019-06-30,109.27,19.98,17.81,12.03,6.97
2019-03-31,101.00,18.33,16.54,11.13,6.37
2018-12-31,89.31,15.95,14.57,9.39,5.63
2018-09-30,100.56,21.53,16.90,9.23,6.36
2018-06-30,102.76,23.62,18.00,9.42,6.59
2018-03-31,96.26,24.19,19.74,8.88,6.33
2017-12-31,96.23,26.73,20.68,9.15,6.52
2017-09-30,82.06,19.17,19.34,7.37,5.70
2017-06-30,70.00,17.68,17.50,6.48,5.03
2017-03-31,72.85,19.74,17.44,6.83,5.40
2016-12-31,65.56,19.46,16.40,6.24,5.01
2016-09-30,62.60,19.87,15.05,6.09,4.89
2016-06-30,55.58,18.71,13.52,5.60,4.44
2016-03-31,50.61,17.70,13.14,5.21,4.09
2015-12-31,47.96,17.01,12.64,4.88,3.86
2015-09-30,43.05,15.49,11.74,4.40,3.48
2015-06-30,44.48,16.00,12.25,4.51,3.61
2015-03-31,49.07,17.84,13.62,4.94,3.99
2014-12-31,45.59,17.67,12.92,4.59,3.79
2014-09-30,40.38,17.71,12.55,4.07,3.44
2014-06-30,40.21,19.33,13.67,4.10,3.53
2014-03-31,39.42,19.32,14.02,4.01,3.55
2013-12-31,36.45,18.98,13.55,3.65,3.33
2013-09-30,33.20,19.65,12.94,3.29,3.07
2013-06-30,28.51,15.84,11.10,2.84,2.62
2013-03-31,28.80,17.89,11.47,2.92,2.61
2012-12-31,24.92,16.50,9.78,2.52,2.24
2012-09-30,22.06,14.42,9.30,2.17,1.93
2012-06-30,22.83,16.66,10.00,2.33,1.99
2012-03-31,26.60,17.27,12.52,2.75,2.31
2011-12-31,22.92,12.26,10.93,2.38,1.96
2011-09-30,20.87,8.70,9.14,2.16,1.79
2011-06-30,25.60,9.85,11.50,2.71,2.17
2011-03-31,26.85,10.09,12.44,2.95,2.29
2010-12-31,25.16,9.57,11.02,2.81,2.19
2010-09-30,20.92,8.83,11.25,2.47,1.91
2010-06-30,17.86,8.58,11.47,2.19,1.77
2010-03-31,18.68,11.26,10.86,2.33,2.04
2009-12-31,19.79,17.21,13.29,2.52,2.41
2009-09-30,17.90,25.21,9.81,2.38,2.32
2009-06-30,16.02,22.25,8.02,2.19,2.00
2009-03-31,12.34,12.85,6.91,1.71,1.44
2008-12-31,11.52,8.00,5.93,1.58,1.23
2008-09-30,15.86,8.35,7.82,2.04,1.59
2008-06-30,20.69,10.29,8.69,2.72,2.08
2008-03-31,20.70,10.40,7.71,2.78,2.12
2007-12-31,24.38,13.18,9.31,3.28,2.57
2007-09-30,26.62,15.13,12.49,3.34,2.88
2007-06-30,27.31,16.26,21.16,3.40,2.98
2007-03-31,21.80,7.90,7.61,2.77,2.38
2006-12-31,20.83,7.52,7.77,2.66,2.30
