Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,473.88,139.38,63.07,12.02,17.62
2020-09-30,348.56,76.61,46.39,8.84,12.75
2020-06-30,346.88,75.25,52.41,7.63,12.70
2020-03-31,296.56,72.16,48.26,6.88,10.72
2019-12-31,300.02,82.42,56.57,8.93,11.03
2019-09-30,262.50,80.03,49.21,6.73,10.09
2019-06-30,216.02,66.67,44.91,5.86,8.64
2019-03-31,204.40,59.94,41.45,5.77,8.53
2018-12-31,185.82,50.63,33.47,5.37,7.98
2018-09-30,245.06,55.19,48.26,6.71,10.75
2018-06-30,222.10,49.91,47.31,6.40,9.90
2018-03-31,210.96,49.17,51.97,6.40,9.64
2017-12-31,177.05,42.46,45.50,5.63,8.25
2017-09-30,174.32,51.12,46.04,6.07,8.31
2017-06-30,175.67,58.17,50.94,6.44,8.57
2017-03-31,154.56,57.24,38.12,5.92,7.71
2016-12-31,142.77,61.81,36.09,5.73,7.32
2016-09-30,171.23,98.41,38.28,7.11,9.11
2016-06-30,166.71,97.49,40.70,7.29,9.28
2016-03-31,128.61,73.91,31.57,5.86,7.50
2015-12-31,174.32,97.93,52.30,7.46,10.69
2015-09-30,149.31,75.41,49.91,11.75,9.59
2015-06-30,129.38,67.74,38.32,10.93,8.59
2015-03-31,120.53,66.59,36.58,11.07,8.29
2014-12-31,109.44,65.93,29.02,10.87,7.84
2014-09-30,88.40,57.78,35.40,9.86,6.52
2014-06-30,91.21,66.58,53.98,11.24,7.02
2014-03-31,83.68,69.16,73.08,10.36,6.72
2013-12-31,102.13,90.38,90.05,13.62,8.43
2013-09-30,87.47,78.80,57.43,13.58,7.41
2013-06-30,68.55,61.21,46.92,12.11,5.92
2013-03-31,61.26,56.72,45.87,12.04,5.40
2012-12-31,48.44,48.44,32.17,10.45,4.37
2012-09-30,44.02,44.46,32.54,11.39,4.13
2012-06-30,40.35,45.34,35.57,12.27,3.98
2012-03-31,38.41,45.73,24.48,13.17,3.99
2011-12-31,30.11,35.85,22.61,11.55,3.25
2011-09-30,25.28,32.41,19.87,11.62,2.86
2011-06-30,26.78,36.19,20.83,8.14,3.13
2011-03-31,23.71,32.04,23.37,7.01,2.86
2010-12-31,20.76,29.66,24.25,6.27,2.58
2010-09-30,20.16,30.09,23.26,6.50,2.51
2010-06-30,15.52,22.82,24.83,3.91,1.95
2010-03-31,18.74,26.77,26.98,4.73,2.36
2009-12-31,19.91,27.27,23.84,5.20,2.51
2009-09-30,17.09,24.77,27.32,4.80,2.23
2009-06-30,15.62,24.03,32.51,4.50,2.13
2009-03-31,14.63,31.13,26.72,4.54,2.06
2008-12-31,11.98,30.72,16.97,3.76,1.79
2008-09-30,15.17,37.93,16.76,4.24,2.38
2008-06-30,13.57,37.69,15.25,3.61,2.26
2008-03-31,13.98,31.77,13.79,4.00,2.50
2007-12-31,12.89,30.69,17.61,3.63,2.44
2007-09-30,13.35,36.08,22.05,3.88,2.64
2007-06-30,12.41,34.47,24.22,3.84,2.52
2007-03-31,12.70,35.28,27.15,3.91,2.65
2006-12-31,14.06,40.17,26.19,4.34,3.02
