Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,9.84,0.00,95.35,3.04,0.99
2020-06-30,8.84,0.00,0.00,2.82,0.89
2020-03-31,8.06,0.00,40.79,2.36,0.73
2019-12-31,19.18,91.33,23.99,4.03,1.65
2019-09-30,18.13,72.52,17.67,3.80,1.57
2019-06-30,22.20,116.84,22.36,4.89,1.91
2019-03-31,18.87,943.50,22.16,4.15,1.62
2018-12-31,16.17,0.00,15.37,3.60,1.39
2018-09-30,19.46,0.00,40.39,4.35,1.67
2018-06-30,21.08,0.00,37.86,4.87,1.82
2018-03-31,14.35,0.00,134.24,3.16,1.26
2017-12-31,13.32,0.00,0.00,2.92,1.18
2017-09-30,15.02,48.45,77.07,3.16,1.35
2017-06-30,20.16,42.00,86.75,4.39,1.79
2017-03-31,18.30,27.73,0.00,3.99,1.65
