Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,11.23,0.00,108.82,3.47,1.13
2020-06-30,9.74,0.00,0.00,3.11,0.98
2020-03-31,9.21,0.00,46.61,2.70,0.84
2019-12-31,21.60,102.86,27.01,4.54,1.86
2019-09-30,19.94,79.76,19.44,4.18,1.72
2019-06-30,25.35,133.42,25.54,5.58,2.18
2019-03-31,21.14,1057.00,24.83,4.65,1.82
2018-12-31,17.67,0.00,16.79,3.93,1.52
2018-09-30,21.22,0.00,44.04,4.74,1.83
2018-06-30,22.48,0.00,40.37,5.20,1.94
2018-03-31,16.35,0.00,152.95,3.60,1.43
2017-12-31,14.43,0.00,0.00,3.16,1.28
2017-09-30,16.48,53.16,84.56,3.46,1.48
2017-06-30,21.76,45.33,93.63,4.74,1.93
2017-03-31,19.78,50.72,101.23,4.31,1.79
2016-12-31,29.05,66.02,0.00,6.27,2.67
2016-09-30,38.68,84.09,0.00,8.81,3.66
2016-06-30,40.13,100.33,0.00,9.91,4.01
2016-03-31,42.42,76.26,0.00,10.60,4.46
2015-12-31,40.31,74.36,0.00,10.44,4.48
2015-09-30,48.39,97.05,0.00,13.60,5.78
2015-06-30,41.72,86.84,0.00,12.71,5.30
2015-03-31,40.38,83.16,605.32,12.57,5.35
2014-12-31,33.95,69.19,189.77,10.41,4.69
2014-09-30,34.55,79.15,366.00,11.40,5.06
2014-06-30,29.75,74.31,252.72,10.77,4.69
2014-03-31,28.66,71.60,0.00,10.66,4.79
2013-12-31,21.83,56.34,283.07,8.49,3.90
2013-09-30,19.86,55.73,402.07,8.40,3.83
2013-06-30,14.93,46.60,86.89,6.95,3.08
2013-03-31,12.80,43.46,37.86,6.18,2.75
2012-12-31,12.13,38.81,33.52,6.02,2.72
2012-09-30,13.96,51.45,51.45,7.46,3.31
2012-06-30,11.81,48.11,209.40,6.93,2.97
2012-03-31,11.75,47.86,0.00,7.03,3.10
2011-12-31,8.97,37.55,0.00,5.65,2.48
2011-09-30,8.30,38.49,0.00,5.60,2.45
2011-06-30,9.66,50.92,0.00,7.16,3.14
2011-03-31,8.51,46.41,0.00,6.48,2.96
2010-12-31,6.86,39.92,136.55,5.46,2.55
2010-09-30,5.63,36.65,61.87,4.82,2.26
2010-06-30,4.14,31.14,21.32,3.86,1.76
2010-03-31,3.68,28.74,15.98,3.49,1.63
2009-12-31,3.41,28.38,13.48,3.32,1.56
2009-09-30,3.48,33.64,20.94,3.58,1.67
2009-06-30,2.80,27.40,15.81,3.11,1.41
2009-03-31,2.05,20.12,17.13,2.33,1.04
2008-12-31,2.98,29.95,37.53,3.44,1.60
2008-09-30,3.97,32.70,0.00,4.74,2.14
2008-06-30,3.21,29.90,0.00,4.19,1.84
2008-03-31,4.58,38.94,0.00,6.07,2.78
2007-12-31,5.46,40.26,0.00,7.34,3.48
2007-09-30,7.48,60.94,0.00,10.57,5.09
2007-06-30,5.71,50.81,0.00,9.09,4.33
2007-03-31,6.41,61.30,0.00,10.55,5.27
2006-12-31,6.31,61.83,0.00,10.89,5.62
