Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,44.96,0.00,0.00,1.87,0.78
2020-09-30,34.75,0.00,0.00,1.44,0.40
2020-06-30,34.61,0.00,0.00,1.18,0.28
2020-03-31,31.55,8.57,80.71,0.83,0.19
2019-12-31,88.09,7.57,9.62,1.92,0.53
2019-09-30,88.41,8.19,11.78,1.98,0.55
2019-06-30,87.55,8.87,12.85,2.19,0.56
2019-03-31,79.78,9.58,13.25,2.15,0.52
2018-12-31,83.73,10.79,11.06,2.25,0.56
2018-09-30,89.06,11.06,10.15,2.56,0.63
2018-06-30,69.73,9.81,10.54,2.20,0.52
2018-03-31,69.47,9.53,38.05,2.33,0.54
2017-12-31,67.40,9.53,0.00,2.21,0.55
2017-09-30,60.88,9.60,0.00,2.01,0.51
2017-06-30,75.25,10.41,43.71,2.59,0.64
2017-03-31,70.64,11.12,12.97,2.60,0.62
2016-12-31,72.88,10.52,10.38,2.65,0.66
2016-09-30,52.47,6.63,5.82,1.98,0.49
2016-06-30,41.04,2.32,4.48,1.70,0.40
2016-03-31,59.86,3.14,10.47,2.59,0.60
2015-12-31,57.30,2.94,6.48,2.33,0.57
2015-09-30,53.05,3.06,8.89,2.32,0.53
2015-06-30,53.01,7.68,11.13,4.87,0.53
2015-03-31,67.25,11.66,13.15,8.55,0.68
2014-12-31,66.89,23.97,36.05,10.46,0.67
2014-09-30,46.79,15.14,41.11,4.48,0.47
2014-06-30,41.07,24.16,0.00,4.58,0.41
2014-03-31,44.63,49.59,0.00,6.46,0.45
2013-12-31,37.83,29.10,0.00,4.59,0.37
2013-09-30,30.71,0.00,0.00,6.43,0.30
2013-06-30,31.29,0.00,0.00,9.15,0.29
2013-03-31,32.01,0.00,0.00,113.67,0.30
2012-12-31,23.38,0.00,0.00,16.16,0.22
2012-09-30,19.50,0.00,0.00,3.55,0.19
2012-06-30,24.33,31.19,10.53,4.95,0.24
2012-03-31,21.50,16.80,13.52,4.73,0.22
2011-12-31,18.87,9.48,4.27,3.46,0.19
2011-09-30,19.38,13.84,5.30,2.77,0.18
2011-06-30,22.63,15.29,5.16,3.85,0.21
2011-03-31,22.99,16.66,3.81,3.97,0.22
2010-12-31,23.82,15.47,3.92,4.52,0.23
2010-09-30,23.66,21.32,4.46,-1.81,0.25
2010-06-30,20.56,0.00,4.85,-1.26,0.20
2010-03-31,19.55,0.00,5.32,-1.13,0.18
2009-12-31,12.91,0.00,2.97,-0.77,0.12
2009-09-30,9.22,0.00,0.00,-0.52,0.08
2009-06-30,3.19,0.00,0.00,-0.18,0.02
2009-03-31,4.48,0.00,0.00,-0.24,0.03
2008-12-31,11.02,0.00,0.00,-0.66,0.07
2008-09-30,8.79,0.00,0.00,-0.88,0.06
2008-06-30,5.22,0.00,0.00,-1.15,0.03
2008-03-31,21.53,0.00,6.97,1.25,0.15
2007-12-31,33.21,14.76,3.50,1.61,0.24
2007-09-30,43.34,19.97,3.05,1.90,0.30
2007-06-30,37.80,30.00,2.90,1.89,0.26
2007-03-31,35.55,98.75,2.89,1.98,0.24
2006-12-31,40.98,0.00,3.92,2.23,0.27
